Column,Variable,Label
SXD021,1,"Yes"
SXD021,2,"No"
SXD021,7,"Refused"
SXD021,9,"Don't know"
SXD021,.,"Missing"
SXQ800,1,"Yes"
SXQ800,2,"No"
SXQ800,7,"Refused"
SXQ800,9,"Don't know"
SXQ800,.,"Missing"
SXQ803,1,"Yes"
SXQ803,2,"No"
SXQ803,7,"Refused"
SXQ803,9,"Don't know"
SXQ803,.,"Missing"
SXQ806,1,"Yes"
SXQ806,2,"No"
SXQ806,7,"Refused"
SXQ806,9,"Don't know"
SXQ806,.,"Missing"
SXQ809,1,"Yes"
SXQ809,2,"No"
SXQ809,7,"Refused"
SXQ809,9,"Don't know"
SXQ809,.,"Missing"
SXQ700,1,"Yes"
SXQ700,2,"No"
SXQ700,7,"Refused"
SXQ700,9,"Don't know"
SXQ700,.,"Missing"
SXQ703,1,"Yes"
SXQ703,2,"No"
SXQ703,7,"Refused"
SXQ703,9,"Don't know"
SXQ703,.,"Missing"
SXQ706,1,"Yes"
SXQ706,2,"No"
SXQ706,7,"Refused"
SXQ706,9,"Don't know"
SXQ706,.,"Missing"
SXQ709,1,"Yes"
SXQ709,2,"No"
SXQ709,7,"Refused"
SXQ709,9,"Don't know"
SXQ709,.,"Missing"
SXD031,10 to 60,"Range of Values"
SXD031,9,"9 years or younger"
SXD031,77,"Refused"
SXD031,99,"Don't know"
SXD031,.,"Missing"
SXD171,0 to 1000,"Range of Values"
SXD171,2000,"2000 or more"
SXD171,77777,"Refused"
SXD171,99999,"Don't know"
SXD171,.,"Missing"
SXD510,0 to 500,"Range of Values"
SXD510,77777,"Refused"
SXD510,99999,"Don't know"
SXD510,.,"Missing"
SXQ824,1 to 1000,"Range of Values"
SXQ824,2000,"2000 or more"
SXQ824,77777,"Refused"
SXQ824,99999,"Don't know"
SXQ824,.,"Missing"
SXQ827,0 to 150,"Range of Values"
SXQ827,77777,"Refused"
SXQ827,99999,"Don't know"
SXQ827,.,"Missing"
SXD633,10 to 56,"Range of Values"
SXD633,9,"9 years or younger"
SXD633,77,"Refused"
SXD633,99,"Don't know"
SXD633,.,"Missing"
SXQ636,1 to 350,"Range of Values"
SXQ636,77777,"Refused"
SXQ636,99999,"Don't know"
SXQ636,.,"Missing"
SXQ639,0 to 25,"Range of Values"
SXQ639,77777,"Refused"
SXQ639,99999,"Don't know"
SXQ639,.,"Missing"
SXD642,0 to 14610,"Range of Values"
SXD642,77777,"Refused"
SXD642,99999,"Don't know"
SXD642,.,"Missing"
SXQ410,1 to 500,"Range of Values"
SXQ410,77777,"Refused"
SXQ410,99999,"Don't know"
SXQ410,.,"Missing"
SXQ550,0 to 50,"Range of Values"
SXQ550,77777,"Refused"
SXQ550,99999,"Don't know"
SXQ550,.,"Missing"
SXQ836,0 to 400,"Range of Values"
SXQ836,77777,"Refused"
SXQ836,99999,"Don't know"
SXQ836,.,"Missing"
SXQ841,0 to 48,"Range of Values"
SXQ841,77777,"Refused"
SXQ841,99999,"Don't know"
SXQ841,.,"Missing"
SXQ853,1,"Yes"
SXQ853,2,"No"
SXQ853,7,"Refused"
SXQ853,9,"Don't know"
SXQ853,.,"Missing"
SXD621,10 to 53,"Range of Values"
