Column,Variable,Label
WTSVOC2Y,12082.296879 to 322113.58855,"Range of Values"
WTSVOC2Y,0,"No Lab Result"
WTSVOC2Y,.,"Missing"
VTQ210,1,"Yes"
VTQ210,2,"No"
VTQ210,7,"Refused"
VTQ210,9,"Don't know"
VTQ210,.,"Missing"
VTQ220,1,"Yes"
VTQ220,2,"No"
VTQ220,7,"Refused"
VTQ220,9,"Don't know"
VTQ220,.,"Missing"
VTQ200A,1,"Yes"
VTQ200A,2,"No"
VTQ200A,7,"Refused"
VTQ200A,9,"Don't know"
VTQ200A,.,"Missing"
VTQ231A,1,"Yes"
VTQ231A,2,"No"
VTQ231A,7,"Refused"
VTQ231A,9,"Don't know"
VTQ231A,.,"Missing"
VTQ241A,1,"Yes"
VTQ241A,2,"No"
VTQ241A,7,"Refused"
VTQ241A,9,"Don't know"
VTQ241A,.,"Missing"
VTQ241B,1 to 48,"Range of Values"
VTQ241B,77,"Refused"
VTQ241B,99,"Don't know"
VTQ241B,.,"Missing"
VTQ244A,1,"Yes"
VTQ244A,2,"No"
VTQ244A,7,"Refused"
VTQ244A,9,"Don't know"
VTQ244A,.,"Missing"
VTQ244B,1 to 48,"Range of Values"
VTQ244B,77,"Refused"
VTQ244B,99,"Don't know"
VTQ244B,.,"Missing"
VTQ251A,1,"Yes"
VTQ251A,2,"No"
VTQ251A,7,"Refused"
VTQ251A,9,"Don't know"
VTQ251A,.,"Missing"
VTQ251B,1 to 48,"Range of Values"
VTQ251B,77,"Refused"
VTQ251B,99,"Don't know"
VTQ251B,.,"Missing"
VTQ261A,1,"Yes"
VTQ261A,2,"No"
VTQ261A,7,"Refused"
VTQ261A,9,"Don't know"
VTQ261A,.,"Missing"
VTQ261B,1 to 48,"Range of Values"
VTQ261B,77,"Refused"
VTQ261B,99,"Don't know"
VTQ261B,.,"Missing"
VTQ265A,1,"Yes"
VTQ265A,2,"No"
VTQ265A,7,"Refused"
VTQ265A,9,"Don't know"
VTQ265A,.,"Missing"
VTQ265B,1 to 48,"Range of Values"
VTQ265B,77,"Refused"
VTQ265B,99,"Don't know"
VTQ265B,.,"Missing"
VTQ271A,1,"Yes"
VTQ271A,2,"No"
VTQ271A,7,"Refused"
VTQ271A,9,"Don't know"
VTQ271A,.,"Missing"
VTQ271B,1 to 48,"Range of Values"
VTQ271B,77,"Refused"
VTQ271B,99,"Don't know"
VTQ271B,.,"Missing"
VTQ281A,1,"Yes"
VTQ281A,2,"No"
VTQ281A,7,"Refused"
VTQ281A,9,"Don't know"
VTQ281A,.,"Missing"
VTQ281B,1 to 48,"Range of Values"
VTQ281B,77,"Refused"
VTQ281B,99,"Don't know"
VTQ281B,.,"Missing"
VTQ281C,1,"Yes"
VTQ281C,2,"No"
VTQ281C,7,"Refused"
VTQ281C,9,"Don't know"
VTQ281C,.,"Missing"
VTQ281D,1 to 48,"Range of Values"
VTQ281D,77,"Refused"
VTQ281D,99,"Don't know"
VTQ281D,.,"Missing"
VTQ281E,1,"Yes"
VTQ281E,2,"No"
VTQ281E,7,"Refused"
VTQ281E,9,"Don't know"
VTQ281E,.,"Missing"
VTQ281F,1 to 48,"Range of Values"
VTQ281F,77,"Refused"
VTQ281F,99,"Don't know"
VTQ281F,.,"Missing"
