Column,Variable,Label
WHD010,48 to 81,"Range of Values"
WHD010,7777,"Refused"
WHD010,9999,"Don't know"
WHD010,.,"Missing"
WHD020,75 to 493,"Range of Values"
WHD020,7777,"Refused"
WHD020,9999,"Don't know"
WHD020,.,"Missing"
WHQ030,1,"Overweight,"
WHQ030,2,"Underweight, or"
WHQ030,3,"About the right weight?"
WHQ030,7,"Refused"
WHQ030,9,"Don't know"
WHQ030,.,"Missing"
WHQ040,1,"More,"
WHQ040,2,"Less, or"
WHQ040,3,"Stay about the same?"
WHQ040,7,"Refused"
WHQ040,9,"Don't know"
WHQ040,.,"Missing"
WHD050,75 to 559,"Range of Values"
WHD050,7777,"Refused"
WHD050,9999,"Don't know"
WHD050,.,"Missing"
WHQ060,1,"Yes"
WHQ060,2,"No"
WHQ060,7,"Refused"
WHQ060,9,"Don't know"
WHQ060,.,"Missing"
WHQ070,1,"Yes"
WHQ070,2,"No"
WHQ070,7,"Refused"
WHQ070,9,"Don't know"
WHQ070,.,"Missing"
WHD080A,10,"Ate less food (amount)"
WHD080A,77,"Refused"
WHD080A,99,"Don't know"
WHD080A,.,"Missing"
WHD080B,11,"Switched to foods with lower calories"
WHD080B,.,"Missing"
WHD080C,12,"Ate less fat"
WHD080C,.,"Missing"
WHD080D,13,"Exercised"
WHD080D,.,"Missing"
WHD080E,14,"Skipped meals"
WHD080E,.,"Missing"
WHD080F,15,"Ate 'diet' foods or products"
WHD080F,.,"Missing"
WHD080G,16,"Used a liquid diet formula such as slimfast or optifast"
WHD080G,.,"Missing"
WHD080H,17,"Joined a weight loss program such as Weight Watchers, Jenny Craig, Tops, or Overeaters Anonymous"
WHD080H,.,"Missing"
WHD080I,31,"Took diet pills prescribed by a doctor"
WHD080I,.,"Missing"
WHD080J,32,"Took other pills, medicines, herbs, or supplements not needing a prescription"
WHD080J,.,"Missing"
WHD080K,33,"Took laxatives or vomited"
WHD080K,.,"Missing"
WHD080M,34,"Drank a lot of water"
WHD080M,.,"Missing"
WHD080N,30,"Followed a special diet"
WHD080N,.,"Missing"
WHD080O,41,"Ate fewer carbohydrates"
WHD080O,.,"Missing"
WHD080P,42,"Started to smoke or began to smoke again"
WHD080P,.,"Missing"
WHD080Q,43,"Ate more fruits, vegetables, salads"
WHD080Q,.,"Missing"
WHD080R,44,"Changed eating habits"
WHD080R,.,"Missing"
WHD080S,45,"Ate less sugar, candy, sweets"
WHD080S,.,"Missing"
WHD080T,46,"Ate less junk food or fast food"
WHD080T,.,"Missing"
WHD080u,35,"Had weight loss surgery"
WHD080u,.,"Missing"
WHD080L,40,"Other"
WHD080L,.,"Missing"
WHD110,75 to 600,"Range of Values"
WHD110,7777,"Refused"
WHD110,9999,"Don't know"
WHD110,.,"Missing"
WHD120,55 to 600,"Range of Values"
WHD120,7777,"Refused"
WHD120,9999,"Don't know"
WHD120,.,"Missing"
WHD130,50 to 81,"Range of Values"
WHD130,7777,"Refused"
WHD130,9999,"Don't know"
WHD130,.,"Missing"
WHD140,85 to 600,"Range of Values"
WHD140,7777,"Refused"
WHD140,9999,"Don't know"
WHD140,.,"Missing"
WHQ150,10 to 79,"Range of Values"
WHQ150,80,"80 years or older"
WHQ150,77777,"Refused"
WHQ150,99999,"Don't know"
WHQ150,.,"Missing"
