Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.","One of the key variables for the file.  The primary key variables are SEQN and DR1ILINE."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
WTDRD1,"Dietary day one sample weight","Dietary day one sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
WTDR2D,"Dietary two-day sample weight","Dietary two-day sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
DR1ILINE,"Food/Individual component number","Food/Individual component number","One of the key variables for the file.  The primary key variables are SEQN and DR1ILINE."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1DRSTZ,"Dietary recall status","Dietary recall status",," Both males and females 0 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DR1EXMER,"Interviewer ID code","Interviewer ID code",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRABF,"Breast-fed infant (either day)","Indicates whether the sample person was an infant who was breast-fed on either of the two recall days.  ",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DRDINT,"Number of days of intake","Indicates whether the sample person has intake data for one or two days.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR1DBIH,"# of days b/w intake and HH interview","Number of days between intake day and the day of family questionnaire administered in the household.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR1DAY,"Intake day of the week","Intake day of the week",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000034,,,,,,,,
DR1LANG,"Language respondent used mostly","The respondent spoke mostly:",," Both males and females 0 YEARS - 150 YEARS",chear:Language,,,,,,,,,,
DR1CCMNM,"Combination food number","Combination food number (sequential number)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1CCMTX,"Combination food type","Combination food type",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1_020,"Time of eating occasion (HH:MM)","What time did you begin to eat/drink the meal/food?","Format HHMM6."," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,chebi:27007,,,,,,,,
DR1_030Z,"Name of eating occasion","Name of eating occasion",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
DR1FS,"Source of food","Where did you get (this/most of the ingredients for this) {FOODNAME}?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1_040Z,"Did you eat this meal at home? ","Did you eat this meal at home? ",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IFDCD,"USDA food code","USDA food code",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IGRMS,"Grams","Gram weight of the food/individual component",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000021,,,,,,,,
DR1IKCAL,"Energy (kcal)","Energy (kcal)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IPROT,"Protein (gm)","Protein (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ICARB,"Carbohydrate (gm)","Carbohydrate (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ISUGR,"Total sugars (gm)","Total sugars (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IFIBE,"Dietary fiber (gm)","Dietary fiber (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ITFAT,"Total fat (gm)","Total fat (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ISFAT,"Total saturated fatty acids (gm)","Total saturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IMFAT,"Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IPFAT,"Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ICHOL,"Cholesterol (mg)","Cholesterol (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IATOC,"Vitamin E as alpha-tocopherol (mg)","Vitamin E as alpha-tocopherol (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IATOA,"Added alpha-tocopherol (Vitamin E) (mg)","Added alpha-tocopherol (Vitamin E) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IRET,"Retinol (mcg)","Retinol (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
DR1IVARA,"Vitamin A, RAE (mcg)","Vitamin A as retinol activity equivalents (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IACAR,"Alpha-carotene (mcg)","Alpha-carotene (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IBCAR,"Beta-carotene (mcg)","Beta-carotene (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ICRYP,"Beta-cryptoxanthin (mcg)","Beta-cryptoxanthin (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ILYCO,"Lycopene (mcg)","Lycopene (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ILZ,"Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IVB1,"Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IVB2,"Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1INIAC,"Niacin (mg)","Niacin (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IVB6,"Vitamin B6 (mg)","Vitamin B6 (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IFOLA,"Total folate (mcg)","Total folate (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IFA,"Folic acid (mcg)","Folic acid (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IFF,"Food folate (mcg)","Food folate (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IFDFE,"Folate, DFE (mcg)","Folate as dietary folate equivalents (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ICHL,"Total choline (mg)","Total choline (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IVB12,"Vitamin B12 (mcg)","Vitamin B12 (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IB12A,"Added vitamin B12 (mcg)","Added vitamin B12 (mcg) ",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IVC,"Vitamin C (mg)","Vitamin C (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IVD,"Vitamin D (D2 + D3) (mcg)","Vitamin D (D2 + D3) (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27300,,,,,,,,
DR1IVK,"Vitamin K (mcg)","Vitamin K (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1ICALC,"Calcium (mg)","Calcium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IPHOS,"Phosphorus (mg)","Phosphorus (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IMAGN,"Magnesium (mg)","Magnesium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IIRON,"Iron (mg)","Iron (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IZINC,"Zinc (mg)","Zinc (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1ICOPP,"Copper (mg)","Copper (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1ISODI,"Sodium (mg)","Sodium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IPOTA,"Potassium (mg)","Potassium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1ISELE,"Selenium (mcg)","Selenium (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27568,,,,,,,,
DR1ICAFF,"Caffeine (mg)","Caffeine (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1ITHEO,"Theobromine (mg)","Theobromine (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1IALCO,"Alcohol (gm)","Alcohol (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IMOIS,"Moisture (gm)","Moisture (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IS040,"SFA 4:0 (Butanoic) (gm)","SFA 4:0 (Butanoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IS060,"SFA 6:0 (Hexanoic) (gm)","SFA 6:0 (Hexanoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IS080,"SFA 8:0 (Octanoic) (gm)","SFA 8:0 (Octanoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IS100,"SFA 10:0 (Decanoic) (gm)","SFA 10:0 (Decanoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IS120,"SFA 12:0 (Dodecanoic) (gm)","SFA 12:0 (Dodecanoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IS140,"SFA 14:0 (Tetradecanoic) (gm)","SFA 14:0 (Tetradecanoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IS160,"SFA 16:0 (Hexadecanoic) (gm)","SFA 16:0 (Hexadecanoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IS180,"SFA 18:0 (Octadecanoic) (gm)","SFA 18:0 (Octadecanoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IM161,"MFA 16:1 (Hexadecenoic) (gm)","MFA 16:1 (Hexadecenoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IM181,"MFA 18:1 (Octadecenoic) (gm)","MFA 18:1 (Octadecenoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IM201,"MFA 20:1 (Eicosenoic) (gm)","MFA 20:1 (Eicosenoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IM221,"MFA 22:1 (Docosenoic) (gm)","MFA 22:1 (Docosenoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IP182,"PFA 18:2 (Octadecadienoic) (gm)","PFA 18:2 (Octadecadienoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IP183,"PFA 18:3 (Octadecatrienoic) (gm)","PFA 18:3 (Octadecatrienoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IP184,"PFA 18:4 (Octadecatetraenoic) (gm)","PFA 18:4 (Octadecatetraenoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IP204,"PFA 20:4 (Eicosatetraenoic) (gm)","PFA 20:4 (Eicosatetraenoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IP205,"PFA 20:5 (Eicosapentaenoic) (gm)","PFA 20:5 (Eicosapentaenoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IP225,"PFA 22:5 (Docosapentaenoic) (gm)","PFA 22:5 (Docosapentaenoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1IP226,"PFA 22:6 (Docosahexaenoic) (gm)","PFA 22:6 (Docosahexaenoic) (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
