Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
WTDRD1,"Dietary day one sample weight","Dietary day one sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
WTDR2D,"Dietary two-day sample weight","Dietary two-day sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
DR1DRSTZ,"Dietary recall status","Dietary recall status",," Both males and females 0 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DR1EXMER,"Interviewer ID code","Interviewer ID code",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRDINT,"Number of days of intake","Indicates whether the sample person has intake data for one or two days.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR1DBIH,"# of days b/w intake and HH interview","# of days b/w intake and HH interview",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR1DAY,"Intake day of the week","Intake day of the week",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000034,,,,,,,,
DR1LANG,"Language respondent used mostly","The respondent spoke mostly:",," Both males and females 0 YEARS - 150 YEARS",chear:Language,,,,,,,,,,
DR1MNRSP,"Main respondent for this interview","Who was the main respondent for this interview?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1HELPD,"Helped in responding for this interview","Who helped in responding for this interview",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1DSCNT,"Total # of Dietary Supplements Taken","Total # of Dietary Supplements Taken",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
DS1DS,"Any Dietary Supplements Taken?","Any Dietary Supplements taken in the past 24 hour?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1ANCNT,"Total # of Antacids Taken","Total # of Antacids Taken",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
DS1AN,"Any Antacids Taken?","Any Antacids Taken?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TKCAL,"Energy (kcal)","Energy (kcal)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TPROT,"Protein (gm)","Protein (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TCARB,"Carbohydrate (gm)","Carbohydrate (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TSUGR,"Total sugars (gm)","Total sugars (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TFIBE,"Dietary fiber (gm)","Dietary fiber (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TTFAT,"Total fat (gm)","Total fat (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TSFAT,"Total saturated fatty acids (gm)","Total saturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TMFAT,"Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TPFAT,"Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TCHOL,"Cholesterol (mg)","Cholesterol (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TLYCO,"Lycopene (mcg)","Lycopene (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TLZ,"Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TVB1,"Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TVB2,"Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TNIAC,"Niacin (mg)","Niacin (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TVB6,"Vitamin B6 (mg)","Vitamin B6 (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TVB12,"Vitamin B12 (mcg)","Vitamin B12 (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TFA,"Folic acid (mcg)","Folic acid (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TFDFE,"Folate, DFE (mcg)","Folate, DFE (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TCHL,"Total choline (mg)","Total choline (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TVC,"Vitamin C (mg)","Vitamin C (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TVK,"Vitamin K (mcg)","Vitamin K (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS1TVD,"Vitamin D (D2 + D3) (mcg)","Vitamin D (D2 + D3) (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27300,,,,,,,,
DS1TCALC,"Calcium (mg)","Calcium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TPHOS,"Phosphorus (mg)","Phosphorus (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TMAGN,"Magnesium (mg)","Magnesium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TIRON,"Iron (mg)","Iron (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TZINC,"Zinc (mg)","Zinc (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TCOPP,"Copper (mg)","Copper (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TSODI,"Sodium (mg)","Sodium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TPOTA,"Potassium (mg)","Potassium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TSELE,"Selenium (mcg)","Selenium (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27568,,,,,,,,
DS1TCAFF,"Caffeine (mg)","Caffeine (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS1TIODI,"Iodine (mcg) ","Iodine (mcg) ",," Both males and females 0 YEARS - 150 YEARS",,,chebi:33115,,,,,,,,
