Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
WTDRD1,"Dietary day one sample weight","Dietary day one sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
WTDR2D,"Dietary two-day sample weight","Dietary two-day sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
DR2DRSTZ,"Dietary recall status","Dietary recall status",," Both males and females 0 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DR2EXMER,"Interviewer ID code","Interviewer ID code",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRDINT,"Number of days of intake","Indicates whether the sample person has intake data for one or two days.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR2DBIH,"# of days b/w intake and HH interview","# of days b/w intake and HH interview",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR2DAY,"Intake day of the week","Intake day of the week",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000034,,,,,,,,
DR2LANG,"Language respondent used mostly","The respondent spoke mostly:",," Both males and females 0 YEARS - 150 YEARS",chear:Language,,,,,,,,,,
DS2LOC,"Location supplement originally recorded","Location supplement originally recorded",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSDSUPID,"NCHS Supplement ID","NCHS Supplement ID",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSDSUPP,"Supplement Name","Supplement Name",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2MTCH,"Matching code","Matching code",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2ANTA ,"Antacid containing calcium/magnesium","Antacid containing calcium/magnesium",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2ACTSS,"Reported serving size/label serving size","Reported serving size/label serving size",," Both males and females 0 YEARS - 150 YEARS",,,uri,,,,,,,,
DS2IKCAL,"Energy (kcal)","Energy (kcal)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2IPROT,"Protein (gm)","Protein (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2ICARB,"Carbohydrate (gm)","Carbohydrate (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2ISUGR,"Total sugars (gm)","Total sugars (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2IFIBE,"Dietary fiber (gm)","Dietary fiber (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2ITFAT,"Total fat (gm)","Total fat (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2ISFAT,"Total saturated fatty acids (gm)","Total saturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2IMFAT,"Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2IPFAT,"Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2ICHOL,"Cholesterol (mg)","Cholesterol (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2ILYCO,"Lycopene (mcg)","Lycopene (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2ILZ,"Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2IVB1,"Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IVB2,"Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2INIAC,"Niacin (mg)","Niacin (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IVB6,"Vitamin B6 (mg)","Vitamin B6 (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IFA,"Folic acid (mcg)","Folic acid (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2IFDFE,"Folate, DFE (mcg)","Folate, DFE (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2ICHL,"Total choline (mg)","Total choline (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IVB12,"Vitamin B12 (mcg)","Vitamin B12 (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2IVC,"Vitamin C (mg)","Vitamin C (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IVK,"Vitamin K (mcg)","Vitamin K (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DS2IVD,"Vitamin D (D2 + D3) (mcg)","Vitamin D (D2 + D3) (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27300,,,,,,,,
DS2ICALC,"Calcium (mg)","Calcium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IPHOS,"Phosphorus (mg)","Phosphorus (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IMAGN,"Magnesium (mg)","Magnesium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IIRON,"Iron (mg)","Iron (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IZINC,"Zinc (mg)","Zinc (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2ICOPP,"Copper (mg)","Copper (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2ISODI,"Sodium (mg)","Sodium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IPOTA,"Potassium (mg)","Potassium (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2ISELE,"Selenium (mcg)","Selenium (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27568,,,,,,,,
DS2ICAFF,"Caffeine (mg)","Caffeine (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DS2IIODI,"Iodine (mcg)","Iodine (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,chebi:33115,,,,,,,,
