Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSDCOUNT,"Total # of Dietary Supplements Taken","Includes all supplements and the antacids reported with supplements, but not antacids reported with medications.","< blank >"," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
DSDANCNT,"Total # of Antacids Taken","Includes all antacids reported with medications.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
DSD010,"Any Dietary Supplements Taken?","The next questions are about {your/SP's} use of dietary supplements and medications during the past month. {Have you/Has SP} used or taken any vitamins, minerals or other dietary supplements in the past month? Include those products prescribed by a health professional such as a doctor or dentist, and those that do not require a prescription. This card lists some examples of different types of dietary supplements.","HAND CARD DSQ1"," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSD010AN,"Any Antacids Taken?"," ",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTKCAL,"Energy (kcal)","Energy (kcal)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTPROT,"Protein (gm)","Protein (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTCARB,"Carbohydrate (gm)","Carbohydrate (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTSUGR,"Total sugars (gm)","Total sugars (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTFIBE,"Dietary fiber (gm)","Dietary fiber (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTTFAT,"Total fat (gm)","Total fat (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTSFAT,"Total saturated fatty acids (gm)","Total saturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTMFAT,"Total monounsaturated fatty acids (gm)","Total monosaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTPFAT,"Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTCHOL,"Cholesterol (mg)","Cholesterol (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DSQTLYCO,"Lycopene (mcg)","Lycopene (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTLZ,"Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQTVB1,"Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DSQTVB2,"Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DSQTNIAC,"Niacin (mg)","Niacin (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
