Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXEXSTS,"Overall Taste & Smell Exam Status","Overall Status for the MEC Taste & Smell Examination",," Both males and females 40 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
CSXEXCMT,"Taste & Smell Exam Status Comment Code","Comment Code for the MEC Taste & Smell Examination",," Both males and females 40 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
CSQ245  ,"Ever had quinine allergy?","Have you ever had a skin rash or allergy caused by quinine?","If Yes, DK, Refused, Exclude from quinine"," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ241  ,"Currently pregnant or breast feeding?","Are you currently pregnant or breast feeding a baby?","If Yes, DK, Refused, End Exam"," Females only 40 YEARS - 59 YEARS",,,,,,,,,,,
CSQ260a,"Sneeze Frequently?","Do you now have any of the following problems with your nose?  Sneeze Frequently?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ260d,"Have Discolored Nasal Mucus?","Do you now have any of the following problems with your nose? Green, Yellow  or Brown Mucus Discharge?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ260g,"Have Nasal Blockage?","Do you now have any of the following problems with your nose? Completely blocked up nose","If checked, Enable CSQ270"," Both males and females 40 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
CSQ260i,"Have Sinus Pain?","Do you now have any of the following problems with your nose? Sinus Pain?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ260n,"Runny Nose?","Do you now have any of the following problems with your nose? A Runny Nose?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ260m ,"None of the above?","Do you now have any of the following problems with your nose? None of the above?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ270  ,"Type of Nasal Blockage","Was {your/SPs} nose blocked up on both sides, or on just one side?","Disabled unless CSQ260g checked"," Both males and females 40 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
CSQ450,"Low intermediate light (85 candelas/m2)","First practice light 85 candelas/ m2 (low intermediate light)","Hard Edit: if < 0 or > 100, not valid data entry"," Both males and females 40 YEARS - 150 YEARS",,,obo:UO_0000014,,,,,,,,
CSQ460,"High intermediate light(439 candelas/m2)","Second practice light 493 candelas/ m2 (high intermediate light)","Hard Edit: if < 0 or > 100, not valid data entry. Soft Edit:  If CSQ430 >= CSQ440, Verify that rating'."," Both males and females 40 YEARS - 150 YEARS",,,obo:UO_0000014,,,,,,,,
CSQ470,"Medium test light (193 candelas/m2)","First test light 193 candelas/ m2 (medium light level)","Hard Edit: if < 0 or > 100, not valid data entry"," Both males and females 40 YEARS - 150 YEARS",,,obo:UO_0000014,,,,,,,,
CSQ480,"Low test light (4.3 candelas/m2)","Second test light 4.3 candelas/ m2 (low light level)","Hard Edit: if < 0 or > 100, not valid data entry"," Both males and females 40 YEARS - 150 YEARS",,,obo:UO_0000014,,,,,,,,
CSQ490,"High test light (1000 candelas/m2)","Third  test light 1000 candelas/ m2 (high light level)","Hard Edit: if < 0 or > 100, not valid data entry."," Both males and females 40 YEARS - 150 YEARS",,,obo:UO_0000014,,,,,,,,
CSXQUIPG,"Tongue Tip Test: 1 mM Quinine gLMS","gLMS rating for bitter when 1 mM quinine solution is painted on the tongue tip.","Hard Edit: if < 0 or > 100, not valid data entry. Hard Edit:  if CSXQUIPT=1,2,3, or 5 and CSXQUIPG = 0, not valid data entry. Hard Edit:  if CSXQUIPT = 4 and CSXQUIPG > 6, not valid data entry."," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXQUIPT,"Tongue Tip 1mM Quinine: What Was Taste?","Name of substance examinee tasted when 1mM quinine was painted on the tongue tip.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXNAPG ,"Tongue Tip Test: 1M NaCl gLMS","gLMS rating when 1M NaCl solution is painted on the tongue tip.","Hard Edit: if < 0 or > 100, not valid data entry. Hard Edit:  if CSXNAPT=1,2,3, or 5 and CSXNAPG = 0, not valid data entry. Hard Edit:  if CSXNAPT = 4 andCSXNAPG > 6, not valid data entry."," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXNAPT ,"Tongue Tip 1M NaCl: What Was Taste?","Name of substance examinee tasted when 1M NaCl was painted on the tongue tip.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXQUISG,"Whole Mouth Test: 1 mM Quinine gLMS","gLMS rating for bitter when 1 mM quinine solution is sampled with the whole mouth.","Hard Edit: if < 0 or > 100, not valid data entry. Hard Edit:  if CSXQUIST=1,2,3 or 5 and CSXQUISG = 0, not valid data entry. Hard Edit:  if CSXQUIST = 4 and CSXQUISG > 6, not valid data entry."," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXQUIST,"Whole Mouth 1 mM Quinine: What Was Taste","Name of substance examinee tasted when bitter taste 1 (1 mM quinine) was sampled in the whole mouth.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXSLTSG,"Whole Mouth Test: 1 M NaCl gLMS","gLMS rating for salty taste when 1M NaCl is sampled with the whole mouth.","Hard Edit: if < 0 or > 100, not valid data entry.  Hard Edit:  if CSXSLTST=1,2,3, or 5 and CSXSLTSG = 0, not valid data entry. Hard Edit:  if CSXSLTST = 4 and CSXSLTSG > 6, not valid data entry."," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXSLTST,"Whole Mouth 1 M NaCl: What Was Taste?","Name of substance examinee tasted when 1 M NaCl was sampled in the whole mouth.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXNASG ,"Whole Mouth Test: .32 M NaCl gLMS","gLMS rating when  .32 M NaCl is sampled with the whole mouth.","Hard Edit: if < 0 or > 100, not valid data entry. Hard Edit:  if CSXNAST=1,2,3, or 5 and CSXNASG = 0, not valid data entry. Hard Edit:  if CSXNAST = 4 andCSXNASG > 6, not valid data entry."," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXNAST ,"Whole Mouth .32 NaCl: What Was Taste?","Name of substance examinee tasted when .32 M NaCl was sampled in the whole mouth.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXTSEQ ,"Whole Mouth Taste Test Sequence","Sequence in which whole mouth taste tests were administered.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXCHOOD,"Smell Test: Chocolate Scent","Forced Choice Odor Selection, Chocolate Scent",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXSBOD ,"Smell Test: Strawberry Scent","Forced Choice Odor Selection, Strawberry Scent",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXSMKOD,"Smell Test: Smoke Scent","Forced Choice Odor Selection, Smoke Scent",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXLEAOD,"Smell Test: Leather Scent","Forced Choice Odor Selection, Leather Scent",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXSOAOD,"Smell Test: Soap Scent","Forced Choice Odor Selection, Soap Scent",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXGRAOD,"Smell Test: Grape Scent","Forced Choice Odor Selection, Grape Scent",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXONOD ,"Smell Test: Onion Scent","Forced Choice Odor Selection, Onion Scent",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXNGSOD,"Smell Test: Natural Gas Scent","Forced Choice Odor Selection, Natural Gas Scent",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXSLTRT,"Whole Mouth Repeat: 1M NaCl gLMS","gLMS rating for salty taste when replicate 1M NaCl is sampled with the whole mouth.","Hard Edit: if < 0 or > 100, not valid data entry. Hard Edit:  if CSXSLTRG=1,2,3, or 5 and CSXSLTRT = 0, not valid data entry. Hard Edit:  if CSXSLTRG = 4 and CSXSLTRT > 6, not valid data entry."," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXSLTRG,"Repeat 1M NaCl: What Was Taste?","Name of substance examinee tasted when replicate 1M NaCl was sampled with the whole mouth.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXNART ,"Whole Mouth Repeat: 0.32M NaCl gLMS","gLMS rating for salty taste when replicate .32 M NaCl is sampled with the whole mouth.","Hard Edit: if < 0 or > 100, not valid data entry. Hard Edit:  if CSXNARG=1,2,3, or 5 and CSXNART = 0, not valid data entry. Hard Edit:  if CSXNARG = 4 and CSXNART > 6, not valid data entry."," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSXNARG ,"Repeat .32M NaCl: What Was Taste?","Name of substance examinee tasted when replicate .32 M NaCl was sampled with the whole mouth.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSAEFFRT,"Participant's Understanding of Test","MEC Technician's overall rating for participant's understanding of and cooperation with exam procedures.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
