Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXAFMRST,"Femur scan status","Femur scan status ",," Both males and females 40 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DXXFMBCC,"Total femur BMD invalidity code","Total femur BMD invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXOFBMD,"Total femur BMD","Total femur BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXOFBMC,"Total femur BMC","Total femur BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXOFA,"Total femur area","Total femur area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXNKBMD,"Femoral neck BMD","Femoral neck BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXNKBMC,"Femoral neck BMC","Femoral neck BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXNKA,"Femoral neck area","Femoral neck area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXTRBMD,"Trochanter BMD","Trochanter BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXTRBMC,"Trochanter BMC","Trochanter BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXTRA,"Trochanter area","Trochanter area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXINBMD,"Intertrochanter BMD","Intertrochanter BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXINBMC,"Intertrochanter BMC","Intertrochanter BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXINA,"Intertrochanter area","Intertrochanter area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXWDBMD,"Wards triangle BMD","Wards triangle BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXWDBMC,"Wards triangle BMC","Wards triangle BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXWDA,"Wards triangle area","Wards triangle area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXAFMRK,"Calculated K for femur","Calculated K for femur",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXAFMRD0,"Calculated DO for femur","Calculated DO for femur",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
