Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXASPNST,"Spine scan status ","Spine scan status ",," Both males and females 40 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DXXOSBCC,"Total spine BMD invalidity code","Total spine BMD invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL1BCC,"L1 BMD invalidity code","L1 BMD invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL2BCC,"L2 BMD invalidity code","L2 BMD invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL3BCC,"L3 BMD invalidity code","L3 BMD invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL4BCC,"L4 BMD invalidity code","L4 BMD invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXOSBMD,"Total spine BMD","Total spine BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXOSBMC,"Total spine BMC","Total spine BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXOSA,"Total spine area","Total spine area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL1BMD,"L1 BMD","L1 BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL1BMC,"L1 BMC","L1 BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL1A,"L1 area","L1 area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL2BMD,"L2 BMD","L2 BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL2BMC,"L2 BMC","L2 BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL2A,"L2 area","L2 area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL3BMD,"L3 BMD","L3 BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL3BMC,"L3 BMC","L3 BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL3A,"L3 area","L3 area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL4BMD,"L4 BMD","L4 BMD",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL4BMC,"L4 BMC","L4 BMC",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL4A,"L4 area","L4 area",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXASPNK,"Calculated K for spine ","Calculated K for spine ",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXASPND0,"Calculated DO for spine ","Calculated DO for spine ",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
