Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXDLSPST,"IVA Lateral Spine scan status","Instant Vertebral Assessment (IVA) Lateral Spine scan status",," Both males and females 40 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DXXT4CC ,"T4 fracture invalidity code","T4 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT5CC ,"T5 fracture invalidity code","T5 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT6CC ,"T6 fracture invalidity code","T6 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT7CC ,"T7 fracture invalidity code","T7 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT8CC ,"T8 fracture invalidity code","T8 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT9CC ,"T9 fracture invalidity code","T9 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT10CC,"T10 fracture invalidity code","T10 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT11CC,"T11 fracture invalidity code","T11 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT12CC,"T12 fracture invalidity code","T12 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL1CC ,"L1 fracture invalidity code","L1 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL2CC ,"L2 fracture invalidity code","L2 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL3CC ,"L3 fracture invalidity code","L3 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL4CC ,"L4 fracture invalidity code","L4 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXVFAST,"Vertebral fracture status summary","Vertebral fracture status summary",," Both males and females 40 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DXXT4FX,"T4 fracture score","T4 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT5FX,"T5 fracture score","T5 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT6FX,"T6 fracture score","T6 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT7FX,"T7 fracture score","T7 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT8FX,"T8 fracture score","T8 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT9FX,"T9 fracture score","T9 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT10FX,"T10 fracture score","T10 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT11FX,"T11 fracture score","T11 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT12FX,"T12 fracture score","T12 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL1FX,"L1 fracture score","L1 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL2FX,"L2 fracture score","L2 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL3FX,"L3 fracture score","L3 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL4FX,"L4 fracture score","L4 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
