Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGDEXSTS,"Grip test status","Grip test status",," Both males and females 6 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
MGD050  ,"Ever had surgery on hands or wrists","Have you ever had surgery on your hands or wrists for arthritis or carpal tunnel syndrome?",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
MGD060  ,"Which hand or wrist had surgery","Which hand or wrist was the surgery on?",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
MGQ070  ,"Recent pain/aching/stiffness-right hand","Have you had any pain, aching or stiffness in your right hand in the past 7 days?",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGQ080  ,"Cause of recent pain in right hand","Is the pain, aching or stiffness in your right hand caused by arthritis, tendonitis, or carpal tunnel syndrome?",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGQ090  ,"Pain in right hand gotten worse recently","Has the pain, aching or stiffness in your right hand gotten worse in the past 7 days?",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGQ100  ,"Recent pain/aching/stiffness-left hand","Have you had any pain, aching or stiffness in your left hand in the past 7 days?",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGQ110  ,"Cause of recent pain in left hand","Is the pain, aching or stiffness in your left hand caused by arthritis, tendonitis, or carpal tunnel syndrome?",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGQ120  ,"Pain in left hand gotten worse recently","Has the pain, aching or stiffness in your left hand gotten worse in the past 7 days?",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGD130  ,"Dominant hand","Are you right-handed, left-handed, or do you use both hands equally?",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGQ90DG ,"90 degree angle with index finger","Was the participant able to achieve a 90 degree angle with the index finger on the eligible hand(s)?",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGDSEAT ,"Testing position","Testing position",," Both males and females 20 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
MGAPHAND,"Hand assigned for practice trial","The hand assigned for the practice trial",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGATHAND,"Begin the test with this hand.","Begin the test with this hand.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGXH1T1 ,"Grip strength (kg), hand 1, test 1","Grip strength (kg), hand 1, test 1",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000009,,,,,,,,
MGXH1T1E,"Grip strength, hand 1, test 1 effort","Whether the participant exerted a maximal or questionable effort during the test 1 on hand 1, as assessed by the technician.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGXH2T1 ,"Grip strength (kg), hand 2, test 1","Grip strength (kg), hand 2, test 1",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000009,,,,,,,,
MGXH2T1E,"Grip strength, hand 2, test 1 effort","Whether the participant exerted a maximal or questionable effort during the test 1 on hand 2, as assessed by the technician.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGXH1T2 ,"Grip strength (kg), hand 1, test 2","Grip strength (kg), hand 1, test 2",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000009,,,,,,,,
MGXH1T2E,"Grip strength, hand 1, test 2 effort","Whether the participant exerted a maximal or questionable effort during the test 2 on hand 1, as assessed by the technician.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGXH2T2 ,"Grip strength (kg), hand 2, test 2","Grip strength (kg), hand 2, test 2",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000009,,,,,,,,
MGXH2T2E,"Grip strength, hand 2, test 2 effort","Whether the participant exerted a maximal or questionable effort during the test 2 on hand 2, as assessed by the technician.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGXH1T3 ,"Grip strength (kg), hand 1, test 3","Grip strength (kg), hand 1, test 3",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000009,,,,,,,,
MGXH1T3E,"Grip strength, hand 1, test 3 effort","Whether the participant exerted a maximal or questionable effort during the test 3 on hand 1, as assessed by the technician.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGXH2T3 ,"Grip strength (kg), hand 2, test 3","Grip strength (kg), hand 2, test 3",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000009,,,,,,,,
MGXH2T3E,"Grip strength, hand 2, test 3 effort","Whether the participant exerted a maximal or questionable effort during the test 3 on hand 2, as assessed by the technician.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
MGDCGSZ,"Combined grip strength (kg)","Combined grip strength (kg): the sum of the largest reading from each hand.",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000009,,,,,,,,
