Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHDEXSTS,"Overall Oral Health Exam Status","Overall Oral Health Exam Status",," Both males and females 1 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
OHDDESTS,"Dentition Status Code","Dentition Status Code",," Both males and females 1 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
OHXIMP,"Dental Implant: yes / no? ","Tooth Count:  Ever had a tooth replaced with a surgical implant?","Do you have a tooth replaced with a surgical implant?"," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHX01TC,"Tooth Count:  #1","Tooth Count:  Upper right 3rd molar (3M)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX02TC,"Tooth Count:  #2","Tooth Count:  Upper right 2nd molar (2M)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX03TC,"Tooth Count:  #3","Tooth Count:  Upper right 1st molar (1M)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX04TC,"Tooth Count:  #4","Tooth Count:  Upper right 2nd bicuspid/2nd primary molar (2B)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX05TC,"Tooth Count:  #5","Tooth Count:  Upper right 1st bicuspid/1st primary molar (1B)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX06TC,"Tooth Count:  #6","Tooth Count:  Upper right cuspid (C)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX07TC,"Tooth Count:  #7","Tooth Count:  Upper right lateral incisor (LI)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX08TC,"Tooth Count:  #8","Tooth Count:  Upper right central incisor (CI)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX09TC,"Tooth Count:  #9","Tooth Count:  Upper left central incisor (CI)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX10TC,"Tooth Count:  #10","Tooth Count:  Upper left lateral incisor (LI)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX11TC,"Tooth Count:  #11","Tooth Count:  Upper left cuspid (C)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX12TC,"Tooth Count:  #12","Tooth Count:  Upper left 1st bicuspid/1st primary molar (1B)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX13TC,"Tooth Count:  #13","Tooth Count:  Upper left 2nd bicuspid/2nd primary molar (2B)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX14TC,"Tooth Count:  #14","Tooth Count:  Upper left 1st molar (1M)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX15TC,"Tooth Count:  #15","Tooth Count:  Upper left 2nd molar (2M)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX16TC,"Tooth Count:  #16","Tooth Count:  Upper left 3rd molar (3M)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX17TC,"Tooth Count:  #17","Tooth Count:  Lower left 3rd molar (3M)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
OHX18TC,"Tooth Count:  #18","Tooth Count:  Lower left 2nd molar (2M)",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,uberon:0001091,,,,,,,,
