Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 30 YEARS - 150 YEARS",,,,,,,,,,,
OHDEXSTS,"Overall Oral Health Exam Status","Overall Oral Health Exam Status",," Both males and females 30 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
OHDPDSTS,"Periodontal Status Code","Periodontal Status Code",," Both males and females 30 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
OHDEXCLU,"Medical Exclusion from Periodontal Exam","Excluded from perio exam for med reasons",," Both males and females 30 YEARS - 150 YEARS",,,,,,,,,,,
OHX02CJD,"LOA: Max R(2M) DF FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to CEJ measurement (mm)",," Both males and females 30 YEARS - 150 YEARS",,,obo:UO_0000063,,,,,,,,
OHX02CJM,"LOA: Max R(2M) MdF FGM-CEJ(mm)","Loss of Attachment:  Upper right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)",," Both males and females 30 YEARS - 150 YEARS",,,obo:UO_0000063,,,,,,,,
OHX02CJS,"LOA: Max R(2M) MF FGM-CEJ(mm)","Loss of Attachment:  Upper right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)",," Both males and females 30 YEARS - 150 YEARS",,,obo:UO_0000063,,,,,,,,
OHX02CJP,"LOA: Max R(2M) DL FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)",," Both males and females 30 YEARS - 150 YEARS",,,obo:UO_0000063,,,,,,,,
OHX02CJL,"LOA: Max R(2M) MdL FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd molar (2M) mid - lingual - FGM to CEJ measurement (mm)",," Both males and females 30 YEARS - 150 YEARS",,,obo:UO_0000063,,,,,,,,
OHX02CJA,"LOA: Max R(2M) ML FGM-CEJ(mm)","Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)",," Both males and females 30 YEARS - 150 YEARS",,,obo:UO_0000063,,,,,,,,
OHX02PCD,"LOA: Max R(2M) DF FGM-sulcus(mm)","Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)",," Both males and females 30 YEARS - 150 YEARS",,,obo:UO_0000063,,,,,,,,
OHX02PCM,"LOA: Max R(2M) MdF FGM-sulcus(mm)","Loss of Attachment:  Upper right 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)",," Both males and females 30 YEARS - 150 YEARS",,,obo:UO_0000063,,,,,,,,
