Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
LBXSAL,"Albumin (g/dL)","Albumin (g/dL)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000208,,,,,,,,
LBDSALSI,"Albumin (g/L)","Albumin (g/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000175,,,,,,,,
LBXSAPSI,"Alkaline phosphatase (IU/L)","Alkaline phosphatase (IU/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:international_units_per_litre,,,,,,,,
LBXSASSI,"Aspartate aminotransferase AST (IU/L)","Aspartate aminotransferase AST (IU/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:international_units_per_litre,,,,,,,,
LBXSATSI,"Alanine aminotransferase ALT (IU/L)","Alanine aminotransferase ALT (IU/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:international_units_per_litre,,,,,,,,
LBXSBU,"Blood urea nitrogen (mg/dL)","Blood urea nitrogen (mg/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDSBUSI,"Blood urea nitrogen (mmol/L)","Blood urea nitrogen (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSC3SI,"Bicarbonate (mmol/L)","Bicarbonate (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSCA,"Total calcium (mg/dL)","Total calcium (mg/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDSCASI,"Total calcium (mmol/L)","Total calcium (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSCH,"Cholesterol (mg/dL)","Cholesterol (mg/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDSCHSI,"Cholesterol (mmol/L)","Cholesterol (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSCK,"Creatine Phosphokinase(CPK) (IU/L)","Creatine Phosphokinase(CPK) (IU/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:international_units_per_litre,,,,,,,,
LBXSCLSI,"Chloride (mmol/L)","Chloride (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSCR,"Creatinine (mg/dL)","Creatinine (mg/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDSCRSI,"Creatinine (umol/L)","Creatinine (umol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:micromole_per_liter,,,,,,,,
LBXSGB,"Globulin (g/dL)","Globulin (g/dL)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000208,,,,,,,,
LBDSGBSI,"Globulin (g/L)","Globulin (g/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000175,,,,,,,,
LBXSGL,"Glucose, refrigerated serum (mg/dL)","Glucose, refrigerated serum (mg/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDSGLSI,"Glucose, refrigerated serum (mmol/L)","Glucose, refrigerated serum (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSGTSI,"Gamma glutamyl transferase (U/L)","Gamma glutamyl transferase (U/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000179,,,,,,,,
LBXSIR,"Iron, refrigerated serum (ug/dL)","Iron, refrigerated serum (ug/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:MicrogramPerDecilter,,,,,,,,
LBDSIRSI,"Iron, refrigerated serum  (umol/L)","Iron, refrigerated serum (umol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:micromole_per_liter,,,,,,,,
LBXSKSI,"Potassium (mmol/L)","Potassium (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSLDSI,"Lactate dehydrogenase (U/L)","Lactate dehydrogenase (U/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000179,,,,,,,,
LBXSNASI,"Sodium (mmol/L)","Sodium (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSOSSI,"Osmolality (mmol/Kg)","Osmolality (mmol/Kg)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000069,,,,,,,,
LBXSPH,"Phosphorus (mg/dL)","Phosphorus (mg/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDSPHSI,"Phosphorus (mmol/L)","Phosphorus (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSTB,"Total bilirubin (mg/dL)","Total bilirubin (mg/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDSTBSI,"Total bilirubin (umol/L)","Total bilirubin (umol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:micromole_per_liter,,,,,,,,
LBXSTP,"Total protein (g/dL)","Total protein (g/dL)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000208,,,,,,,,
LBDSTPSI,"Total protein (g/L)","Total protein (g/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000175,,,,,,,,
LBXSTR,"Triglycerides, refrigerated (mg/dL)","Triglycerides, refrigerated (mg/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDSTRSI,"Triglycerides, refrigerated  (mmol/L)","Triglycerides, refrigerated (mmol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:millimole_per_liter,,,,,,,,
LBXSUA,"Uric acid (mg/dL)","Uric acid (mg/dL)",," Both males and females 12 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDSUASI,"Uric acid (umol/L)","Uric acid (umol/L)",," Both males and females 12 YEARS - 150 YEARS",,,chear:micromole_per_liter,,,,,,,,
