Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
WTSB2YR,"Subsample B weights","Subsample B weights",," Both males and females 6 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
URXBP3,"Urinary Benzophenone-3 (ng/mL)","Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDBP3LC,"Urinary Benzophenone-3 comment ","Urinary 2-Hydroxy-4-metoxybenzophenone (Benzophenone-3) comment code",," Both males and females 6 YEARS - 150 YEARS",,,chear:BP3,,,,,,,,
URXBPH,"Urinary Bisphenol A (ng/mL)","Urinary Bisphenol A (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDBPHLC,"Urinary Bisphenol A comment  ","Urinary Bisphenol A comment  ",," Both males and females 6 YEARS - 150 YEARS",,,chebi:33216,,,,,,,,
URXBPF,"Urinary Bisphenol F (ug/L)","Urinary 4,4' dihydroxydiphenylmethane",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDBPFLC,"Urinary Bisphenol F comment","Urinary 4,4' dihydroxydiphenylmethane comment code",," Both males and females 6 YEARS - 150 YEARS",,,pubchem:75575,,,,,,,,
URXBPS,"Urinary Bisphenol S (ug/L)","Urinary 4,4'sulfonyldiphenol",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDBPSLC,"Urinary Bisphenol S comment","Urinary 4,4' sulfonyldiphenol comment code",," Both males and females 6 YEARS - 150 YEARS",,,pubchem:6626,,,,,,,,
URXTLC,"Urinary Triclocarban (ng/mL)","Urinary Triclocarban (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDTLCLC,"Urinary Triclocarban comment","Urinary Triclocarban comment",," Both males and females 6 YEARS - 150 YEARS",,,chebi:48347,,,,,,,,
URXTRS,"Urinary Triclosan (ng/mL)","Urinary  2,4,4'-Trichloro-2'-hydroxyphenyl ether (Triclosan)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDTRSLC,"Urinary Triclosan comment","Urinary  2,4,4'-Trichloro-2'-hydroxyphenyl ether (Triclosan) comment code",," Both males and females 6 YEARS - 150 YEARS",,,chebi:164200,,,,,,,,
URXBUP,"Butyl paraben (ng/ml)","Butyl paraben (ng/ml)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDBUPLC,"Butyl paraben comment","Butyl paraben comment  ",," Both males and females 6 YEARS - 150 YEARS",,,chebi:88542,,,,,,,,
URXEPB,"Ethyl paraben (ng/ml)","Ethyl paraben (ng/ml)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDEPBLC,"Ethyl paraben comment","Ethyl paraben comment  ",," Both males and females 6 YEARS - 150 YEARS",,,chebi:31575,,,,,,,,
URXMPB,"Methyl paraben (ng/ml)","Methyl paraben (ng/ml)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMPBLC,"Methyl paraben comment ","Methyl paraben comment",," Both males and females 6 YEARS - 150 YEARS",,,chebi:31835,,,,,,,,
URXPPB,"Propyl paraben (ng/ml) ","Propyl paraben (ng/ml)  ",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDPPBLC,"Propyl paraben comment","Propyl paraben comment  ",," Both males and females 6 YEARS - 150 YEARS",,,chebi:32063,,,,,,,,
URX14D,"2,5-dichlorophenol (ug/L)","2,5-dichlorophenol (ug/L)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URD14DLC,"2,5-dichlorophenol comment ","2,5-dichlorophenol comment ",," Both males and females 6 YEARS - 150 YEARS",,,chebi:27929,,,,,,,,
URXDCB,"2,4-dichlorophenol (ug/L)","2,4-dichlorophenol (ug/L)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDDCBLC,"2,4-dichlorophenol comment              ","2,4-dichlorophenol comment                                        ",," Both males and females 6 YEARS - 150 YEARS",,,chebi:16738,,,,,,,,
URXUCR,"Urinary creatinine","Urinary creatinine",," Both males and females 6 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
