Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
PHQ020,"Coffee or tea with cream or sugar?","Coffee or tea with cream or sugar?  [Include milk or non-dairy creamers.]","Have you had any of the following since ' today at' or 'yesterday at' fasting time in PHQ010."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
PHACOFHR,"Coffee/tea fast time (hours)","The time (in hours) since the examinee last drank coffee or tea with cream or sugar.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000032,,,,,,,,
PHACOFMN,"Coffee/tea fast time (minutes)","The time (in minutes) since the examinee last drank coffee or tea with cream or sugar.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000031,,,,,,,,
PHQ030,"Alcohol, such as beer, wine, or liquor?","Alcohol, such as beer, wine, or liquor?","Have you had any of the following since 'today at' or 'yesterday at' the fasting time in PHQ010."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
PHAALCHR,"Alcohol fast time (hours)","The time (in hours) the examinee last drank alcohol such as beer, wine, or liquor.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000032,,,,,,,,
PHAALCMN,"Alcohol fast time (minutes)","The time (in minutes) the examinee last drank alcohol such as beer, wine, or liquor.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000031,,,,,,,,
PHQ040,"Gum, mints, lozenges or cough drops","Gum, breath mints, lozenges or cough drops, or other cough or cold remedies?","Have you had any of the following since 'today at' or 'yesterday at' the fasting time in PHQ010?"," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
PHAGUMHR,"Gum, mints cough drops fast time (hours)","The time (in hours) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000032,,,,,,,,
PHAGUMMN,"Gum, mints, cough fast time (minutes)","The time (in minutes) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000031,,,,,,,,
PHQ050,"Antacids, laxatives, or anti-diarrheals?","Antacids, laxatives, or anti-diarrheals?","Have you had any of the following since 'today at' or 'yesterday at' the fasting time in PHQ010."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
PHAANTHR,"Antacids, laxatives fast time (hours)","The time (in hours) the examinee last had antacids, laxatives or anti-diarrheals.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000032,,,,,,,,
PHAANTMN,"Antacids, laxatives fast time (minutes)","The time (in minutes) the examinee last had antacids, laxatives or anti-diarrheals.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000031,,,,,,,,
PHQ060,"Dietary supplements?","Dietary supplements such as vitamins and minerals? [Include multivitamins and single nutrient supplements.]","Have you had any of the following since 'today at' or 'yesterday at' the fasting time in PHQ010."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
PHASUPHR,"Dietary supplements fast time (hours)","The time (in hours) the examinee last had dietary supplements such as vitamins and minerals.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000032,,,,,,,,
PHASUPMN,"Dietary supplements fast time (minutes)","The time (in minutes) the examinee last had dietary supplements such as vitamins and minerals.",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000031,,,,,,,,
PHAFSTHR,"Total length of 'food fast,' hours","The time (in hours) between when the examinee last ate or drank anything other than water and the time of the venipuncture.",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000032,,,,,,,,
PHAFSTMN,"Total length of  'food fast,' minutes","The time (in minutes) between when the examinee last ate or drank anything other than water and the time of the venipuncture.",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000031,,,,,,,,
PHDSESN,"Session in which SP was examined","Session in which SP was examined",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
