Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
WTSB2YR,"Subsample B weights","Subsample B weights",," Both males and females 12 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
LBXPFDE,"Perfluorodecanoic acid (ug/L)","Pefluorodecanoic acid (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDPFDEL,"Perfluorodecanoic acid comment","Pefluorodecanoic acid comment code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
LBXPFHS,"Perfluorohexane sulfonic acid (ug/L)","Perfluorohexane sulfonic acid (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDPFHSL,"Perfluorohexane sulfonic acid comment","Perfluorohexane sulfonic acid comment",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
LBXMPAH,"2-(N-methyl-PFOSA) acetate (ug/L)","2-(N-Methyl-perfluorooctane sulfonamido) acetic acid (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDMPAHL,"2-(N-methyl-PFOSA) acetate comment","2-(N-Methyl-perfluorooctane sulfonamido) acetic acid comment code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
LBXPFBS,"Perfluorobutane sulfonic acid (ug/L)","Perfluorobutane sulfonic acid (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDPFBSL,"Perfluorobutane sulfonic acid comment","Perfluorobutane sulfonic acid comment code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
LBXPFHP,"Perfluoroheptanoic acid (ug/L)","Perfluoroheptanoic acid (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDPFHPL,"Perfluoroheptanoic acid comment","Perfluoroheptanoic acid comment code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
LBXPFNA,"Perfluorononanoic acid (ug/L)","Perfluorononanoic acid (ug/L)  ",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDPFNAL,"Perfluorononanoic acid comment","Perfluorononanoic acid comment code   ",," Both males and females 12 YEARS - 150 YEARS",,,chebi:38397,,,,,,,,
LBXPFUA,"Perfluoroundecanoic acid (ug/L)","Perfluoroundecanoic acid (ug/L) ",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDPFUAL,"Perfluoroundecanoic acid comment","Perfluoroundecanoic acid comment code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
LBXPFDO,"Perfluorododecanoic acid (ug/L)","Perflurododecanoic acid (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDPFDOL,"Perfluorododecanoic acid comment","Perflurododecanoic acid comment code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
