Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
WTSB2YR,"Subsample B Weights","Subsample B Weights",," Both males and females 12 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
SSNPFOA,"Linear perfluorooctanoate (ug/L)","Linear perfluorooctanoate (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
SDNPFOAL,"Linear perfluorooctanoate Comment Code","Linear perfluorooctanoate Comment Code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
SSBPFOA ,"Br. iso of perfluorooctanoate (ug/L)","Br. iso of perfluorooctanoate (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
SDBPFOAL,"Br. iso perfluorooctanoate Comment Code","Br. iso perfluorooctanoate Comment Code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
SSNPFOS,"Linear perfluorooctane sulfonate (ug/L)","Linear perfluorooctane sulfonate (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
SDNPFOSL,"Lin. perfluorooctane sulfonate Cmt. Code","Lin. perfluorooctane sulfonate Cmt. Code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
SSMPFOS,"Monomethyl branched iso of PFOS (ug/L)","Monomethyl branched iso of PFOS (ug/L)",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
SDMPFOSL,"Monomethyl br. iso of PFOS Comment Code","Monomethyl br. iso of PFOS Comment Code",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
