Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 12 YEARS -150 YEARS",,,,,,,,,,,
WTSVOC2Y,"VOC Subsample Weight","VOC Subsample Weight",," Both males and females 12 YEARS -150 YEARS",chear:Weight,,,,,,,,,,
LBX2DF,"Blood 2,5-Dimethylfuran (ng/mL)","Blood 2,5-Dimethylfuran (ng/mL)",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000275,,,,,,,,
LBD2DFLC,"Blood 2,5-Dimethylfuran Comment Code","Blood 2,5-Dimethylfuran Comment Code",," Both males and females 12 YEARS -150 YEARS",,,,,,,,,,,
LBX4CE,"Blood 1,1,1,2-Tetrachloroethane (ng/mL)","Blood 1,1,1,2-Tetrachloroethane (ng/mL)",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000275,,,,,,,,
LBD4CELC,"Blood 1,1,1,2-Tetrachloroethane Cmt Code","Blood 1,1,1,2-Tetrachloroethane Comment Code",," Both males and females 12 YEARS -150 YEARS",,,,,,,,,,,
LBXV06,"Blood Hexane (ng/mL)","Blood Hexane (ng/mL)",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000275,,,,,,,,
LBDV06LC,"Blood Hexane Comment Code","Blood Hexane Comment Code",," Both males and females 12 YEARS -150 YEARS",,,,,,,,,,,
LBXV07N,"Blood Heptane (ng/mL)","Blood Heptane (ng/mL)",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000275,,,,,,,,
LBDV07LC,"Blood Heptane Comment Code","Blood Heptane Comment Code",," Both males and females 12 YEARS -150 YEARS",,,,,,,,,,,
LBXV08N,"Blood Octane (ng/mL)","Blood Octane (ng/mL)",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000275,,,,,,,,
LBDV08LC,"Blood Octane Comment Code","Blood Octane Comment Code",," Both males and females 12 YEARS -150 YEARS",,,,,,,,,,,
LBXV1D,"Blood 1,2-Dichlorobenzene (ng/mL)","Blood 1,2-Dichlorobenzene (ng/mL) ",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000275,,,,,,,,
LBDV1DLC,"Blood 1,2-Dichlorobenzene Comment Code ","Blood 1,2-Dichlorobenzene Comment Code ",," Both males and females 12 YEARS -150 YEARS",,,chebi:16716,,,,,,,,
LBXV2A,"Blood 1,2-Dichloroethane (ng/mL)","Blood 1,2-Dichloroethane (ng/mL)",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000275,,,,,,,,
LBDV2ALC,"Blood 1,2-Dichloroethane Comment Code","Blood 1,2-Dichloroethane Comment Code",," Both males and females 12 YEARS -150 YEARS",,,chebi:27789,,,,,,,,
LBXV3B,"Blood 1,3-Dichlorobenzene (ng/mL)","Blood 1,3-Dichlorobenzene (ng/mL)",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000275,,,,,,,,
LBDV3BLC,"Blood 1,3-Dichlorobenzene Comment Code","Blood 1,3-Dichlorobenzene Comment Code",," Both males and females 12 YEARS -150 YEARS",,,chebi:16716,,,,,,,,
