Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RIDSTATR,"Interview/Examination status","Interview and examination status of the participant.",," Both males and females 0 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
RIAGENDR,"Gender","Gender of the participant.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RIDAGEYR,"Age in years at screening","Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.",," Both males and females 0 YEARS - 150 YEARS",sio:Age,,obo:UO_0000036,,,,,,,,
RIDAGEMN,"Age in months at screening","Age in months of the participant at the time of screening. Individuals aged 959 months and older are topcoded at 959 months.",," Both males and females 0 YEARS - 150 YEARS",sio:Age,,obo:UO_0000035,,,,,,,,
RIDAGEEX,"Age in months at exam","Age in years of the participant at the time of examination. Individuals aged 959 months and older are topcoded at 959 months.",," Both males and females 0 YEARS - 150 YEARS",sio:Age,,obo:UO_0000035,,,,,,,,
RIDRETH1,"Race/Hispanic origin","Recode of reported race and Hispanic origin information",," Both males and females 0 YEARS - 150 YEARS",sio:Race,,,,,,,,,,
DMDBORN,"Country of birth - Recode","In what country {were you/was SP} born?",," Both males and females 0 YEARS - 150 YEARS",sio:Country,,,,,,,,,,
DMDBORN2,"Country of Birth - Recode","In what country {were you/was SP} born?",," Both males and females 0 YEARS - 150 YEARS",sio:Country,,,,,,,,,,
DMDCITZN,"Citizenship status","{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.]","HAND CARD DMQ2"," Both males and females 0 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DMDYRSUS,"Length of time in US","Length of time the participant has been in the US.",," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
DMDEDUC3,"Education level - Children/Youth 6-19","What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?","HAND CARD DMQ1READ HAND CARD CATEGORIES IF NECESSARYENTER HIGHEST LEVEL OF SCHOOL"," Both males and females 6 YEARS - 19 YEARS",chear:EducationLevel,??child,,,,,,,,,
DMDEDUC2,"Education level - Adults 20+","What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?","HAND CARD DMQ1READ HAND CARD CATEGORIES IF NECESSARYENTER HIGHEST LEVEL OF SCHOOL"," Both males and females 20 YEARS - 150 YEARS",chear:EducationLevel,,,,,,,,,,
DMDMARTL,"Marital status","Marital status",," Both males and females 20 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
RIDEXPRG,"Pregnancy status at exam","Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.",," Females only 20 YEARS - 44 YEARS",sio:StatusDescriptor,,,,,,,,,,
INDHHIN2,"Annual household income","Total household income (reported as a range value in dollars)",," Both males and females 0 YEARS - 150 YEARS",chear:Income,,,,,,,,,,
INDFMIN2,"Annual family income","Total family income (reported as a range value in dollars)",," Both males and females 0 YEARS - 150 YEARS",chear:Income,,,,,,,,,,
INDFMPIR,"Ratio of family income to poverty","A ratio of family income to poverty guidelines.",," Both males and females 0 YEARS - 150 YEARS",sio:Ratio,,,,,,,,,,
DMDHHSIZ,"Total number of people in the Household","Total number of people in the Household",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
DMDFMSIZ,"Total number of people in the Family","Total number of people in the Family",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
WTCAI8YR,"Full sample CA 8 Year Interview Weight","Full sample 8-year interview weight for participants in California.",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000036,,,,,,,,
WTCI8R01,"CA 8 Year Interview Wt: Replicate 01","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 01 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R02,"CA 8 Year Interview Wt: Replicate 02","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 02 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R03,"CA 8 Year Interview Wt: Replicate 03","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 03 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R04,"CA 8 Year Interview Wt: Replicate 04","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 04 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R05,"CA 8 Year Interview Wt: Replicate 05","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 05 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R06,"CA 8 Year Interview Wt: Replicate 06","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 06 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R07,"CA 8 Year Interview Wt: Replicate 07","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 07 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R08,"CA 8 Year Interview Wt: Replicate 08","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 08 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R09,"CA 8 Year Interview Wt: Replicate 09","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 09 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R10,"CA 8 Year Interview Wt: Replicate 10","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 10 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R11,"CA 8 Year Interview Wt: Replicate 11","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 11 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R12,"CA 8 Year Interview Wt: Replicate 12","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 12 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R13,"CA 8 Year Interview Wt: Replicate 13","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 13 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R14,"CA 8 Year Interview Wt: Replicate 14","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 14 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R15,"CA 8 Year Interview Wt: Replicate 15","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 15 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R16,"CA 8 Year Interview Wt: Replicate 16","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 16 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
WTCI8R17,"CA 8 Year Interview Wt: Replicate 17","8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 17 for participants in California.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
