Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXDLSPST,"IVA Lateral Spine scan status","Instant Vertebral Assessment (IVA) Lateral spine scan status",," Both males and females 40 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DXXT4CO,"Original T4 fracture invalidity code","Original T4 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT5CO,"Original T5 fracture invalidity code","Original T5 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT6CO,"Original T6 fracture invalidity code","Original T6 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT7CO ,"Original T7 fracture invalidity code","Original T7 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT8CO,"Original T8 fracture invalidity code","Original T8 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT9CO,"Original T9 fracture invalidity code","Original T9 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT10CO,"Original T10 fracture invalidity code","Original T10 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT11CO,"Original T11 fracture invalidity code","Original T11 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT12CO,"Original T12 fracture invalidity code","Original T12 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL1CO,"Original L1 fracture invalidity code","Original L1 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL2CO,"Original L2 fracture invalidity code","Original L2 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL3CO,"Original L3 fracture invalidity code","Original L3 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL4CO,"Original L4 fracture invalidity code","Original L4 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXVFASO,"Original vert. fracture status summary","Original vertebral fracture status summary",," Both males and females 40 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DXXT4FO,"Original T4 fracture score","Original T4 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT5FO,"Original T5 fracture score","Original T5 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT6FO,"Original T6 fracture score","Original T6 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT7FO,"Original T7 fracture score","Original IVA T7 Fracture Score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT8FO ,"Original T8 fracture score","Original T8 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT9FO ,"Original T9 fracture score","Original T9 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT10FO,"Original T10 fracture score","Original T10 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT11FO,"Original T11 fracture score","Original T11 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT12FO,"Original T12 fracture score","Original T12 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL1FO ,"Original L1 fracture score","Original L1 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL2FO,"Original L2 fracture score","Original L2 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL3FO ,"Original L3 fracture score","Original L3 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL4FO,"Original L4 fracture score","Original L4 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXVFASG,"Genant Vertebral fracture status summary","Genant Vertebral fracture status summary",," Both males and females 40 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DXXT4CG,"Genant T4 fracture invalidity code","Genant T4 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT5CG,"Genant T5 fracture invalidity code","Genant T5 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT6CG,"Genant T6 fracture invalidity code","Genant T6 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT7CG,"Genant T7 fracture invalidity code","Genant T7 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT8CG,"Genant T8 fracture invalidity code","Genant T8 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT9CG,"Genant T9 fracture invalidity code","Genant T9 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT10CG,"Genant T10 fracture invalidity code","Genant T10 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT11CG,"Genant T11 fracture invalidity code","Genant T11 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT12CG,"Genant T12 fracture invalidity code","Genant T12 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL1CG,"Genant L1 fracture invalidity code","Genant L1 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL2CG,"Genant L2 fracture invalidity code","Genant L2 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL3CG,"Genant L3 fracture invalidity code","Genant L3 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXL4CG,"Genant L4 fracture invalidity code","Genant L4 fracture invalidity code",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT4FG,"Genant T4 fracture score","Genant T4 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT5FG,"Genant T5 fracture score","Genant T5 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
DXXT6FG,"Genant T6 fracture score","Genant T6 fracture score",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
