Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSD032A,"HH Worried run out of food","Now I am going to read you several statements that people have made about their food situation. For these statements, please tell me whether the statement was often true, sometimes true, or never true for {you/your household} in the last 12 months, that is since last {DISPLAY CURRENT MONTH}. The first statement is . . .  {I/we} worried whether {my/our} food would run out before {I/we} got money to buy more.","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSD032B,"HH Food didn't last","[The next statement is . . .]  The food that {I/we} bought just didn't last, and {I/we} didn't have money to get more.","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSD032C,"HH Couldn't afford balanced meals","[The next statement is . . .]  {I/we} couldn't afford to eat balanced meals.","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSQBOX1,,,"BOX 1. CHECK ITEM: IF RESPONSE TO FSD032 'A', 'B', or 'C' IS CODE 1 OR 2 (OFTEN TRUE OR SOMETIMES TRUE), CONTINUE. OTHERWISE, GO TO BOX 3."," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,chebi:27007,,,,,,,,
FSD041,"HH Adults cut size or skip meals","In the last 12 months, since last {DISPLAY CURRENT MONTH}, did {you/you or other adults in your household} ever cut the size of your meals or skip meals because there wasn't enough money for food?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSD052,"HH How often adults cut size/skip meals","How often did this happen?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSD061,"HH Eat less than should","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money to buy food?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSD071,"HH Hungry, but didn't eat","[In the last 12 months], were you ever hungry but didn't eat because you couldn't afford enough food?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSD081,"HH Lost weight, no money for food","[In the last 12 months], did you lose weight because you didn't have enough money for food?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
FSQBOX2,,,"BOX 2. CHECK ITEM: IF RESPONSE TO FSD041, 061, 071, OR 081 IS CODE 1 (YES), CONTINUE. OTHERWISE GO TO BOX 3. "," Both males and females 0 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
FSD092,"HH Adults not eat whole day","[In the last 12 months], did {you/you or other adults in your household} ever not eat for a whole day because there wasn't enough money for food?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
FSD102,"HH How often adults not eat for day","How often did this happen?  Would you say . . .","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
FSQBOX3,,,"BOX 3. CHECK ITEM: IF THERE IS AT LEAST 1 CHILD IN THE HOUSEHOLD WHO IS <= 17 (OR IN THE AGE RANGE THAT INCLUDES OR IS LESS THAN THE ONE THAT INCLUDES 17), CONTINUE. OTHERWISE, GO TO FSDHH. "," Both males and females 0 YEARS - 150 YEARS",sio:Age,??child,chebi:27007,,,,,,,,
FSD032D,"HH Relied on low-cost food for child","[The next statement is . . .] (I/we) relied on only a few kinds of low-cost food to feed {CHILD'S NAME / THE CHILDREN} because (I was/we were) running out of money to buy food.","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,??child,,,,,,,,,
FSD032E,"HH Couldn't feed child balanced meal","[The next statement is . . .] (I/we) couldn't feed {CHILD'S NAME / THE CHILDREN} a balanced meal, because (I/we) couldn't afford that.","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,??child,,,,,,,,,
FSD032F,"HH Child not eating enough","[The next statement is . . .] {CHILD'S NAME WAS /THE CHILDREN WERE} not eating enough because (I/we) just couldn't afford enough food.","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,??child,chebi:27007,,,,,,,,
FSQBOX4,,,"BOX 4. CHECK ITEM: IF RESPONSE TO FSD032 'D', 'E', or 'F' IS CODE 1 OR 2 (OFTEN TRUE OR SOMETIMES TRUE)(AFFIRMATIVE), CONTINUE. OTHERWISE, GO TO FSDHH."," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,chebi:27007,,,,,,,,
FSD111,"HH Cut size of child meals","In the last 12 months, since {DISPLAY CURRENT MONTH} of last year, did you ever cut the size of {CHILD'S NAME's/any of the children's} meals because there wasn't enough money for food?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,??child,,,,,,,,,
FSD122,"HH Child skip meals","[In the last 12 months], did {CHILD'S NAME/any of the children} ever skip meals because there wasn't enough money for food?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,??child,,,,,,,,,
FSD132,"HH How often child skip meals","How often did this happen?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,??child,,,,,,,,,
FSD141,"HH Child hungry in last 12 months","In the last 12 months, {was CHILD'S NAME/were the children} ever hungry but you just couldn't afford more food?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,??child,obo:UO_0000035,,,,,,,,
FSD146,"HH Child not eat whole day","[In the last 12 months], did {CHILD'S NAME/any of the children} ever not eat for a whole day because there wasn't enough money for food?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,??child,obo:UO_0000033,,,,,,,,
FSDHH,"Household food security category","Household food security category for last 12 months","Calculated at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSDAD,"Adult food security category","Adult food security category for last 12 months","Calculated at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSDCH,"Child food security category","Child food security category for last 12 months","Calculated at household level. Only applies if there is at least one child 17 years old or less in the household."," Both males and females 0 YEARS - 150 YEARS",,??child,,,,,,,,,
FSD151,"HH Emergency food received","In the last 12 months, did {you/you or any member of your household} ever get emergency food from a church, a food pantry, or a food bank, or eat in a soup kitchen?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSQBOX5,,,"BOX 5. CHECK ITEM: IF THE RESPONSE TO FSD032 'A', 'B', 'C', 'D', 'E' or 'F' IS 'OFTEN TRUE' (CODE 1) OR 'SOMETIMES TRUE' (CODE 2), OR 'REFUSE' (CODE 7), OR 'DON'T KNOW' (CODE 9) CONTINUE. OTHERWISE, GO TO FSQ165. "," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,chebi:27007,,,,,,,,
FSQ165,"HH FS benefit: ever received","The next questions are about SNAP, the Supplemental Nutrition Assistance Program, formerly known as the Food Stamp Program. SNAP benefits are provided on an electronic debit card {or EBT card} {called the DISPLAY STATE NAME FOR EBT CARD}} card in STATE}. Have {you/you or anyone in your household} ever received SNAP or Food Stamp benefits?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSQ012,"HH FS benefit: receive in last 12 months","In the last 12 months, did {you/you or any member of your household} receive SNAP or Food Stamp benefits?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000035,,,,,,,,
FSD012N,"HH FS benefit: number people received","In the last 12 months, how many people in your household received SNAP or Food Stamp benefits?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSD230  ,"HH FS benefit: currently receive","{Do you/Does any member of your household} currently receive SNAP or Food Stamp benefits?","Collected at household level."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
FSD225,"HH FS benefit: time since last received","Number of days between the time the household last received Food Stamp benefit and the date of interview.","Calculated at household level."," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
