Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
URDHVOLM,"Volume of AM Collections","Volume of AM Collections",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
URDHVOLE,"Volume of PM Collections","Volume of PM Collections",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
URDDAYM ,"Day of the Week (AM Collection)","Day of the Week (AM Collection)",," Both males and females 20 YEARS - 69 YEARS",,,obo:UO_0000034,,,,,,,,
URDDAYE ,"Day of the Week (PM Collection)","Day of the Week (PM Collection)",," Both males and females 20 YEARS - 69 YEARS",,,obo:UO_0000034,,,,,,,,
URDDBUHM,"# of days b/w AM HUC and 24-hour urine","Number of days between the day of the morning home urine collection and the first 24-hour urine collection",," Both males and females 20 YEARS - 69 YEARS",sio:Quantity,,uberon:0001088,,,,,,,,
URDDBUHE,"# of days b/w PM HUC and 24-hour urine","Number of days between the day of the evening home urine collection and the first 24-hour urine collection",," Both males and females 20 YEARS - 69 YEARS",sio:Quantity,,uberon:0001088,,,,,,,,
URDHCSTS,"HUC Status Code","HUC Status Code",," Both males and females 20 YEARS - 69 YEARS",sio:StatusDescriptor,,,,,,,,,,
URHMAM  ,"Albumin, Urine AM Collection (ug/dL)","Albumin, Urine AM Collection (ug/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:MicrogramPerDecilter,,,,,,,,
URHMAE  ,"Albumin, Urine PM Collection (ug/dL)","Albumin, Urine PM Collection (ug/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:MicrogramPerDecilter,,,,,,,,
URDMAELC,"Albumin, Urine PM Comment Code","Albumin, Urine PM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHCAM  ,"Calcium, Urine AM Collection (mg/dL)","Calcium, Urine AM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URHCAE  ,"Calcium, Urine PM Collection (mg/dL)","Calcium, Urine PM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URHCRM  ,"Creatinine, Urine AM Collection (mg/dL)","Creatinine, Urine AM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URHCRE  ,"Creatinine, Urine PM Collection (mg/dL)","Creatinine, Urine PM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URHMGM  ,"Magnesium, Urine AM Collection (mg/dL)","Magnesium, Urine AM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URHMGE  ,"Magnesium, Urine PM Collection (mg/dL)","Magnesium, Urine PM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URHOXM  ,"Oxalate, Urine AM Collection (mmol/L)","Oxalate, Urine AM Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
URDOXMLC,"Oxalate, Urine AM Comment Code","Oxalate, Urine AM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHOXE  ,"Oxalate, Urine PM Collection (mmol/L)","Oxalate, Urine PM Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
URDOXELC,"Oxalate, Urine PM Comment Code","Oxalate, Urine PM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHPHM  ,"Phosphorus, Urine AM Collection (mg/dL)","Phosphorus, Urine AM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URHPHE  ,"Phosphorus, Urine PM Collection (mg/dL)","Phosphorus, Urine PM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDPHELC,"Phosphorus, Urine PM Comment Code ","Phosphorus, Urine PM Comment Code ",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHUNM  ,"Urea Nitrogen AM Collection (mg/dL)","Urea Nitrogen AM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDUNMLC,"Urea Nitrogen, Urine AM Comment Code","Urea Nitrogen, Urine AM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
URHUNE  ,"Urea Nitrogen PM Collection (mg/dL)","Urea Nitrogen PM Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDUNELC,"Urea Nitrogen, Urine PM Comment Code","Urea Nitrogen, Urine PM Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
VPSU,"Variance PSU ","Variance primary sampling unit (PSU)",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
VSTRA,"Variance stratum","Variance stratum",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
WT1YUR,"1 year urine weight","1 year urine weight",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR01,"1 year urine weight - Jackknife 01","1 year urine weight: Jackknife replicate weight 01",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR02,"1 year urine weight - Jackknife 02","1 year urine weight: Jackknife replicate weight 02",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR03,"1 year urine weight - Jackknife 03","1 year urine weight: Jackknife replicate weight 03",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR04,"1 year urine weight - Jackknife 04","1 year urine weight: Jackknife replicate weight 04",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
