Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXGH   ,"HPV High Globulin Band result","HPV High Globulin Band result",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXGL   ,"HPV Low Globulin Band result","HPV Low Globulin Band result",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH06  ,"HPV Type 6","HPV Type 6",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH11  ,"HPV Type 11","HPV Type 11",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH16  ,"HPV Type 16","HPV Type 16",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH18  ,"HPV Type 18","HPV Type 18",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH26  ,"HPV Type 26","HPV Type 26",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH31  ,"HPV Type 31","HPV Type 31",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH33  ,"HPV Type 33","HPV Type 33",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH35  ,"HPV Type 35","HPV Type 35",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH39  ,"HPV Type 39","HPV Type 39",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH40  ,"HPV Type 40","HPV Type 40",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH42  ,"HPV Type 42","HPV Type 42",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH45  ,"HPV Type 45","HPV Type 45",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH51  ,"HPV Type 51","HPV Type 51",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH52  ,"HPV Type 52","HPV Type 52",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH53  ,"HPV Type 53","HPV Type 53",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH54  ,"HPV Type 54","HPV Type 54",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH55  ,"HPV Type 55","HPV Type 55",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH56  ,"HPV Type 56","HPV Type 56",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH58  ,"HPV Type 58","HPV Type 58",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH59  ,"HPV Type 59","HPV Type 59",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH61  ,"HPV Type 61","HPV Type 61",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH62  ,"HPV Type 62","HPV Type 62",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH64  ,"HPV Type 64","HPV Type 64",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH66  ,"HPV Type 66","HPV Type 66",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH67  ,"HPV Type 67","HPV Type 67",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH68  ,"HPV Type 68","HPV Type 68",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH69  ,"HPV Type 69","HPV Type 69",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH70  ,"HPV Type 70","HPV Type 70",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH71  ,"HPV Type 71","HPV Type 71",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH72  ,"HPV Type 72","HPV Type 72",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH73  ,"HPV Type 73","HPV Type 73",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH81  ,"HPV Type 81","HPV Type 81",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH82  ,"HPV Type 82","HPV Type 82",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH83  ,"HPV Type 83","HPV Type 83",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXH84  ,"HPV Type 84","HPV Type 84",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXHPC  ,"HPV CP 6108","HPV CP 6108",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXHPI  ,"HPV Type IS39","HPV Type IS39",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
ORXHPV  ,"Oral HPV Result","Oral HPV Result",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
