Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Females only 12 YEARS - 150 YEARS",,,,,,,,,,,
RHQ010,"Age when first menstrual period occurred","The next series of questions are about {your/SP's} reproductive history.  I will begin by asking about {your/SP's} periods or menstrual cycles.  How old {were you/was SP} when {you/SP} had {your/her} first menstrual period?","CODE '0' IF HAVEN'T STARTED YET.  CAPI INSTRUCTION: SOFT EDIT VALUES: 8-25 YEARS.  HARD EDIT VALUES:  AGE OF 1ST PERIOD CANNOT BE GREATER THAN CURRENT AGE.  ENTER AGE IN YEARS."," Females only 12 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
RHQ020,"Age range at first menstrual period","{Were you/Was SP}...",," Females only 12 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
RHQ031,"Had regular periods in past 12 months","{Have you/Has SP} had at least one menstrual period in the past 12 months? (Please do not include bleedings caused by medical conditions, hormone therapy, or surgeries.)",," Females only 12 YEARS - 150 YEARS",,,obo:UO_0000035,,,,,,,,
RHD043,"Reason not having regular periods","What is the reason that {you have/SP has} not had a period in the past 12 months?",," Females only 12 YEARS - 150 YEARS",,,,,,,,,,,
RHQ060,"Age at last menstrual period","About how old {were you/was SP} when {you/SP} had {your/her} last menstrual period?","ENTER AGE IN YEARS."," Females only 12 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
RHQ070,"Age range at last menstrual period","{Were you/Was SP}...",," Females only 12 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
RHQ074  ,"Tried for a year to become pregnant?","The next questions are about {your/SP's} pregnancy history. {Have you/Has SP} ever attempted to become pregnant over a period of at least a year without becoming pregnant?",," Females only 18 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
RHQ076  ,"Seen a DR b/c unable to become pregnant?","{Have you/Has SP} ever been to a doctor or other medical provider because {you have/she has} been unable to become pregnant?",," Females only 18 YEARS - 150 YEARS",,,,,,,,,,,
RHQ078  ,"Ever treated for a pelvic infection/PID?","{Have you/Has SP} ever been treated for an infection in {your/her} fallopian tubes, uterus or ovaries, also called a pelvic infection, pelvic inflammatory disease, or PID?",," Females only 18 YEARS - 150 YEARS",,,,,,,,,,,
