Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
UR1UCSTS,"Urine collection status","Urine collection status",," Both males and females 20 YEARS - 69 YEARS",sio:StatusDescriptor,,uberon:0001088,,,,,,,,
UR1NASI ,"Sodium, Urine 1st Collection (mmol/L)","Sodium, Urine 1st Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
UR1NA   ,"Sodium, Urine 1st Collection (mg/dL)","Sodium, Urine 1st Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDNA1LC,"Sodium, Urine 1st Comment Code","Sodium, Urine 1st Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
UR1KSI,"Potassium, Urine 1st Collection (mmol/L)","Potassium, Urine 1st Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
UR1K    ,"Potassium, Urine 1st Collection (mg/dL)","Potassium, Urine 1st Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
UR1CLSI ,"Chloride, Urine 1st Collection (mmol/L)","Chloride, Urine 1st Collection (mmol/L)",," Both males and females 20 YEARS - 69 YEARS",,,chear:millimole_per_liter,,,,,,,,
UR1CL   ,"Chloride, Urine 1st Collection (mg/dL)","Chloride, Urine 1st Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URDCL1LC,"Chloride, Urine 1st Comment Code","Chloride, Urine 1st Comment Code",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
UR1CR   ,"Creatinine, Urine 1st Collection (mg/dL)","Creatinine, Urine 1st Collection (mg/dL)",," Both males and females 20 YEARS - 69 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
VPSU,"Variance PSU ","Variance primary sampling unit (PSU)",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
VSTRA,"Variance stratum","Variance stratum",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
WT1YUR,"1 year urine weight","1 year urine weight",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR01,"1 year urine weight - Jackknife 01","1 year urine weight: Jackknife replicate weight 01",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR02,"1 year urine weight - Jackknife 02","1 year urine weight: Jackknife replicate weight 02",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR03,"1 year urine weight - Jackknife 03","1 year urine weight: Jackknife replicate weight 03",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR04,"1 year urine weight - Jackknife 04","1 year urine weight: Jackknife replicate weight 04",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR05,"1 year urine weight - Jackknife 05","1 year urine weight: Jackknife replicate weight 05",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR06,"1 year urine weight - Jackknife 06","1 year urine weight: Jackknife replicate weight 06",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR07,"1 year urine weight - Jackknife 07","1 year urine weight: Jackknife replicate weight 07",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR08,"1 year urine weight - Jackknife 08","1 year urine weight: Jackknife replicate weight 08",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR09,"1 year urine weight - Jackknife 09","1 year urine weight: Jackknife replicate weight 09",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR10,"1 year urine weight - Jackknife 10","1 year urine weight: Jackknife replicate weight 10",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR11,"1 year urine weight - Jackknife 11","1 year urine weight: Jackknife replicate weight 11",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR12,"1 year urine weight - Jackknife 12","1 year urine weight: Jackknife replicate weight 12",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR13,"1 year urine weight - Jackknife 13","1 year urine weight: Jackknife replicate weight 13",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR14,"1 year urine weight - Jackknife 14","1 year urine weight: Jackknife replicate weight 14",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR15,"1 year urine weight - Jackknife 15","1 year urine weight: Jackknife replicate weight 15",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
VPSUBRR,"Variance PSU for BRR","Variance PSU for use with BRR weights",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
VSTRABRR,"Variance stratum for BRR","Variance stratum for use with BRR weights",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
WT1YUB01,"1 year urine weight - Fay's BRR 01","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 01",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB02,"1 year urine weight - Fay's BRR 02","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 02",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB03,"1 year urine weight - Fay's BRR 03","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 03",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB04,"1 year urine weight - Fay's BRR 04","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 04",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB05,"1 year urine weight - Fay's BRR 05","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 05",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB06,"1 year urine weight - Fay's BRR 06","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 06",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB07,"1 year urine weight - Fay's BRR 07","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 07",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB08,"1 year urine weight - Fay's BRR 08","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 08",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB09,"1 year urine weight - Fay's BRR 09","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 09",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB10,"1 year urine weight - Fay's BRR 10","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 10",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB11,"1 year urine weight - Fay's BRR 11","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 11",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB12,"1 year urine weight - Fay's BRR 12","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 12",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB13,"1 year urine weight - Fay's BRR 13","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 13",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB14,"1 year urine weight - Fay's BRR 14","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 14",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB15,"1 year urine weight - Fay's BRR 15","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 15",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUB16,"1 year urine weight - Fay's BRR 16","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 16",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
