Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
UR2UCSTS,"Urine collection status","Urine collection status",," Both males and females 20 YEARS - 69 YEARS",sio:StatusDescriptor,,uberon:0001088,,,,,,,,
URDNCSP,"Number of complete 24-hr urine specimens","Number of complete 24-hour urine specimens",," Both males and females 20 YEARS - 69 YEARS",sio:Quantity,,uberon:0001088,,,,,,,,
UR2DBMU,"# of days b/w urine collection and exam","Number of days between the urine collection day and the day of MEC examination.",," Both males and females 20 YEARS - 69 YEARS",sio:Quantity,,uberon:0001088,,,,,,,,
UR2ASSIG,"Assigned to collect on weekday/weekend","Assigned to collect the 24-hour urine specimen on a weekday or weekend?",," Both males and females 20 YEARS - 69 YEARS",,,obo:UO_0000034,,,,,,,,
UR2COLL,"Day of week collected specimen","Day of the week the 24-hour urine specimen was collected.",," Both males and females 20 YEARS - 69 YEARS",,,obo:UO_0000034,,,,,,,,
UR2REAS,"Reason(s) for incomplete urine specimens","Reason(s) a urine specimen was incomplete",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001977,,,,,,,,
UR2904A,"Where was the urine collection started?","Where was the urine collection started?",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
UR2904B,"Where was the urine collection ended?","Where was the urine collection ended?",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
UR2009,"Able to keep urine cold?","Were you able to keep the storage containers cold in the cooler with ice packs or in the refrigerator until this appointment?",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
UR2010,"How long was the sample not kept cold?","How long was the sample not kept cold (minutes)?",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
UR2011,"Collect on a day you went to work?","Did you perform this collection on a day that you also went to work?",," Both males and females 20 YEARS - 69 YEARS",,,obo:UO_0000033,,,,,,,,
UR2012,"Difficulty carrying out the instructions","When collecting the sample, did you have any difficulty in remembering or carrying out the instructions?",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
UR2013,"Other problem collecting urine sample?","Did you have any other problem when collecting the 24-hour urine sample?",," Both males and females 20 YEARS - 69 YEARS",,,uberon:0001088,,,,,,,,
UR2014,"Eat or drink more or less for collection","Did you eat or drink more or less than you normally do because you were collecting your urine?",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
UR2TOVOL,"Total urine volume (mL)","Total urine volume (mL)",," Both males and females 20 YEARS - 69 YEARS",,,obo:UO_0000098,,,,,,,,
UR2TOTIM,"Total collection time (hours)","Total collection time (hours)",," Both males and females 20 YEARS - 69 YEARS",sio:TimeInterval,,obo:UO_0000032,,,,,,,,
UR2AVOL,"Adjusted 24-hr urine volume (mL)","Adjusted 24-hr urine volume (mL)",," Both males and females 20 YEARS - 69 YEARS",,,obo:UO_0000098,,,,,,,,
VPSU,"Variance PSU ","Variance primary sampling unit (PSU)",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
VSTRA,"Variance stratum","Variance stratum",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
WT1YUR,"1 year urine weight","1 year urine weight",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR01,"1 year urine weight - Jackknife 01","1 year urine weight: Jackknife replicate weight 01",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR02,"1 year urine weight - Jackknife 02","1 year urine weight: Jackknife replicate weight 02",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR03,"1 year urine weight - Jackknife 03","1 year urine weight: Jackknife replicate weight 03",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR04,"1 year urine weight - Jackknife 04","1 year urine weight: Jackknife replicate weight 04",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR05,"1 year urine weight - Jackknife 05","1 year urine weight: Jackknife replicate weight 05",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR06,"1 year urine weight - Jackknife 06","1 year urine weight: Jackknife replicate weight 06",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR07,"1 year urine weight - Jackknife 07","1 year urine weight: Jackknife replicate weight 07",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR08,"1 year urine weight - Jackknife 08","1 year urine weight: Jackknife replicate weight 08",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR09,"1 year urine weight - Jackknife 09","1 year urine weight: Jackknife replicate weight 09",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR10,"1 year urine weight - Jackknife 10","1 year urine weight: Jackknife replicate weight 10",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR11,"1 year urine weight - Jackknife 11","1 year urine weight: Jackknife replicate weight 11",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR12,"1 year urine weight - Jackknife 12","1 year urine weight: Jackknife replicate weight 12",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR13,"1 year urine weight - Jackknife 13","1 year urine weight: Jackknife replicate weight 13",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR14,"1 year urine weight - Jackknife 14","1 year urine weight: Jackknife replicate weight 14",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
WT1YUR15,"1 year urine weight - Jackknife 15","1 year urine weight: Jackknife replicate weight 15",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
VPSUBRR,"Variance PSU for BRR","Variance PSU for use with BRR weights",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
VSTRABRR,"Variance stratum for BRR","Variance stratum for use with BRR weights",," Both males and females 20 YEARS - 69 YEARS",,,,,,,,,,,
WT1YUB01,"1 year urine weight - Fay's BRR 01","1 year urine weight: Fays adjusted balanced repeated replication (Fays BRR) weight 01",," Both males and females 20 YEARS - 69 YEARS",chear:Weight,,uberon:0001088,,,,,,,,
