Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DBQ010,"Ever breastfed or fed breastmilk","Now I'm going to ask you some general questions about {SP's} eating habits.  Was {SP} ever breastfed or fed breastmilk?",," Both males and females 0 YEARS - 6 YEARS",,,,,,,,,,,
DBD030,"Age stopped breastfeeding(days)","How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?",," Both males and females 0 YEARS - 6 YEARS",sio:Age,,obo:UO_0000033,,,,,,,,
DBD041,"Age first fed formula(days)","How old was {SP} when {he/she} was first fed formula?",," Both males and females 0 YEARS - 6 YEARS",sio:Age,,obo:UO_0000033,,,,,,,,
DBD050,"Age stopped receiving formula(days)","How old was {SP} when {he/she} completely stopped drinking formula?",," Both males and females 0 YEARS - 6 YEARS",sio:Age,,obo:UO_0000033,,,,,,,,
DBD055,"Age started other than breastmilk/fomula","This next question is about the first thing that {SP} was given other than breast milk or formula.  Please include juice, cow's milk, sugar water, baby food, or anything else that {SP} might have been given, even water.  How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days)",," Both males and females 0 YEARS - 6 YEARS",sio:Age,,,,,,,,,,
DBD061,"Age first fed milk(days)","How old was {SP} when {he/she} was first fed milk?",," Both males and females 0 YEARS - 6 YEARS",sio:Age,,obo:UO_0000033,,,,,,,,
DBQ073A,"Type of milk first fed - whole milk","What type of milk was {SP} first fed?  Was it . . .","CODE ALL THAT APPLY"," Both males and females 0 YEARS - 6 YEARS",,,,,,,,,,,
DBQ073B,"Type of milk first fed - 2% milk","What type of milk was {SP} first fed?  Was it . . .","CODE ALL THAT APPLY"," Both males and females 0 YEARS - 6 YEARS",,,,,,,,,,,
DBQ073C,"Type of milk first fed - 1% milk","What type of milk was {SP} first fed?  Was it . . .","CODE ALL THAT APPLY"," Both males and females 0 YEARS - 6 YEARS",,,,,,,,,,,
DBQ073D,"Type of milk first fed - fat free milk","What type of milk was {SP} first fed?  Was it . . .","CODE ALL THAT APPLY"," Both males and females 0 YEARS - 6 YEARS",,,,,,,,,,,
DBQ073E,"Type of milk first fed - soy milk","What type of milk was {SP} first fed? Was it . . .","CODE ALL THAT APPLY"," Both males and females 0 YEARS - 6 YEARS",,,,,,,,,,,
DBQ073U,"Type of milk first fed - other","What type of milk was {SP} first fed?  Was it . . .","CODE ALL THAT APPLY"," Both males and females 0 YEARS - 6 YEARS",,,,,,,,,,,
DBD085,"CHECK ITEM ","CHECK ITEM","CHECK ITEM DBD085:  IF SP AGE < 1 GO TO END OF SECTION, ELSE SP AGE 1-15 GO TO DBQ197, OTHERWISE CONTINUE."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DBQ700,"How healthy is the diet","Next I have some questions about {your/SP?s} eating habits.  In general, how healthy is {your/his/her} overall diet?  Would you say . . .",," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
DBQ197,"Past 30 day milk product consumption","Now I'm going to ask a few questions about milk products.  Do not include their use in cooking.  In the past 30 days, how often did {you/SP} have milk to drink or on {your/his/her} cereal?  Please include chocolate and other flavored milks as well as hot cocoa made with milk.  Do not count small amounts of milk added to coffee or tea.  Would you say...","HAND CARD DBQ3"," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DBQ223A,"You drink whole or regular milk","What type of milk was it?  Was it usually . . .","IF RESPONDENT CANNOT PROVIDE USUAL TYPE, CODE ALL THAT APPLY."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
DBQ223B,"You drink 2% fat milk","What type of milk was it?  Was it usually . . .","IF RESPONDENT CANNOT PROVIDE USUAL TYPE, CODE ALL THAT APPLY."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
DBQ223C,"You drink 1% fat milk","What type of milk was it?  Was it usually . . .","IF RESPONDENT CANNOT PROVIDE USUAL TYPE, CODE ALL THAT APPLY."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
DBQ223D,"You drink fat free/skim milk","What type of milk was it?  Was it usually . . .","IF RESPONDENT CANNOT PROVIDE USUAL TYPE, CODE ALL THAT APPLY."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
DBQ223E,"You drink soy milk","What type of milk was it? Was it usually . . .","IF RESPONDENT CANNOT PROVIDE USUAL TYPE, CODE ALL THAT "," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DBQ223U,"You drink another type of milk","What type of milk was it?  Was it usually . . .","IF RESPONDENT CANNOT PROVIDE USUAL TYPE, CODE ALL THAT APPLY."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
DBD225,,,"CHECK ITEM DBD225:  IF SP AGE 1-19 GO TO DBD355, OTHERWISE CONTINUE."," Both males and females 1 YEARS - 150 YEARS",sio:Age,,chebi:27007,,,,,,,,
DBQ229,"Regular milk use 5 times per week","The next question is about regular milk use.  A regular milk drinker is someone who uses any type of milk at least 5 times a week.  Using this definition, which statement best describes {you/SP}?...","HAND CARD DBQ4"," Both males and females 20 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000034,,,,,,,,
DBQ235A,"How often drank milk age 5-12","Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old?  Would you say...","HAND CARD DBQ5  IF NECESSARY, PROBE FOR USUAL OR MOST COMMON AMOUNT FOR THIS TIME PERIOD"," Both males and females 20 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
DBQ235B,"How often drank milk age 13-17","Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old?  Would you say...","HAND CARD DBQ5  IF NECESSARY, PROBE FOR USUAL OR MOST COMMON AMOUNT FOR THIS TIME PERIOD"," Both males and females 20 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
DBQ235C,"How often drank milk age 18-35","Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old?  Would you say...","HAND CARD DBQ5  IF NECESSARY, PROBE FOR USUAL OR MOST COMMON AMOUNT FOR THIS TIME PERIOD"," Both males and females 20 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
DBD265a,"CHECK ITEM ","CHECK ITEM","CHECK ITEM DBD265A:  IF SP AGE 20-59, GO TO DBD715, OTHERWISE CONTINUE."," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
DBQ301,"Community/Government meals delivered","The next questions are about meals provided by community or government programs.  In the past 12 months, did {you/SP} receive any meals delivered to {your/his/her} home from community programs, 'Meals on Wheels', or any other programs?",," Both males and females 60 YEARS - 150 YEARS",,,,,,,,,,,
DBQ330,"Eat meals at Community/Senior center","In the past 12 months, did {you/SP} go to a community program or senior center to eat prepared meals?","INCLUDE ADULT DAY CARE"," Both males and females 60 YEARS - 150 YEARS",,,,,,,,,,,
DBD355,,,"CHECK ITEM DBD355: IF SP AGE >=60 or <4, GO TO DBD715, OTHERWISE, CONTINUE."," Both males and females 1 YEARS - 150 YEARS",sio:Age,,chebi:27007,,,,,,,,
DBQ360,"Attend kindergarten thru high school","During the school year, {do you/does SP} attend a kindergarten, grade school, junior or high school?",," Both males and females 4 YEARS - 19 YEARS",,,,,,,,,,,
DBQ370,"School serves school lunches","Does {your/SP's} school serve school lunches?  These are complete lunches that cost the same every day.",," Both males and females 4 YEARS - 19 YEARS",,,,,,,,,,,
DBD381,"# of times/week get school lunch","During the school year, about how many times a week {do you/does SP} usually get a complete school lunch?",," Both males and females 4 YEARS - 19 YEARS",sio:TimeInterval,,obo:UO_0000034,,,,,,,,
DBQ390,"School lunch free, reduced or full price","{Do you/Does SP} get these lunches free, at a reduced price, or {do you/does he/she} pay full price?",," Both males and females 4 YEARS - 19 YEARS",,,,,,,,,,,
DBQ400,"School serve complete breakfast each day","Does {your/SP's} school serve a complete breakfast that costs the same every day?",," Both males and females 4 YEARS - 19 YEARS",,,obo:UO_0000033,,,,,,,,
DBD411,"# of times/week get school breakfast","During the school year, about how many times a week {do you/does SP} usually get a complete breakfast at school?",," Both males and females 4 YEARS - 19 YEARS",sio:TimeInterval,,obo:UO_0000034,,,,,,,,
DBQ421,"School breakfast free/reduced/full price","{Do you/Does SP} get these breakfasts free, at a reduced price, or {do you/does he/she} pay full price?",," Both males and females 4 YEARS - 19 YEARS",,,,,,,,,,,
DBQ422,"CHECK ITEM ","CHECK ITEM","CHECK ITEM DBQ422:  IF DBQ390 = CODE 1 OR CODE 2, OR DBQ421 = CODE 1 OR CODE 2, CONTINUE;  OTHERWISE, GO TO DBD715."," Both males and females 4 YEARS - 19 YEARS",,,,,,,,,,,
DBQ424,"Summer program meal free/reduced price","(Do you/Does SP) get a free or reduced price meal at any summer program (he/she) attends?",," Both males and females 4 YEARS - 19 YEARS",,,obo:UO_0000021,,,,,,,,
DBD715,"CHECK ITEM ","","CHECK ITEM DBD715: IF SP AGE 12-15 GO TO DBQ915, OTHERWISE, CONTINUE."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
DBD895,"# of meals not home prepared","Next I'm going to ask you about meals.  By meal, I mean breakfast, lunch and dinner.  During the past 7 days, how many meals {did you/did SP} get that were prepared away from home in places such as restaurants, fast food places, food stands, grocery stores, or from vending machines?  {Please do not include meals provided as part of the school lunch or school breakfast./Please do not include meals provided as part of the community programs you reported earlier.}","CAPI INSTRUCTION: IF DBQ381G = 1 OR DBQ.411G = 1, DISPLAY {Please do not include meals provided as part of the school lunch or school breakfast.} IF DBQ.301 = 1 OR DBQ.330 = 1, DISPLAY {Please do not include meals provided as part of the community programs you reported earlier.}  SOFT EDIT:  DISPLAY A MESSAGE FOR ENTRY LARGER THAN '21.' - 'Unusually large number entered - Please verify - this is more than 3 meals per day, each day during the past 7 days.'"," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
DBD900,"# of meals from fast food or pizza place","How many of those meals {did you/did SP} get from a fast-food or pizza place?","CAPI INSTRUCTION:  HARD EDIT NUMBER OF MEALS ENTERED IN DBQ.900 MUST BE EQUAL TO OR LESS THAN NUMBER ENTERED IN DBQ.895.  IF NOT, DISPLAY THE FOLLOWING: 'THE NUMBER OF MEALS FROM A FAST FOOD OR PIZZA PLACE CANNOT BE GREATER THAN NUMBER OF MEALS PREPARED AWAY FROM HOME.'"," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
DBD905,"# of ready-to-eat foods in past 30 days","Some grocery stores sell 'ready to eat' foods such as salads, soups, chicken, sandwiches and cooked vegetables in their salad bars and deli counters.  During the past 30 days, how often did {you/SP} eat 'ready to eat' foods from the grocery store?  Please do not include sliced meat or cheese you buy for sandwiches and frozen or canned foods.",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DBD910,"# of frozen meals/pizza in past 30 days","During the past 30 days, how often did you {SP} eat frozen meals or frozen pizzas?  Here are some examples of frozen meals and frozen pizzas.",," Both males and females 1 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DBQ715a,,,"BOX 15a  CHECK ITEM DBQ715a: IF SP AGE < 16, GO TO END OF SECTION.  OTHERWISE, CONTINUE."," Both males and females 1 YEARS - 150 YEARS",sio:Age,,chebi:27007,,,,,,,,
CBQ596  ,"Heard of My Plate","Next I'm going to ask a few questions about the nutritional guidelines recommended for Americans by the federal government.  {Have you/Has SP} heard of My Plate?",," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
CBQ606 ,"Looked up My Plate on internet","{Have you/Has SP} looked up the My Plate plan on the internet?",," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
CBQ611 ,"Tried My Plate plan","{Have you/Has SP} tried to follow the recommendations in the My Plate plan?",," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
