Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
DIQ010,"Doctor told you have diabetes","The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?","CAPI INSTRUCTION:  IF SP AGE < 15, DISPLAY 'HAVE SP' FOR THE FIRST DISPLAY AND 'SP HAS' FOR THE SECOND DISPLAY.   IF SP IS FEMALE AND AGE >= 20, DISPLAY 'OTHER THAN DURING PREGNANCY, {HAVE YOU/HAS SP}'."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
DID040,"Age when first told you had diabetes","How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?","ENTER AGE IN YEARS."," Both males and females 1 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
DIQ159,,,"BOX 4. CHECK ITEM DIQ.159: IF AGE <12 OR DIQ.010 = 1 (YES), GO TO DIQ.050. IF AGE >=12 AND DIQ.010 = 3, GO TO DIQ.170. OTHERWISE, CONTINUE."," Both males and females 1 YEARS - 150 YEARS",sio:Age,,chebi:27007,,,,,,,,
DIQ160,"Ever told you have prediabetes","{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following:  prediabetes, impaired fasting glucose, impaired glucose tolerance, borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?","CAPI INSTRUCTION:  HELP SCREEN:  PREDIABETES, IMPAIRED FASTING GLUCOSE, IMPAIRED GLUCOSE TOLERANCE, OR BORDERLINE DIABETES OCCURS WHEN BLOOD SUGAR (GLUCOSE) LEVELS ARE HIGHER THAN NORMAL BUT NOT HIGH ENOUGH TO BE DIABETES.  HAND CARD DIQ1."," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
DIQ170,"Ever told have health risk for diabetes","{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
DIQ172  ,"Feel could be at risk for diabetes","{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
DIQ175A,"Family history","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?]","INTERVIEWER INSTRUCTION:  DO NOT READ. CODE ALL THAT APPLY.  CAPI INSTRUCTION: IF RESPONDENT ANSWERS 'OTHER', ALLOW ENTRY OF RESPONSE UP TO 250 CHARACTERS. HAND CARD DIQ2"," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
DIQ175B,"Overweight","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?]","INTERVIEWER INSTRUCTION:  DO NOT READ. CODE ALL THAT APPLY.  CAPI INSTRUCTION: IF RESPONDENT ANSWERS 'OTHER', ALLOW ENTRY OF RESPONSE UP TO 250 CHARACTERS. HAND CARD DIQ2"," Both males and females 12 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
DIQ175C,"Age","Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?[Anything else?]","INTERVIEWER INSTRUCTION:  DO NOT READ. CODE ALL THAT APPLY.  CAPI INSTRUCTION: IF RESPONDENT ANSWERS 'OTHER', ALLOW ENTRY OF RESPONSE UP TO 250 CHARACTERS. HAND CARD DIQ2"," Both males and females 12 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
