Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 18 YEARS - 69 YEARS",,,,,,,,,,,
DUQ200,"Ever used marijuana or hashish","The following questions ask about use of drugs not prescribed by a doctor. Please remember that your answers to these questions are strictly confidential. The first questions are about marijuana and hashish. Marijuana is also called pot or grass. Marijuana is usually smoked, either in cigarettes, called joints, or in a pipe. It is sometimes cooked in food. Hashish is a form of marijuana that is also called 'hash.' It is usually smoked in a pipe. Another form of hashish is hash oil. Have you ever, even once, used marijuana or hashish?",," Both males and females 18 YEARS - 59 YEARS",,,,,,,,,,,
DUQ210,"Age when first tried marijuana","How old were you the first time you used marijuana or hashish?","HARD EDIT VALUES:  0-69 Error message:  'Your response cannot exceed 69 years.  Please press the 'Back' button, press 'Clear,' and try again.' ENTER AGE IN YEARS"," Both males and females 18 YEARS - 59 YEARS",sio:Age,,,,,,,,,,
DUQ211  ,"Used marijuana every month for a year?","Have you ever smoked marijuana or hashish at least once a month for more than one year?","INSTRUCTIONS TO SP:  Please select . . ."," Both males and females 18 YEARS - 59 YEARS",,,obo:UO_0000036,,,,,,,,
DUQ213  ,"Age started regularly using marijuana","How old were you when you started smoking marijuana or hashish at least once a month for one year?","INSTRUCTIONS TO SP:  Please enter an age.ENTER AGE IN YEARSHARD EDIT VALUES:  0-59 Error message:  'Your response cannot exceed 59 years.  Please press the 'Back' button, press 'Clear,' and try again.'HARD EDIT:  DUQ.213 must be equal to or less than current age.  Error message:  'Your response is greater than your recorded age.  Please press the 'Back' button, press 'Clear,' and try again.'HARD EDIT:  DUQ.213 must be equal to or greater than DUQ.210. Error message:  'Your response is earlier than your response to the age when you first used marijuana or hashish.  Please press the 'Back' button, press 'Clear,' and try again.'"," Both males and females 18 YEARS - 59 YEARS",sio:Age,,,,,,,,,,
DUQ215Q ,"Time since last used marijuana regularly","How long has it been since you last smoked marijuana or hashish at least once a month for one year?","ENTER NUMBER OF DAYS, WEEKS, MONTHS, OR YEARS"," Both males and females 18 YEARS - 59 YEARS",sio:TimeInterval,,,,,,,,,,
DUQ215U ,"Time since used marijuana regularly/unit","How long has it been since you last smoked marijuana or hashish at least once a month for one year?","ENTER UNIT"," Both males and females 18 YEARS - 59 YEARS",sio:TimeInterval,,,,,,,,,,
DUQ217  ,"How often would you use marijuana?","During the time that you smoked marijuana or hashish, how often would you usually use it?","INSTRUCTIONS TO SP:  Please select . . ."," Both males and females 18 YEARS - 59 YEARS",,,,,,,,,,,
DUQ219  ,"How many joints or pipes smoke in a day?","During the time that you smoked marijuana or hashish, how many joints or pipes would you usually smoke in a day?","INSTRUCTIONS TO SP:  Please select . . ."," Both males and females 18 YEARS - 59 YEARS",,,obo:UO_0000033,,,,,,,,
DUQ220Q,"Last time used marijuana or hashish","How long has it been since you last used marijuana or hashish?","ENTER NUMBER OF DAYS, WEEKS, MONTHS, OR YEARS"," Both males and females 18 YEARS - 59 YEARS",sio:TimeInterval,,,,,,,,,,
DUQ220U,"Last time used marijuana or hashish/unit","How long has it been since you last used marijuana or hashish?","ENTER UNIT"," Both males and females 18 YEARS - 59 YEARS",sio:TimeInterval,,,,,,,,,,
DUQ230,"# days used marijuana or hashish/month","During the past 30 days, on how many days did you use marijuana or hashish?","HARD EDIT VALUES:  1-30.  Error message:  'Your response cannot exceed 30 days.  Please press the 'Back' button, press 'Clear,' and try again.' ENTER A NUMBER"," Both males and females 18 YEARS - 59 YEARS",sio:Quantity,,obo:UO_0000035,,,,,,,,
DUQ240,"Ever used cocaine/heroin/methamphetamine","Have you ever used cocaine, crack cocaine, heroin, or methamphetamine?",," Both males and females 18 YEARS - 69 YEARS",,,,,,,,,,,
