Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ011,"Covered by health insurance","The (first/next) questions are about health insurance. {Are you/Is SP} covered by health insurance or some other kind of health care plan?  [Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.]",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031A,"Covered by private insurance","{Are you/Is SP} covered by private insurance?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031B,"Covered by Medicare","{Are you/Is SP} covered by Medicare?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031C,"Covered by Medi-Gap","{Are you/Is SP} covered by Medi-Gap?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031D,"Covered by Medicaid","{Are you/Is SP} covered by Medicaid?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031E,"Covered by SCHIP","{Are you/Is SP} covered by SCHIP (State Children's Health Insurance Program)?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031F,"Covered by military health care","{Are you/Is SP} covered by military health plan (Tricare/VA/Champ-VA)?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031G,"Covered by Indian Health Service","{Are you/Is SP} covered by Indian Health Service?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031H,"Covered by state-sponsored health plan","{Are you/Is SP} covered by state-sponsored health plan?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031I,"Covered by other government insurance","{Are you/Is SP} covered by other government insurance?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031J,"Covered by single service plan","{Are you/Is SP} covered by any single service plan?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ031AA,"No coverage of any type","No coverage of any type.",," Both males and females 0 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
HIQ065,,,"If Age>=65 and HIQ031B not= 15 then go to HIQ260. If HIQ031B=15 then go to HIQ105. Otherwise - continue."," Both males and females 0 YEARS - 150 YEARS",sio:Age,,chebi:27007,,,,,,,,
HIQ259,,,"If Age < 65 and HIQ011=1(Yes) and HIQ031AA not=40(No coverage) then go to HIQ270.If Age < 65 and (HIQ011=2/7/9 or HIQ031AA=40) then go to END of section."," Both males and females 0 YEARS - 64 YEARS",sio:Age,,,,,,,,,,
HIQ260,"Have Medicare?","{Do you/Does SP} have Medicare?","This is a health insurance program that virtually all persons 65 and older are eligible for."," Both males and females 65 YEARS - 150 YEARS",,,,,,,,,,,
HIQ105,"Insurance card available or not","Insurance card available or not.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ269,,,"If (HIQ011=1 and HIQ031AA not= 40) or HIQ260=1 then continue. Otherwise go to END of section."," Both males and females 0 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
HIQ270,"Do plans cover prescriptions?","{Does this plan/Do any of these plans} cover any part of the cost of prescriptions?","CAPI INSTRUCTION: IF HIQ031B = 15 or HIQ260 = 1, DISPLAY: [If you are enrolled in Medicare Part D, also known as the Medicare Prescription Drug Plan, you have some prescription drug coverage.]"," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HIQ210,"Time when no insurance in past year?","In the past 12 months, was there any time when {you/SP} did not have any health insurance coverage?",," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000036,,,,,,,,
