Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 2 YEARS - 150 YEARS",,,,,,,,,,,
PAQ605  ,"Vigorous work activity","Next I am going to ask you about the time {you spend/SP spends} doing different types of physical activity in a typical week. Think first about the time {you spend/he spends/she spends} doing work.  Think of work as the things that {you have/he has/she has} to do such as paid or unpaid work,  household chores, and yard work.  Does {your/SP's} work involve vigorous-intensity activity that causes large increases in breathing or heart rate like carrying or lifting heavy loads, digging or construction work for at least 10 minutes continuously?",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
PAQ610  ,"Number of days vigorous work","In a typical week, on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?","PROBE IF NEEDED: Vigorous-intensity activity causes large increases in breathing or heart rate and is done for at least 10 minutes continuously. INTERVIEWER: REMEMBER, WE ARE ONLY ASKING ABOUT WORK AND CHORES IN THIS QUESTION. (SP interview version) HARD EDIT: 1-7 (MEC interview version) HARD EDIT: LESS THAN 1 DAY OR MORE THAN 7 DAYS. ERROR MESSAGE: THE NUMBER OF DAYS SHOULD BE BETWEEN 1 AND 7. ENTER NUMBER OF DAYS"," Both males and females 12 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
PAD615 ,"Minutes vigorous-intensity work","How much time {do you/does SP} spend doing vigorous-intensity activities at work on a typical day?","PROBE IF NEEDED: Think about a typical day when {you do/he does/she does} vigorous-intensity activities during {your/his/her} work. PROBE IF NEEDED: Vigorous-intensity activity causes large increases in breathing or heart rate and is done for at least 10 minutes continuously. INTERVIEWER: REMEMBER, WE ARE ONLY ASKING ABOUT WORK AND CHORES. (SP interview version) SOFT EDIT:  >4 HOURS.  SOFT EDIT WORDING:  INTERVIEWER, YOU HAVE RECORDED THAT THE SP SPENDS MORE THAN 4 HOURS DOING VIGOROUS-INTENSITY ACTIVITIES AT WORK ON A TYPICAL DAY.  PLEASE CONFIRM WITH SP THAT OVER 4 HOURS IS CORRECT. HARD EDIT:  >24 HOURS. HARD EDIT:  <10 MINUTES. ENTER NUMBER OF MINUTES OR HOURS (MEC interview version) SOFT EDIT:  >4 hours.  ERROR MESSAGE:  INTERVIEWER, YOU HAVE RECORDED THAT THE SP SPENDS MORE THAN 4 HOURS DOING VIGOROUS-INTENSITY ACTIVITIES AT WORK ON A TYPICAL DAY.  PLEASE CONFIRM WITH SP THAT OVER 4 HOURS IS CORRECT. HARD EDIT:  LESS THAN 10 MINUTES OR 24 HOURS OR MORE. ERROR MESSAGE: THE TIME SHOULD BE 10 MINUTES OR MORE, BUT LESS THAN 24 HOURS. ENTER NUMBER (OF MINUTES OR HOURS)"," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000031,,,,,,,,
PAQ620  ,"Moderate work activity","Does {your/SP's} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
PAQ625  ,"Number of days moderate work","In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?","PROBE IF NEEDED: Moderate-intensity activity causes small increases in breathing or heart rate and is done for at least 10 minutes continuously. INTERVIEWER: REMEMBER, WE ARE ONLY ASKING ABOUT WORK AND CHORES. (SP interview version) HARD EDIT: 1-7. ENTER NUMBER OF DAYS (MEC interview version) HARD EDIT:  LESS THAN 1 DAY OR MORE THAN 7 DAYS. ERROR MESSAGE: THE NUMBER OF DAYS SHOULD BE BETWEEN 1 AND 7. ENTER NUMBER OF DAYS"," Both males and females 12 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
PAD630,"Minutes moderate-intensity work","How much time {do you/does SP} spend doing moderate-intensity activities at work on a typical day?","PROBE IF NEEDED: Think about a typical day when {you do/he does/she does} moderate-intensity activities during your work. PROBE IF NEEDED: Moderate-intensity activity causes small increases in breathing or heart rate and is done for at least 10 minutes continuously. INTERVIEWER: REMEMBER, WE ARE ONLY ASKING ABOUT WORK AND CHORES. (SP interview version) SOFT EDIT:  >4 HOURS.  SOFT EDIT WORDING:  INTERVIEWER, YOU HAVE RECORDED THAT THE SP SPENDS MORE THAN 4 HOURS DOING MODERATE-INTENSITY ACTIVITIES AT WORK ON A TYPICAL DAY.  PLEASE CONFIRM WITH SP THAT OVER 4 HOURS IS CORRECT. HARD EDIT:  >24 HOURS. HARD EDIT:  <10 MINUTES. ENTER NUMBER OF MINUTES OR HOURS (MEC interview version) SOFT EDIT:  >4 hours. ERROR MESSAGE:  INTERVIEWER, YOU HAVE RECORDED THAT THE SP SPENDS MORE THAN 4 HOURS DOING MODERATE-INTENSITY ACTIVITIES AT WORK ON A TYPICAL DAY.  PLEASE CONFIRM WITH SP THAT OVER 4 HOURS IS CORRECT. HARD EDIT:  LESS THAN 10 MINUTES OR 24 HOURS OR MORE. ERROR MESSAGE: THE TIME SHOULD BE 10 MINUTES OR MORE, BUT LESS THAN 24 HOURS. ENTER NUMBER (OF MINUTES OR HOURS)"," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000031,,,,,,,,
PAQ635  ,"Walk or bicycle","The next questions exclude the physical activity at work that you have already mentioned.  Now I would like to ask you about the usual way {you travel/SP travels} to and from places.  For example to school, for shopping, to work.  In a typical week  {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
PAQ640  ,"Number of days walk or bicycle","In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?","(SP interview version) HARD EDIT:  1-7. ENTER NUMBER OF DAYS (MEC interview version) HARD EDIT: LESS THAN 1 DAY OR MORE THAN 7 DAYS.ERROR MESSAGE: THE NUMBER OF DAYS SHOULD BE BETWEEN 1 AND 7. ENTER NUMBER OF DAYS"," Both males and females 12 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
PAD645,"Minutes walk/bicycle for transportation","How much time {do you/does SP} spend walking or bicycling for travel on a typical day?","PROBE IF NEEDED:  Think about a typical day when {you walk or bicycle/SP walks or bicycles} walk or bicycle for travel. (SP interview version) SOFT EDIT:  >4 HOURS.  SOFT EDIT WORDING:  INTERVIEWER, YOU HAVE RECORDED THAT THE SP SPENDS MORE THAN 4 HOURS WALKING OR BICYCLING TO GET TO AND FROM PLACES ON A TYPICAL DAY.  PLEASE CONFIRM WITH SP THAT OVER 4 HOURS IS CORRECT. HARD EDIT:  >24 HOURS. HARD EDIT:  <10 MINUTES. ENTER NUMBER OF MINUTES OR HOURS (MEC interview version) SOFT EDIT:  >4 hours. ERROR MESSAGE:  INTERVIEWER, YOU HAVE RECORDED THAT THE SP SPENDS MORE THAN 4 HOURS WALKING OR BICYCLING TO GET TO AND FROM PLACES ON A TYPICAL DAY.  PLEASE CONFIRM WITH SP THAT OVER 4 HOURS IS CORRECT. HARD EDIT:  LESS THAN 10 MINUTES OR 24 HOURS OR MORE. ERROR MESSAGE: THE TIME SHOULD BE 10 MINUTES OR MORE, BUT LESS THAN 24 HOURS. ENTER NUMBER (OF MINUTES OR HOURS)"," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000031,,,,,,,,
PAQ650  ,"Vigorous recreational activities","The next questions exclude the work and transport activities that you have already mentioned.  Now I would like to ask you about sports, fitness and recreational activities.  In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
