Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 3 YEARS - 150 YEARS",,,,,,,,,,,
PFQ020,"Crawl, walk, run, play limitations","{Do you/Does SP} have an impairment or health problem that limits {your/his/her} ability to {walk, run or play} {walk or run}?","CAPI INSTRUCTION:  IF CHILD'S AGE = 3-15, DISPLAY 'WALK, RUN OR PLAY'.  IF SP'S AGE = 16-19, DISPLAY 'WALK OR RUN'."," Both males and females 3 YEARS - 19 YEARS",,,,,,,,,,,
PFQ030,"Long term impairment/health problem","Is this an impairment or health problem that has lasted, or is expected to last 12 months or longer?",," Both males and females 3 YEARS - 19 YEARS",,,,,,,,,,,
PFQ032  ,,,"BOX 1AA.  CHECK ITEM PFQ032:  IF SP AGE 3-15, CONTINUE. OTHERWISE, GO TO BOX 1BB."," Both males and females 3 YEARS - 19 YEARS",sio:Age,,chebi:27007,,,,,,,,
PFQ033  ,"Impairment requiring special equipment","{Do you/Does SP} have any impairment or health problem that requires {you/him/her} to use special equipment, such as a brace, a wheelchair, or a hearing aid (excluding ordinary eyeglasses or corrective shoes)?",," Both males and females 3 YEARS - 15 YEARS",,,,,,,,,,,
PFQ035A,,,"BOX 1BB.  CHECK ITEM PFQ.035A:  IF SP AGE <= 17, CONTINUE.  OTHERWISE, GO TO END OF SECTION."," Both males and females 3 YEARS - 19 YEARS",sio:Age,,chebi:27007,,,,,,,,
PFQ041,"Receive Special Ed or Early Intervention","Does {SP} receive Special Education or Early Intervention Services?",," Both males and females 3 YEARS - 17 YEARS",,,,,,,,,,,
PFQ049,"Limitations keeping you from working","The next set of questions is about limitations caused by any long-term physical, mental or emotional problem or illness.  Please do not include temporary conditions, such as a cold [or pregnancy].  Does a physical, mental or emotional problem now keep {you/SP} from working at a job or business?",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
PFQ051,"Limited in amount of work you can do","{Are you/Is SP} limited in the kind or amount of work {you/s/he} can do because of a physical, mental or emotional problem?",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
PFQ054,"Need special equipment to walk","Because of a health problem, {do you/does SP} have difficulty walking without using any special equipment?",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
PFQ057,"Experience confusion/memory problems","{Are you/Is SP} limited in any way because of difficulty remembering or because {you/s/he} experience{s} periods of confusion?",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
PFQ058,,,"BOX 1D.   CHECK ITEM PFQ.058:  IF 'YES' (CODE 1) IN PFQ.049, PFQ.051, PFQ.054, OR PFQ.057, GO TO PFQ.061. OTHERWISE, CONTINUE."," Both males and females 20 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
PFQ059,"Physical, mental, emotional limitations","{Are you/Is SP} limited in any way in any activity because of a physical, mental or emotional problem?",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
PFQ059A,,,"BOX 1E  CHECK ITEM PFQ.059A:  IF SP AGE IS <=59 AND 'NO' (CODE 2) ENTERED IN PFQ.049, PFQ.057 AND PFQ.059, GO TO PFQ.090.  OTHERWISE, CONTINUE."," Both males and females 20 YEARS - 150 YEARS",sio:Age,,chebi:27007,,,,,,,,
PFQ061A,"Managing money difficulty","The next questions ask about difficulties {you/SP} may have doing certain activities because of a health problem.  By 'health problem' we mean any long-term physical, mental or emotional problem or illness {not including pregnancy}.   By {yourself/himself /herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .managing {your/his/her} money [such as keeping track of {your/his/her} expenses or paying bills]?","HAND CARD PFQ1.  DO NOT INCLUDE TEMPORARY CONDITIONS LIKE PREGNANCY OR BROKEN LIMBS.  CAPI INSTRUCTION:  IF PFQ.054 = '1' (YES), DO NOT DISPLAY 'B' OR 'C'.  IF SP FEMALE, DISPLAY 'NOT INCLUDING PREGNANCY'."," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
PFQ061B,"Walking for a quarter mile difficulty","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking for a quarter of a mile [that is about 2 or 3 blocks]?","HAND CARD PFQ1.  DO NOT INCLUDE TEMPORARY CONDITIONS LIKE PREGNANCY OR BROKEN LIMBS.  CAPI INSTRUCTION:  IF PFQ.054 = '1' (YES), DO NOT DISPLAY 'B' OR 'C'.  IF SP FEMALE, DISPLAY 'NOT INCLUDING PREGNANCY'."," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
