Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXDUSE,"Taken prescription medicine, past month","In the past 30 days, have you used or taken medication for which a prescription is needed?  Do not include prescription vitamins or minerals you may have already told me about.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000035,,,,,,,,
RXDDRUG,"Generic drug name","Generic drug name.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXDDRGID,"Generic drug code","Generic drug code.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXQSEEN,"Medicine container seen by interviewer","Was prescription container seen by interviewer?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXDDAYS,"Number of days taken medicine","For how long have you been using or taking {PRODUCT NAME}?",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
RXDRSC1,"ICD-10-CM code 1","ICD-10-CM code 1.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXDRSC2,"ICD-10-CM code 2","ICD-10-CM code 2.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXDRSC3,"ICD-10-CM code 3","ICD-10-CM code 3.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXDRSD1,"ICD-10-CM code 1 description","ICD-10-CM code 1 description.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXDRSD2,"ICD-10-CM code 2 description","ICD-10-CM code 2 description.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXDRSD3,"ICD-10-CM code 3 description","ICD-10-CM code 3 description.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
RXDCOUNT,"Number of prescription medicines taken","The number of prescription medicines reported.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
