Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
SMQ681  ,"Smoked tobacco last 5 days?","The following questions ask about use of tobacco products in the past 5 days.  During the past 5 days, including today, did you smoke cigarettes, pipes, cigars, little cigars or cigarillos, water pipes, hookahs, or e-cigarettes?",," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
SMQ690A,"Used last 5 days - Cigarettes","Which of these products did {you/he/she} use?","(CHECK ALL THAT APPLY).  Verbal instructions to respondent: Please select all that you used."," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
SMQ710  ,"# days smoked cigarettes last 5 days","During the past 5 days, including today, on how many days did {you/he/she} smoke cigarettes?","HARD EDIT:  RANGE 1 - 5. ENTER NUMBER OF DAYS."," Both males and females 12 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
SMQ720  ,"# cigarettes smoked per day","During the past 5 days, including today, on the days {you/he/she} smoked, how many cigarettes did {you/he/she} smoke each day?","IF R SAYS 95 OR MORE CIGARETTES PER DAY, ENTER 95.  HARD EDIT:  RANGE 1 - 95. ENTER NUMBER OF CIGARETTES."," Both males and females 12 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
SMQ725  ,"When did resp. smoke last cigarette?","When did {you/he/she} smoke {your/his/her} last cigarette? Was it...",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
SMQ690B,"Used last 5 days - Pipes","Which of these products did {you/he/she} use?","(CHECK ALL THAT APPLY).  Verbal instructions to respondent: Please select all that you used."," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
SMQ740  ,"# days smoked pipe over last 5 days","During the past 5 days, including today, on how many days did {you/he/she} smoke a pipe?","HARD EDIT:  RANGE 1 - 5. ENTER NUMBER OF DAYS."," Both males and females 12 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
SMQ690C,"Used last 5 days - Cigars","Which of these products did {you/he/she} use?","(CHECK ALL THAT APPLY).  Verbal instructions to respondent: Please select all that you used."," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
SMQ770,"# days smoked cigars over last 5 days","During the past 5 days, including today, on how many days did {you/he/she} smoke cigars, or little cigars or cigarillos?","HARD EDIT:  RANGE 1 - 5. ENTER NUMBER OF DAYS."," Both males and females 12 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
SMQ690G,"Used last 5 days - Hookah, water pipes ","Which of these products did {you/he/she} use?","CHECK ALL THAT APPLY). Verbal instructions to respondent: Please select all that you used."," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
