Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
SMQ856  ,"Last 7-d worked at job not at home?","I will now ask you about tobacco smoke in other places. During the last 7 days, {were you/was SP} working at a job or business outside of the home?",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMQ858  ,"Last 7-d at job someone smoked indoors?","While {you were/SP was} working at a job or business outside of the home, did someone else smoke cigarettes or other tobacco products indoors?",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMQ860  ,"Last 7-d spent time in a restaurant?","{I will now ask you about smoking in other places.} During the last 7 days, did {you/SP} spend time in a restaurant?",," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
SMQ862  ,"Last 7-d at rest someone smoked indoors?","While {you were/SP was} in a restaurant, did someone else smoke cigarettes or other tobacco products indoors?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
SMQ864 ,,,"CHECK ITEM: IF SP >=18 YEARS, CONTINUE. OTHERWISE, GO TO SMQ870."," Both males and females 0 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
SMQ866  ,"Last 7-d spent time in a bar?","During the last 7 days, {did you/SP} spend time in a bar?",," Both males and females 18 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
SMQ868  ,"Last 7-d in bar someone smoked indoors?","While {you were/SP was} in a bar, did someone else smoke cigarettes or other tobacco products indoors?",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMQ870  ,"Last 7-d rode in a car?","During the last 7 days, did {you/SP} ride in a car or motor vehicle?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
SMQ872  ,"Last 7-d someone smoked in car?","While {you were/SP was} riding in a car or motor vehicle, did someone else smoke cigarettes or other tobacco products?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
SMQ874  ,"Last 7-d spent time in another home?","During the last 7 days, did {you/SP} spend time in a home other than {your/his/her} own?",," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
SMQ876  ,"Last 7-d in home someone smoked indoors?","While {you were/SP was} in a home other than {your/his/her} own, did someone else smoke cigarettes or other tobacco products indoors?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
SMQ878  ,"Last 7-d in other indoor area?","During the last 7 days,{were you/was SP} in any other indoor area?","INTERVIEWER: IF RESPONDENT ASKS WHAT IS MEANT BY OR DOESN'T SEEM TO UNDERSTAND 'ANY OTHER INDOOR AREA' SAY 'OTHER THAN AT WORK, IN A BAR, RESTAURANT, CAR, OTHER MOTOR VEHICLE, OR A HOUSE.'"," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
SMQ880  ,"Last 7-d in other indoor someone smoked?","While {you were/SP was} in the other indoor area, did someone else smoke cigarettes or other tobacco products?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
SMAQUEX,"Questionnaire Mode Flag","Questionnaire Mode Flag.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
