Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 18 YEARS - 69 YEARS",,,,,,,,,,,
SXD021,"Ever had vaginal, anal, or oral sex","Ever had vaginal, anal, or oral sex.","Derived variable based on several questions."," Both males and females 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ800  ,"Ever had vaginal sex with a woman","Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina.","INSTRUCTIONS TO SP: Please select..."," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ803  ,"Ever performed oral sex on a woman","Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.","INSTRUCTIONS TO SP: Please select . . ."," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ806  ,"Ever had anal sex with a woman","Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.","INSTRUCTIONS TO SP: Please select . . ."," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ809  ,"Ever had any sex with a man: anal, oral","Have you ever had any kind of sex with a man, including oral or anal?","INSTRUCTIONS TO SP: Please select . . ."," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXD862  ,,,"BOX 1A CHECK ITEM SXD.862: IF SXQ.800, SXQ.803, SXQ.806, AND SXQ.809 NOT EQUAL TO '1', GO TO BOX 8.  OTHERWISE, SXD031."," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ700  ,"Ever had vaginal sex with a man","Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina.","INSTRUCTIONS TO SP: Please select . . ."," Females only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ703  ,"Ever performed oral sex on a man","Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.","INSTRUCTIONS TO SP: Please select . . ."," Females only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ706  ,"Ever had anal sex with a man","Have you ever had anal sex? This means contact between a man's penis and your anus or butt.","INSTRUCTIONS TO SP: Please select . . ."," Females only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ709  ,"Ever had any kind of sex with a woman","Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.","INSTRUCTIONS TO SP: Please select . . ."," Females only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ762  ,,,"BOX 1A  CHECK ITEM SXQ.762: IF SP 60-69 YEARS AND SXQ.703 OR SXQ.709 = 1 AND SXQ.700 = 2 AND SXQ.706 = 2, GO TO END OF SECTION.  IF SXQ.700, SXQ.703, SXQ.706, AND SXQ.709 NOT EQUAL TO '1', GO TO BOX 11.  OTHERWISE, CONTINUE."," Females only 18 YEARS - 69 YEARS",,,chebi:27007,,,,,,,,
SXD031  ,"How old when first had sex","How old were you when you had sex for the first time?","ENTER AGE IN YEARS."," Both males and females 18 YEARS - 69 YEARS",,,,,,,,,,,
SXD801  ,,,"BOX 1  CHECK ITEM SXD.801: IF SXQ800 = 1 OR SXQ803 = 1 OR SXQ806 = 1 THEN GO TO SXD171, IF SXQ700 = 1 OR SXQ703 = 1 OR SXQ706 = 1 THEN GO TO SXD101. OTHERWISE, IF MALE GO TO CHECKBOX SXQ833.  OTHERWISE, IF FEMALE GO TO CHECKBOX SXD733"," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXD171,"# female sex partners/lifetime","In your lifetime, with how many women have you had any kind of sex?","INSTRUCTIONS TO SP: Please enter a number."," Males only 18 YEARS - 69 YEARS",sio:TimeInterval,,,,,,,,,,
SXD815  ,,,"BOX 2  CHECK ITEM SXD.815: IF SP 60-69 YEARS AND SXQ.809 = 1, GO TO SXQ.410.  IF SP 60-69 YEARS AND SXQ.809 NOT EQUAL TO 1, GO TO END OF SECTION.  OTHERWISE, CONTINUE WITH SXD510."," Males only 18 YEARS - 69 YEARS",,,chebi:27007,,,,,,,,
SXD510,"# female sex partners/year","In the past 12 months, with how many women have you had any kind of sex?","INSTRUCTIONS TO SP: Please enter a number or enter zero for none."," Males only 18 YEARS - 59 YEARS",sio:Quantity,,obo:UO_0000036,,,,,,,,
SXQ821  ,,,"BOX 3  CHECK ITEM SXQ.821: IF SXQ.800 = 1, GO TO SXQ.824.  OTHERWISE, GO TO BOX 4."," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ824  ,"# female vaginal sex partners/lifetime","In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.","INSTRUCTIONS TO SP: Please enter a number."," Males only 18 YEARS - 59 YEARS",sio:TimeInterval,,,,,,,,,,
SXQ827  ,"# female vaginal sex partners/year","In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.","INSTRUCTIONS TO SP: Please enter a number or enter zero for none."," Males only 18 YEARS - 59 YEARS",sio:Quantity,,obo:UO_0000036,,,,,,,,
SXQ830  ,,,"BOX 4  CHECK ITEM SXQ.830: IF SXQ.803 = 1, GO TO SXD.633.  OTHERWISE, GO TO BOX 5."," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXD633  ,"Age first performed oral sex on a woman","How old were you when you first performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.","ENTER AGE IN YEARS."," Both males and females 18 YEARS - 59 YEARS",sio:Age,,,,,,,,,,
SXQ636  ,"# female performed oral sex/lifetime","In your lifetime, on how many women have you performed oral sex?","INSTRUCTIONS TO SP: Please enter a number."," Both males and females 18 YEARS - 59 YEARS",sio:TimeInterval,,,,,,,,,,
SXQ639  ,"# female performed oral sex/year","In the past 12 months, on how many women have you performed oral sex?","INSTRUCTIONS TO SP: Please enter a number or enter zero for none."," Both males and females 18 YEARS - 59 YEARS",sio:Quantity,,obo:UO_0000036,,,,,,,,
SXQ868  ,,,"BOX 4B  CHECK ITEM SXQ.868: IF SP HAD ONLY 1 LIFETIME ORAL SEX PARTNER (CODED '1') IN SXQ.636, GO TO BOX 5.  OTHERWISE CONTINUE."," Males only 18 YEARS - 69 YEARS",sio:TimeInterval,,chebi:27007,,,,,,,,
SXD642,"Performed oral sex new female (days)","How long has it been since the last time you performed oral sex on a new female partner? A new sexual partner is someone that you had never had sex with before.","ENTER NUMBER OF DAYS"," Both males and females 18 YEARS - 59 YEARS",,,obo:UO_0000033,,,,,,,,
SXQ833  ,,,"BOX 5  CHECK ITEM SXQ.833: IF SXQ.809 = 1, GO TO SXQ.410.  OTHERWISE, GO TO BOX 9."," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ410  ,"# men anal/oral sex partners/lifetime","In your lifetime, with how many men have you had anal or oral sex?","INSTRUCTIONS TO SP: Please enter a number or enter zero for none."," Males only 18 YEARS - 69 YEARS",sio:TimeInterval,,,,,,,,,,
SXQ875  ,,,"BOX 5B  CHECK ITEM SXQ.875: IF SP IS 60-69 YEARS, GO TO SXQ.836.  OTHERWISE, CONTINUE WITH SXQ.550."," Males only 18 YEARS - 69 YEARS",,,chebi:27007,,,,,,,,
SXQ550  ,"# men anal/oral sex partners/year","In the past 12 months, with how many men have you had anal or oral sex?","INSTRUCTIONS TO SP: Please enter a number or enter zero for none."," Males only 18 YEARS - 59 YEARS",sio:Quantity,,obo:UO_0000036,,,,,,,,
SXQ836  ,"# men anal sex partners/lifetime","In your lifetime, with how many men have you had anal sex?","INSTRUCTIONS TO SP: Please enter a number or enter zero for none."," Males only 18 YEARS - 69 YEARS",sio:TimeInterval,,,,,,,,,,
SXQ839  ,,,"BOX 6  CHECK ITEM SXQ.839: IF SP IS 60-69 YEARS, GO TO SXQ.853.  IF SP HAD NO ANAL SEX PARTNERS (CODED '0000' IN SXQ.836), GO TO SXQ.853.  OTHERWISE, CONTINUE WITH SXQ.841."," Males only 18 YEARS - 69 YEARS",,,chebi:27007,,,,,,,,
SXQ841  ,"# men anal sex partners/year","In the past 12 months, with how many men have you had anal sex?","INSTRUCTIONS TO SP: Please enter a number or enter zero for none."," Males only 18 YEARS - 59 YEARS",sio:Quantity,,obo:UO_0000036,,,,,,,,
SXQ853  ,"Ever performed oral sex on a man","Have you ever performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.","INSTRUCTIONS TO SP: Please select . . ."," Males only 18 YEARS - 69 YEARS",,,,,,,,,,,
SXD847  ,,,"BOX 7  CHECK ITEM SXQ.847: IF SP NEVER HAD ORAL MALE PARTNER (CODED '2', '7', OR '9') IN SXQ.853 AND SP IS 60-69 YEARS, GO TO END OF SECTION.  IF SP NEVER HAD ORAL MALE PARTNER (CODED '2', '7', OR '9') IN SXQ.853 AND SP IS 14-59 YEARS, GO TO BOX 9A.  OTHERWISE, CONTINUE WITH SXD621."," Males only 18 YEARS - 69 YEARS",,,chebi:27007,,,,,,,,
SXD621  ,"How old when first had oral sex","How old were you when you first performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.","ENTER AGE IN YEARS."," Both males and females 18 YEARS - 69 YEARS",,,,,,,,,,,
SXQ624  ,"# male oral sex partners/lifetime","In your lifetime, on how many men have you performed oral sex?","INSTRUCTIONS TO SP: Please enter a number."," Both males and females 18 YEARS - 69 YEARS",sio:TimeInterval,,,,,,,,,,
SXQ850  ,,,"BOX 8  CHECK ITEM SXQ.850: IF SP 60-69 YEARS, GO TO END OF SECTION.  IF SXQ.800, SXQ.803, SXQ.806, AND SXQ.809 = 2, 7, OR 9, GO TO SXQ.280.  OTHERWISE, CONTINUE WITH SXQ.627."," Males only 18 YEARS - 69 YEARS",,,chebi:27007,,,,,,,,
