Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
WTDRD1,"Dietary day one sample weight","Dietary day one sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
WTDR2D,"Dietary two-day sample weight","Dietary two-day sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
DR1DRSTZ,"Dietary recall status","Dietary recall status",," Both males and females 0 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DR1EXMER,"Interviewer ID code","Interviewer ID code",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRABF,"Breast-fed infant (either day)","Indicates whether the sample person was an infant who was breast-fed on either of the two recall days.  ",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DRDINT,"Number of days of intake","Indicates whether the sample person has intake data for one or two days.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR1DBIH,"# of days b/w intake and HH interview","Number of days between intake day and the day of family questionnaire administered in the household.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR1DAY,"Intake day of the week","Intake day of the week",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000034,,,,,,,,
DR1LANG,"Language respondent used mostly","The respondent spoke mostly:",," Both males and females 0 YEARS - 150 YEARS",chear:Language,,,,,,,,,,
DR1MNRSP,"Main respondent for this interview","Who was the main respondent for this interview?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1HELPD,"Helped in responding for this interview","Who helped in responding for this interview",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DBQ095Z,"Type of table salt used","What type of salt {do you/does SP} usually add to {your/his/her/SP's} food at the table?  Would you say . . .","CAPI INSTRUCTION:  IF SP AGE <= 5, DISPLAY 'DO YOU' FOR FIRST DISPLAY AND {SP'S} FOR SECOND DISPLAY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DBD100,"How often add salt to food at table","How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table?  Would you say . . .","CAPI INSTRUCTION:  IF SP AGE <= 5, DISPLAY 'DO YOU' FOR FIRST DISPLAY AND {SP'S} FOR SECOND DISPLAY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSPREP,"Salt used in preparation?","How often is ordinary salt or seasoned salt added in cooking or preparing foods in your household?  Is it never, rarely, occasionally, or very often?",," Both males and females 0 YEARS - 150 YEARS",sio:Ratio,,,,,,,,,,
DR1STY,"Salt used at table yesterday?","Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or seasoned salt, lite salt, or a salt substitute.",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DR1SKY,"Type of salt used yesterday","What type of salt was it? (Was it ordinary or seasoned salt, lite salt, or a salt substitute?)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DRQSDIET,"On special diet?","Are you currently on any kind of diet, either to lose weight or for some other health-related reason?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT1,"Weight loss/Low calorie diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
DRQSDT2,"Low fat/Low cholesterol diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT3,"Low salt/Low sodium diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT4,"Sugar free/Low sugar diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT5,"Low fiber diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT6,"High fiber diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT7,"Diabetic diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT8,"Weight gain/Muscle building diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
DRQSDT9,"Low carbohydrate diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT10,"High protein diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT11,"Gluten-free/Celiac diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT12,"Renal/Kidney diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRQSDT91,"Other special diet","What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TNUMF,"Number of foods/beverages reported","Total number of foods/beverages reported in the individual foods file",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,,,,,,,,,
DR1TKCAL,"Energy (kcal)","Energy (kcal)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TPROT,"Protein (gm)","Protein (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TCARB,"Carbohydrate (gm)","Carbohydrate (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TSUGR,"Total sugars (gm)","Total sugars (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TFIBE,"Dietary fiber (gm)","Dietary fiber (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TTFAT,"Total fat (gm)","Total fat (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TSFAT,"Total saturated fatty acids (gm)","Total saturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TMFAT,"Total monounsaturated fatty acids (gm)","Total monounsaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TPFAT,"Total polyunsaturated fatty acids (gm)","Total polyunsaturated fatty acids (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TCHOL,"Cholesterol (mg)","Cholesterol (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1TATOC,"Vitamin E as alpha-tocopherol (mg)","Vitamin E as alpha-tocopherol (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1TATOA,"Added alpha-tocopherol (Vitamin E) (mg)","Added alpha-tocopherol (Vitamin E) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1TRET,"Retinol (mcg)","Retinol (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
DR1TVARA,"Vitamin A, RAE (mcg)","Vitamin A as retinol activity equivalents (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TACAR,"Alpha-carotene (mcg)","Alpha-carotene (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TBCAR,"Beta-carotene (mcg)","Beta-carotene (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TCRYP,"Beta-cryptoxanthin (mcg)","Beta-cryptoxanthin (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TLYCO,"Lycopene (mcg)","Lycopene (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TLZ,"Lutein + zeaxanthin (mcg)","Lutein + zeaxanthin (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TVB1,"Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1TVB2,"Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1TNIAC,"Niacin (mg)","Niacin (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1TVB6,"Vitamin B6 (mg)","Vitamin B6 (mg)",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000022,,,,,,,,
DR1TFOLA,"Total folate (mcg)","Total folate (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR1TFA,"Folic acid (mcg)","Folic acid (mcg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
