Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.","One of the key variables for the file.  The primary key variables are SEQN and DR2ILINE."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
WTDRD1,"Dietary day one sample weight","Dietary day one sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
WTDR2D,"Dietary two-day sample weight","Dietary two-day sample weight",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000033,,,,,,,,
DR2ILINE,"Food/Individual component number","Food/Individual component number","One of the key variables for the file.  The primary key variables are SEQN and DR2ILINE."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR2DRSTZ,"Dietary recall status","Dietary recall status",," Both males and females 0 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
DR2EXMER,"Interviewer ID code","Interviewer ID code",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DRABF,"Breast-fed infant (either day)","Indicates whether the sample person was an infant who was breast fed on either of the two recall days.  ",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DRDINT,"Number of days of intake","Indicates whether the sample person has intake data for one or two days.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR2DBIH,"# of days b/w intake and HH interview","Number of days between intake day and the day of family questionnaire administered in the household.",," Both males and females 0 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
DR2DAY,"Intake day of the week","Intake day of the week",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000034,,,,,,,,
DR2LANG,"Language respondent used mostly","The respondent spoke mostly:",," Both males and females 0 YEARS - 150 YEARS",chear:Language,,,,,,,,,,
DR2CCMNM,"Combination food number","Combination food number (sequential number)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR2CCMTX,"Combination food type","Combination food type",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR2_020,"Time of eating occasion (HH:MM)","What time did you begin to eat/drink the meal/food?","Format HHMM6."," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,chebi:27007,,,,,,,,
DR2_030Z,"Name of eating occasion","Name of eating occasion",," Both males and females 0 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
DR2FS,"Source of food","Where did you get (this/most of the ingredients for this) {FOODNAME}?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR2_040Z,"Did you eat this meal at home?","Did you eat this meal at home?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR2IFDCD,"USDA food code","USDA food code",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR2IGRMS,"Grams","Gram weight of the food/individual component",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000021,,,,,,,,
DR2IKCAL,"Energy (kcal)","Energy (kcal)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DR2IPROT,"Protein (gm)","Protein (gm)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
