Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.","< blank > "," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSDSUPID,"Supplement ID Number","Supplement ID Number",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSDSUPP,"Supplement Name","",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSDANTA,"Antacid reported as a dietary supplement","Antacid reported as a dietary supplement","Antacids that are reported with dietary supplements (DSQ) are coded 1, antacids reported with medications in the antacid section are coded 2, dietary supplements that are not antacids are coded 0."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSD070,"Was container seen?","Was container seen?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSDMTCH,"Matching code","Matching code",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSD090,"How long supplement taken (days)?","For how long have you been taking {PRODUCT NAME} or a similar type of product?",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DSD103,"Days supplement taken, past 30 days","In the past 30 days, on how many days did you take {PRODUCT NAME}?",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DSD122Q,"Quantity of supplement taken daily","On the days that (you/SP) took (PRODUCT NAME), how much did (you/SP), usually take on a single day?","CAPI INSTRUCTIONS:  RESPONSE FIELD SHOULD ALLOW FOR 3 NUMERIC ENTRIES AND INCLUDE A DECIMAL.  ALLOW 0 OR 1 ENTRIES TO THE LEFT OF THE DECIMAL AND 0,1 OR 2 ENTRIES TO THE RIGHT OF THE DECIMAL.  ENTER NUMBER"," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSD122U,"Dosage form","On the days that {you/SP} took {PRODUCT NAME}, how much did {you/SP} usually take on a single day?","CAPI INSTRUCTION: RESPONSE FIELD SHOULD ALLOW FOR 3 NUMERIC ENTRIES AND INCLUDE A DECIMAL.  ALLOW 0 OR 1 ENTRIES TO THE LEFT OF THE DECIMAL AND 0, 1 OR 2 ENTRIES TO THE RIGHT OF THE DECIMAL.  IF FORM CODE 1 THROUGH 8 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 1 AND SKIP TO BOX NEW 4A.  IF FORM CODE 12 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 13 FOR DSQ.123U AND SKIP TO BOX NEW 4A.  IF FORM CODE 13 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 20 FOR DSQ.123U AND SKIP TO BOX NEW 4A.  IF FORM CODE 14 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 17 FOR DSQ.123U AND SKIP TO BOX NEW 4A.  IF FORM CODE 16 IN DSQ.077, AUTOMATICALLY CODE THE UNIT CODE 6 FOR DSQ.123U AND SKIP TO BOX NEW 4A.  IF FORM CODE 9 IN DSQ.077, DISPLAY THE UNIT CODES 1, 6, 7, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 27, 28, 30, 91, 77, 99 FOR DSQ.123U.  IF FORM CODE 10, 17 IN DSQ.077, DISPLAY THE UNIT CODES 2, 3, 5, 7, 11, 12, 15, 18, 19, 23, 27, 29, 91, 77, 99 FOR DSQ.123U.  IF FORM CODE 11, 15 IN DSQ.077, DISPLAY THE UNIT CODES 11, 12, 15, 16, 18, 21, 23, 27, 28, 91, 77, 99 FOR DSQ.123U.  IF FORM CODE 91, 77, 99 IN DSQ.077, DISPLAY ENTIRE PICK LIST FOR DSQ.123U.  IF CONTAINER NOT SEEN (CODE 2 IN DSQ.071), DISPLAY ENTIRE PICK LIST FOR DSQ.123U.  ENTER UNIT/FORM."," Both males and females 0 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
DSDACTSS,"Reported serving size/label serving size","Reported serving size/label serving size",," Both males and females 0 YEARS - 150 YEARS",,,uri,,,,,,,,
DSDDAY1,"Reported Product during Day 1","Was Supplement taken during the 24 Hour Recall, Day 1?",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DSDDAY2,"Reported Product during Day 2","Was Supplement taken during the 24 Hour Recall, Day 2?",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000033,,,,,,,,
DSQ124,"Took product on own or doctor advised","What is the reason you take {PRODUCT NAME}? (Did you decide to take it for reasons of your own or did a doctor or other health provider tell you to take it?)","HAND CARD DSQ2"," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128A,"For good bowel/colon health","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128B,"For prostate health","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Males only 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128C,"For mental health"," For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128D,"To prevent health problems","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128E,"To improve my overall health","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128F,"For teeth, prevent cavities","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128G,"To supplement my diet, food not enough","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128H,"To maintain health (to stay healthy)","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128I,"To prevent colds, boost immune system","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128J,"For heart health, cholesterol","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128K,"For eye health","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128L,"For healthy joints, arthritis","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
DSQ128M,"For healthy skin, hair and nails","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",,,uberon:0009565,,,,,,,,
DSQ128N,"For weight loss","For what reason or reasons do you take {PRODUCT NAME}? (For what reason or reasons did the doctor or other health professional tell you to take {PRODUCT}?)","CAPI INSTRUCTION:  IF CODE 1 IN DSQ.124, DISPLAY For what reason or reasons {do you/does SP} take {PRODUCT NAME}?  IF CODE 2 IN DSQ.124, DISPLAY For what reason or reasons did the doctor or other health professional tell {you/SP} to take {PRODUCT}?  HAND CARD DSQ3.  CODE ALL THAT APPLY."," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
