Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BMDSTATS,"Body Measures Component Status Code","Body Measures Component status Code",," Both males and females 0 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
BMXWT,"Weight (kg)","Weight (kg)",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000009,,,,,,,,
BMIWT,"Weight Comment","Weight Comment",," Both males and females 0 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
BMXRECUM,"Recumbent Length (cm) ","Recumbent Length (cm)",," Both males and females 0 YEARS - 47 MONTHS",,,obo:UO_0000326,,,,,,,,
BMIRECUM,"Recumbent Length Comment","Recumbent Length Comment",," Both males and females 0 MONTHS - 47 MONTHS",,,,,,,,,,,
BMXHEAD,"Head Circumference (cm) ","Head Circumference (cm)",," Both males and females 0 YEARS - 6 MONTHS",sio:Circumference,,obo:UO_0000326,,,,,,,,
BMIHEAD,"Head Circumference Comment","Head Circumference Comment",," Both males and females 0 MONTHS - 6 MONTHS",sio:Circumference,,,,,,,,,,
BMXHT,"Standing Height (cm)","Standing Height (cm)",," Both males and females 2 YEARS - 150 YEARS",sio:Height,,obo:UO_0000326,,,,,,,,
BMIHT,"Standing Height Comment","Standing Height Comment",," Both males and females 2 YEARS - 150 YEARS",sio:Height,,,,,,,,,,
BMXBMI,"Body Mass Index (kg/m**2)","Body Mass Index (kg/m**2)",," Both males and females 2 YEARS - 150 YEARS",,,,,,,,,,,
BMDBMIC,"BMI Category - Children/Youth","BMI Category - Children/Youth",," Both males and females 2 YEARS - 19 YEARS",,??child,,,,,,,,,
BMXLEG,"Upper Leg Length (cm)","Upper Leg Length (cm)",," Both males and females 8 YEARS - 150 YEARS",,,obo:UO_0000326,,,,,,,,
BMILEG,"Upper Leg Length Comment","Upper Leg Length Comment",," Both males and females 8 YEARS - 150 YEARS",,,,,,,,,,,
BMXARML,"Upper Arm Length (cm)","Upper Arm Length (cm)",," Both males and females 2 MONTHS - 150 YEARS",,,obo:UO_0000326,,,,,,,,
BMIARML,"Upper Arm Length Comment","Upper Arm Length Comment",," Both males and females 2 MONTHS - 150 YEARS",,,,,,,,,,,
BMXARMC,"Arm Circumference (cm)","Arm Circumference (cm)",," Both males and females 2 MONTHS - 150 YEARS",sio:Circumference,,obo:UO_0000326,,,,,,,,
BMIARMC,"Arm Circumference Comment","Arm Circumference Comment",," Both males and females 2 MONTHS - 150 YEARS",sio:Circumference,,,,,,,,,,
BMXWAIST,"Waist Circumference (cm)","Waist Circumference (cm)",," Both males and females 2 YEARS - 150 YEARS",sio:Circumference,,obo:UO_0000326,,,,,,,,
BMIWAIST,"Waist Circumference Comment","Waist Circumference Comment",," Both males and females 2 YEARS - 150 YEARS",sio:Circumference,,,,,,,,,,
BMXSAD1,"Sagittal Abdominal Diameter 1st (cm)","Sagittal Abdominal Diameter 1st (cm)",," Both males and females 8 YEARS - 150 YEARS",,,obo:UO_0000326,,,,,,,,
BMXSAD2,"Sagittal Abdominal Diameter 2nd (cm)","Sagittal Abdominal Diameter 2nd (cm)",," Both males and females 8 YEARS - 150 YEARS",,,obo:UO_0000326,,,,,,,,
BMXSAD3,"Sagittal Abdominal Diameter 3rd (cm)","Sagittal Abdominal Diameter 3rd (cm)",," Both males and females 8 YEARS - 150 YEARS",,,obo:UO_0000326,,,,,,,,
BMXSAD4,"Sagittal Abdominal Diameter 4th (cm)","Sagittal Abdominal Diameter 4th (cm)",," Both males and females 8 YEARS - 150 YEARS",,,obo:UO_0000326,,,,,,,,
BMDAVSAD,"Average Sagittal Abdominal Diameter (cm)","Average Sagittal Abdominal Diameter (cm)",," Both males and females 8 YEARS - 150 YEARS",sio:Age,,obo:UO_0000326,,,,,,,,
BMDSADCM,"Sagittal Abdominal Diameter Comment","Sagittal Abdominal Diameter Comment",," Both males and females 8 YEARS - 150 YEARS",,,obo:UO_0000008,,,,,,,,
