Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
PEASCST1,"Blood Pressure Status","Blood Pressure Status",," Both males and females 0 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
PEASCTM1,"Blood Pressure Time in Seconds","Blood Pressure Time in Seconds",," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000010,,,,,,,,
PEASCCT1,"Blood Pressure Comment","Blood Pressure Comment",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXCHR,"60 sec HR (30 sec HR * 2)","60 sec HR (30 sec HR * 2)",," Both males and females 0 YEARS - 7 YEARS",,,,,,,,,,,
BPAARM,"Arm selected","Arm selected:",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPACSZ,"Coded cuff size","Cuff size (cm) (width X length)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXPLS,"60 sec. pulse (30 sec. pulse * 2)","60 sec. pulse (30 sec. pulse * 2)",," Both males and females 8 YEARS - 150 YEARS",,,,,,,,,,,
BPXPULS,"Pulse regular or irregular?","Pulse regular or irregular?",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXPTY,"Pulse type","Pulse type",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXML1,"MIL: maximum inflation levels (mm Hg)","MIL: maximum inflation levels (mm Hg)",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXSY1,"Systolic: Blood pres (1st rdg) mm Hg","Systolic:  Blood pressure (first reading) mm Hg",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXDI1,"Diastolic: Blood pres (1st rdg) mm Hg","Diastolic:  Blood pressure (first reading) mm Hg",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPAEN1,"Enhancement used first reading","Enhancement used first reading",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXSY2,"Systolic: Blood pres (2nd rdg) mm Hg","Systolic:  Blood pressure (second reading) mm Hg",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXDI2,"Diastolic: Blood pres (2nd rdg) mm Hg","Diastolic: Blood pressure (second reading) mm Hg",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPAEN2,"Enhancement used second reading","Enhancement used second reading",," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000010,,,,,,,,
BPXSY3,"Systolic: Blood pres (3rd rdg) mm Hg","Systolic:  Blood pressure (third reading) mm Hg",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXDI3,"Diastolic: Blood pres (3rd rdg) mm Hg","Diastolic: Blood pressure (third reading) mm Hg",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPAEN3,"Enhancement used third reading","Enhancement used third reading",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXSY4,"Systolic: Blood pres (4th rdg) mm Hg","Systolic:  Blood pressure (fourth reading if necessary) mm Hg",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPXDI4,"Diastolic: Blood pres (4th rdg) mm Hg","Diastolic: Blood pressure (fourth reading if necessary) mm Hg",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
BPAEN4,"Enhancement used fourth reading","Enhancement used fourth reading",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
