Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHDEXSTS,"Overall Oral Health Exam Status","Overall Oral Health Exam Status",," Both males and females 1 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
OHDRCSTS,"Recommendation Care Status Code","Recommendation Care Status Code",," Both males and females 1 YEARS - 150 YEARS",sio:StatusDescriptor,,,,,,,,,,
OHAREC  ,"Overall recommendation for care","Overall recommendation for care",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHAROCDT,"Decayed teeth","Decayed teeth",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHAROCGP,"Gum disease/problem","Gum disease/problem",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHAROCOH,"Oral hygiene","Oral hygiene",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHAROCCI,"Impression of soft tissue condition","Clinical impression of soft tissue condition",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHAROCDE,"Denture/Partial Denture/Plates","Denture/Partial Denture/Plates",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHARNF  ,"No significant findings","No significant findings",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHAROTH ,"Some other finding (specify w/referral)","Some other finding (specify w/referral letter)",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHAPOS  ,"Was participant exam position recumbent","Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam?","Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam (Oral-facial--Loss of Attachment)?"," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
