Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
LBXWBCSI,"White blood cell count (1000 cells/uL)","White blood cell count (1000 cells/uL)",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
LBXLYPCT,"Lymphocyte percent (%)","Lymphocyte percent (%)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000187,,,,,,,,
LBXMOPCT,"Monocyte percent (%)","Monocyte percent (%)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000187,,,,,,,,
LBXNEPCT,"Segmented neutrophils percent (%)","Segmented neutrophils percent (%)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000187,,,,,,,,
LBXEOPCT,"Eosinophils percent (%)","Eosinophils percent (%)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000187,,,,,,,,
LBXBAPCT,"Basophils percent (%)","Basophils percent (%)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000187,,,,,,,,
LBDLYMNO,"Lymphocyte number (1000 cells/uL)","Lymphocyte number (1000 cells/uL)",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
LBDMONO,"Monocyte number (1000 cells/uL)","Monocyte number (1000 cells/uL)",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
LBDNENO,"Segmented neutrophils num (1000 cell/uL)","Segmented neutrophils num (1000 cell/uL)",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
LBDEONO,"Eosinophils number (1000 cells/uL)","Eosinophils number (1000 cells/uL)",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
LBDBANO,"Basophils number (1000 cells/uL)","Basophils number (1000 cells/uL)",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
LBXRBCSI,"Red blood cell count (million cells/uL)","Red blood cell count (million cells/uL)",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
LBXHGB  ,"Hemoglobin (g/dL)","Hemoglobin (g/dL)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000208,,,,,,,,
LBXHCT  ,"Hematocrit (%)","Hematocrit (%)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000187,,,,,,,,
LBXMCVSI,"Mean cell volume (fL)","Mean cell volume (fL)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000104,,,,,,,,
LBXMCHSI,"Mean cell hemoglobin (pg)","Mean cell hemoglobin (pg)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000025,,,,,,,,
LBXMC   ,"MCHC (g/dL)","Mean cell hemoglobin concentration (g/dL)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000208,,,,,,,,
LBXRDW  ,"Red cell distribution width (%)","Red cell distribution width (%)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000187,,,,,,,,
LBXPLTSI,"Platelet count (1000 cells/uL)","Platelet count (1000 cells/uL)",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
LBXMPSI ,"Mean platelet volume (fL)","Mean platelet volume (fL)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000104,,,,,,,,
