Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDRPCR,"Roche HPV linear array summary result","Roche HPV linear array (LA) summary result",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDRHP,"Roche LA high positive globin control","Roche LA high positive globin control",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDRLP,"Roche LA low positive globin control","Roche LA low positive globin control",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR06,"HPV type 6","HPV type 6",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR11,"HPV type 11","HPV type 11",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR16,"HPV type 16","HPV type 16",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR18,"HPV type 18","HPV type 18",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR26,"HPV type 26","HPV type 26",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR31,"HPV type 31","HPV type 31",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR33,"HPV type 33","HPV type 33",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR35,"HPV type 35","HPV type 35",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR39,"HPV type 39","HPV type 39",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR40,"HPV type 40","HPV type 40",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR42,"HPV type 42","HPV type 42",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR45,"HPV type 45","HPV type 45",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR51,"HPV type 51","HPV type 51",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR52,"HPV type 52","HPV type 51",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR53,"HPV type 53","HPV type 53",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR54,"HPV type 54","HPV type 54",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR55,"HPV type 55","HPV type 55",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR56,"HPV type 56","HPV type 56",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR58,"HPV type 58","HPV type 58",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR59,"HPV type 59","HPV type 59",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR61,"HPV type 61","HPV type 61",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR62,"HPV type 62","HPV type 62",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR64,"HPV type 64","HPV type 64",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR66,"HPV type 66","HPV type 66",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR67,"HPV type 67","HPV type 67",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR68,"HPV type 68","HPV type 68",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR69,"HPV type 69","HPV type 69",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR70,"HPV type 70","HPV type 70",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR71,"HPV type 71","HPV type 71",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR72,"HPV type 72","HPV type 72",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR73,"HPV type 73","HPV type 73",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR81,"HPV type 81","HPV type 81",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR82,"HPV type 82","HPV type 82",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR83,"HPV type 83","HPV type 83",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR84,"HPV type 84","HPV type 84",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDR89,"HPV type 89","HPV type 89",," Males only 18 YEARS - 59 YEARS",,,,,,,,,,,
LBDRPI,"HPV type IS39","HPV type IS39",," Both males and females 18 YEARS - 59 YEARS",,,,,,,,,,,
