Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 12 YEARS -150 YEARS",,,,,,,,,,,
WTSOG2YR,"OGTT Subsample 2 Year MEC Weight","OGTT Subsample 2 Year MEC Weight",," Both males and females 12 YEARS -150 YEARS",chear:Weight,,obo:UO_0000036,,,,,,,,
LBXGLT,"Two Hour Glucose(OGTT) (mg/dL)","Two Hour Glucose(OGTT) (mg/dL)",," Both males and females 12 YEARS -150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
LBDGLTSI,"Two Hour Glucose(OGTT) (mmol/L)","Two Hour Glucose(OGTT) (mmol/L)",," Both males and females 12 YEARS -150 YEARS",,,chear:millimole_per_liter,,,,,,,,
GTDSCMMN,"Glucose challenge Administer Time in min","Glucose challenge Administer Time in minutes",," Both males and females 12 YEARS -150 YEARS",sio:TimeInterval,,,,,,,,,,
GTDDR1MN,"Time from fast glucose & challenge(min) ","Time from fast glucose & challenge(min) ",," Both males and females 12 YEARS -150 YEARS",sio:TimeInterval,,obo:UO_0000031,,,,,,,,
GTDBL2MN,"Time from fasting glucose & OGTT (min)","Time from fasting glucose & OGTT (min) ",," Both males and females 12 YEARS -150 YEARS",sio:TimeInterval,,obo:UO_0000031,,,,,,,,
GTDDR2MN,"Time from glucose challenge & OGTT(min)","Time from glucose challenge & OGTT(min) ",," Both males and females 12 YEARS -150 YEARS",sio:TimeInterval,,obo:UO_0000031,,,,,,,,
GTXDRANK,"Amount of glucose challenge drank","Amount of glucose challenge drank",," Both males and females 12 YEARS -150 YEARS",,,,,,,,,,,
PHAFSTHR,"Total length of 'food fast', hours","Total length of 'food fast', hours",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000032,,,,,,,,
PHAFSTMN,"Total length of 'food fast', minutes","Total length of 'food fast', minutes",," Both males and females 12 YEARS -150 YEARS",,,obo:UO_0000031,,,,,,,,
GTDCODE,"Incomplete OGTT Comment Code","Incomplete OGTT Comment Code",," Both males and females 12 YEARS -150 YEARS",,,,,,,,,,,
