Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
WTSH2YR,"Blood metal weights","Blood metal weights",," Both males and females 1 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
LBXBPB  ,"Blood lead (ug/dL)","Blood lead (ug/dL)",," Both males and females 1 YEARS - 150 YEARS",,,chear:MicrogramPerDecilter,,,,,,,,
LBDBPBSI,"Blood lead (umol/L)","Blood lead (umol/L)                                           ",," Both males and females 1 YEARS - 150 YEARS",,,chear:micromole_per_liter,,,,,,,,
LBDBPBLC,"Blood lead comment code","Blood lead comment code",," Both males and females 1 YEARS - 150 YEARS",,,chebi:25016,,,,,,,,
LBXBCD  ,"Blood cadmium (ug/L)","Blood cadmium (ug/L)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDBCDSI,"Blood cadmium (umol/L)","Blood cadmium (umol/L)",," Both males and females 1 YEARS - 150 YEARS",,,chear:micromole_per_liter,,,,,,,,
LBDBCDLC,"Blood cadmium comment code","Blood cadmium comment code",," Both males and females 1 YEARS - 150 YEARS",,,chebi:22977,,,,,,,,
LBXTHG  ,"Blood mercury, total (ug/L) ","Blood mercury, total (ug/L) ",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDTHGSI,"Blood mercury, total (umol/L)","Blood mercury, total (umol/L)",," Both males and females 1 YEARS - 150 YEARS",,,chear:micromole_per_liter,,,,,,,,
LBDTHGLC,"Blood mercury, total comment code","Blood mercury, total comment code",," Both males and females 1 YEARS - 150 YEARS",,,chebi:25195,,,,,,,,
LBXBSE  ,"Blood selenium (ug/L)","Blood selenium(ug/L)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDBSESI,"Blood selenium (umol/L)","Blood selenium (umol/L)",," Both males and females 1 YEARS - 150 YEARS",,,chear:micromole_per_liter,,,,,,,,
LBDBSELC,"Blood selenium comment code","Blood selenium comment code",," Both males and females 1 YEARS - 150 YEARS",,,chebi:27568,,,,,,,,
LBXBMN  ,"Blood manganese (ug/L)","Blood manganese (ug/L)",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
LBDBMNSI,"Blood manganese (umol/L)","Blood manganese (umol/L)",," Both males and females 1 YEARS - 150 YEARS",,,chear:micromole_per_liter,,,,,,,,
LBDBMNLC,"Blood manganese comment code","Blood manganese comment code",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
