Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
WTSB2YR,"Environmental B 2-year weights","Environmental B 2-year weights",," Both males and females 6 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000036,,,,,,,,
URXUCR,"Creatinine, urine (mg/dL)","Creatinine, urine (mg/dL)",," Both males and females 6 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URXCNP,"Mono(carboxynonyl) Phthalate (ng/mL)","Mono(carboxynonyl) Phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDCNPLC,"Mono(carboxynonyl) Phthalate cmt code","Mono(carboxynonyl) phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXCOP,"Mono(carboxyoctyl) Phthalate (ng/mL)","Mono(carboxyoctyl) Phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDCOPLC,"Mono(carboxyoctyl) phthalate cmt code","Mono(carboxyoctyl) phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXECP,"MECP phthalate (ng/mL)","Mono-2-ethyl-5-carboxypentyl phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDECPLC,"MECP phthalate comment code","Mono-2-ethyl-5-carboxypentyl phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXMBP,"Mono-n-butyl phthalate (ng/mL)","Mono-n-butyl phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMBPLC,"Mono-n-butyl phthalate comment code","Mono-n-butyl phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXMC1,"Mono-(3-carboxypropyl) phthalate (ng/mL)","Mono-(3-carboxypropyl) phthalate (ng/mL) ",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMC1LC,"Mono-(3-carboxypropyl) phthalate cmt","Mono-(3-carboxypropyl) phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXMEP,"Mono-ethyl phthalate (ng/mL)","Mono-ethyl phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMEPLC,"Mono-ethyl phthalate comment code","Mono-ethyl phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXMHH,"MEHP phthalate (ng/mL)","Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMHHLC,"MEHP phthalate comment code","Mono-(2-ethyl-5-hydroxyhexyl) phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXMHNC,"MHNCH (ng/mL)","Cyclohexane 1,2-dicarboxylic acid monohydroxy isononyl ester  (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMCHLC,"MHNCH comment code","Cyclohexane 1,2-dicarboxylic acid monohydroxy isononyl ester comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXMHP,"Mono-(2-ethyl)-hexyl phthalate (ng/mL)","Mono-(2-ethyl)-hexyl phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMHPLC,"Mono-(2-ethyl)-hexyl phthalate cmt code","Mono-(2-ethyl)-hexyl phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXMIB,"Mono-isobutyl phthalate (ng/mL)","Mono-isobutyl phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMIBLC,"Mono-isobutyl phthalate comment code","Mono-isobutyl phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXMNP,"Mono-isononyl phthalate (ng/mL)","Mono-isononyl phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMNPLC,"Mono-isononyl phthalate comment code","Mono-isononyl phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,pubchem:110394,,,,,,,,
URXMOH,"MEOH phthalate (ng/mL)","Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMOHLC,"MEOH phthalate comment code","Mono-(2-ethyl-5-oxohexyl) phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXMZP,"Mono-benzyl phthalate (ng/mL)","Mono-benzyl phthalate (ng/mL)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000275,,,,,,,,
URDMZPLC,"Mono-benzyl phthalate comment code","Mono-benzyl phthalate comment code",," Both males and females 6 YEARS - 150 YEARS",,,chear:mBzP,,,,,,,,
