Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
WTSA2YR,"Subsample A weights","Subsample A weights",," Both males and females 6 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
URXUCR  ,"Creatinine, urine (mg/dL)","Creatinine, urine (mg/dL)",," Both males and females 6 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URXUAS3 ,"Urinary Arsenous acid (ug/L)","Urinary Arsenous acid (ug/L)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUA3LC,"Urinary Arsenous acid comment code","Urinary Arsenous acid comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
URXUAS5 ,"Urinary Arsenic acid (ug/L)","Urinary Arsenic acid (ug/L)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUA5LC,"Urinary Arsenic acid comment code","Urinary Arsenic acid comment code",," Both males and females 6 YEARS - 150 YEARS",,,chebi:27563,,,,,,,,
URXUAB  ,"Urinary Arsenobetaine (ug/L)","Urinary Arsenobetaine (ug/L)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUABLC,"Urinary Arsenobetaine comment code","Urinary Arsenobetaine comment code",," Both males and females 6 YEARS - 150 YEARS",,,chebi:82392,,,,,,,,
URXUAC  ,"Urinary Arsenocholine (ug/L)","Urinary Arsenocholine (ug/L)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUACLC,"Urinary Arsenocholine comment code","Urinary Arsenocholine comment code",," Both males and females 6 YEARS - 150 YEARS",,,pubchem:104820,,,,,,,,
URXUDMA ,"Urinary Dimethylarsinic acid (ug/L)","Urinary Dimethylarsinic acid (ug/L)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUDALC,"Urinary Dimethylarsinic acid comment cod","Urinary Dimethylarsinic acid comment code",," Both males and females 6 YEARS - 150 YEARS",,,chebi:48765,,,,,,,,
URXUMMA ,"Urinary Monomethylacrsonic acid (ug/L)","Urinary Monomethylacrsonic acid (ug/L)",," Both males and females 6 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUMMAL,"Urinary MMA acid comment code","Urinary Monomethylacrsonic acid comment code",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
