Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
WTFSM,"Two year smoking weights","Two year smoking weights",," Both males and females 18 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000036,,,,,,,,
URXUCR,"Creatinine, urine (mg/dL)","Creatinine, urine (mg/dL)",," Both males and females 18 YEARS - 150 YEARS",,,chear:milligram_per_deciliter,,,,,,,,
URXUBA,"Barium, urine (ug/L)","Barium, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUBALC,"Urinary Barium comment code","Urinary Barium comment code",," Both males and females 18 YEARS - 150 YEARS",,,chebi:32594,,,,,,,,
URXUCD,"Cadmium, urine (ug/L)","Cadmium, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUCDLC,"Urinary Cadmium comment code","Urinary Cadmium comment code",," Both males and females 18 YEARS - 150 YEARS",,,chebi:22977,,,,,,,,
URXUCO,"Cobalt, urine (ug/L)","Cobalt, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUCOLC,"Urinary Cobalt (ug/L) comment code","Urinary Cobalt (ug/L) comment code",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URXUCS,"Cesium, urine (ug/L)","Cesium, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUCSLC,"Urinary Cesium comment code","Urinary Cesium comment code",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
URXUMO,"Molybdenum, urine (ug/L)","Molybdenum, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUMOLC,"Urinary Molybdenum comment code","Urinary Molybdenum comment code",," Both males and females 18 YEARS - 150 YEARS",,,chebi:28685,,,,,,,,
URXUMN  ,"Manganese, urine (ug/L)","Manganese, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUMNLC,"Urinary Mn comment code","Urinary Mn comment code",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
URXUPB,"Lead, urine (ug/L)","Lead, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUPBLC,"Urinary Lead comment code","Urinary Lead comment code",," Both males and females 18 YEARS - 150 YEARS",,,chebi:25016,,,,,,,,
URXUSB,"Antimony, urine (ug/L)","Antimony, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUSBLC,"Urinary Antimony comment code","Urinary Antimony comment code",," Both males and females 18 YEARS - 150 YEARS",,,chebi:30513,,,,,,,,
URXUSN  ,"Tin, urine (ug/L)","Tin, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUSNLC,"USN comment code","USN comment code",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
URXUSR  ,"Strontium, urine (ug/L)","Strontium, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUSRLC,"USR comment code","USR comment code",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
URXUTL,"Thallium, urine (ug/L)","Thallium, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUTLLC,"Urinary Thallium comment code","Urinary Thallium comment code",," Both males and females 18 YEARS - 150 YEARS",,,chebi:30440,,,,,,,,
URXUTU,"Tungsten, urine (ug/L)","Tungsten, urine (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUTULC,"Urinary Tungsten comment code","Urinary Tungsten comment code",," Both males and females 18 YEARS - 150 YEARS",,,chebi:27998,,,,,,,,
URXUUR,"Uranium, urinary (ug/L)","Uranium, urinary (ug/L)",," Both males and females 18 YEARS - 150 YEARS",,,obo:UO_0000301,,,,,,,,
URDUURLC,"Urinary Uranium comment code","Urinary Uranium comment code",," Both males and females 18 YEARS - 150 YEARS",,,chebi:27214,,,,,,,,
