Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBXHP2C,"Cobas HPV Swab High Risk","Cobas HPV Swab High Risk",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDRPCR,"Roche HPV linear array summary result","Roche HPV linear array (LA) summary result",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDRHP,"Roche LA high positive globin control","Roche LA high positive globin control",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDRLP,"Roche LA low positive globin control","Roche LA low positive globin control",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR06,"HPV type 6","HPV type 6",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR11,"HPV type 11","HPV type 11",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR16,"HPV type 16","HPV type 16",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR18,"HPV type 18","HPV type 18",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR26,"HPV type 26","HPV type 26",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR31,"HPV type 31","HPV type 31",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR33,"HPV type 33","HPV type 33",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR35,"HPV type 35","HPV type 35",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR39,"HPV type 39","HPV type 39",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR40,"HPV type 40","HPV type 40",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR42,"HPV type 42","HPV type 42",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR45,"HPV type 45","HPV type 45",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR51,"HPV type 51","HPV type 51",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR52,"HPV type 52","HPV type 51",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR53,"HPV type 53","HPV type 53",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR54,"HPV type 54","HPV type 54",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR55,"HPV type 55","HPV type 55",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR56,"HPV type 56","HPV type 56",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR58,"HPV type 58","HPV type 58",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR59,"HPV type 59","HPV type 59",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR61,"HPV type 61","HPV type 61",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR62,"HPV type 62","HPV type 62",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR64,"HPV type 64","HPV type 64",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR66,"HPV type 66","HPV type 66",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR67,"HPV type 67","HPV type 67",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR68,"HPV type 68","HPV type 68",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR69,"HPV type 69","HPV type 69",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR70,"HPV type 70","HPV type 70",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR71,"HPV type 71","HPV type 71",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR72,"HPV type 72","HPV type 72",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR73,"HPV type 73","HPV type 73",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR81,"HPV type 81","HPV type 81",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR82,"HPV type 82","HPV type 82",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR83,"HPV type 83","HPV type 83",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR84,"HPV type 84","HPV type 84",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDR89,"HPV type 89","HPV type 89",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
LBDRPI ,"HPV type IS39","HPV type IS39",," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
