Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
SXD021,"Ever had vaginal, anal, or oral sex","Ever had vaginal, anal, or oral sex.","Derived variable based on several questions."," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
SXQ800  ,"Ever had vaginal sex with a woman","Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina.","INSTRUCTIONS TO SP: Please select..."," Males only 14 YEARS - 17 YEARS",,,,,,,,,,,
SXQ803  ,"Ever performed oral sex on a woman","Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.","INSTRUCTIONS TO SP: Please select . . ."," Males only 14 YEARS - 17 YEARS",,,,,,,,,,,
SXQ806  ,"Ever had anal sex with a woman","Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.","INSTRUCTIONS TO SP: Please select . . ."," Males only 14 YEARS - 17 YEARS",,,,,,,,,,,
SXQ809  ,"Ever had any sex with a man: anal, oral","Have you ever had any kind of sex with a man, including oral or anal?","INSTRUCTIONS TO SP: Please select . . ."," Males only 14 YEARS - 17 YEARS",,,,,,,,,,,
SXQ700  ,"Ever had vaginal sex with a man","Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina.","INSTRUCTIONS TO SP: Please select . . ."," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
SXQ703  ,"Ever performed oral sex on a man","Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.","INSTRUCTIONS TO SP: Please select . . ."," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
SXQ706  ,"Ever had anal sex with a man","Have you ever had anal sex? This means contact between a man's penis and your anus or butt.","INSTRUCTIONS TO SP: Please select . . ."," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
SXQ709  ,"Ever had any kind of sex with a woman","Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.","INSTRUCTIONS TO SP: Please select . . ."," Females only 14 YEARS - 17 YEARS",,,,,,,,,,,
SXD031  ,"How old when first had sex","How old were you when you had sex for the first time?","ENTER AGE IN YEARS."," Both males and females 14 YEARS - 17 YEARS",,,,,,,,,,,
SXD171,"# female sex partners/lifetime","In your lifetime, with how many women have you had any kind of sex?","INSTRUCTIONS TO SP: Please enter a number."," Males only 14 YEARS - 17 YEARS",sio:TimeInterval,,,,,,,,,,
SXD510,"# female sex partners/year","In the past 12 months, with how many women have you had any kind of sex?","INSTRUCTIONS TO SP: Please enter a number or enter zero for none."," Males only 14 YEARS - 17 YEARS",sio:Quantity,,obo:UO_0000036,,,,,,,,
SXQ824  ,"# female vaginal sex partners/lifetime","In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.","INSTRUCTIONS TO SP: Please enter a number."," Males only 14 YEARS - 17 YEARS",sio:TimeInterval,,,,,,,,,,
