Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ001,"SP ever had pain or discomfort in chest","{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ002,"SP get it walking uphill or in a hurry","{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ003,"During an ordinary pace on level ground","{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ003A,,,"BOX 1. CHECK ITEM CDQ.003A. IF 'YES' (CODE '1') IN CDQ.002 OR CDQ.003, CONTINUE. OTHERWISE, GO TO CDQ.008."," Both males and females 40 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
CDQ004,"If so does SP continue or slow down","What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking?  {Do you/Does she/Does he} stop or slow down or continue at the same pace?","CHECK 'STOP OR SLOW DOWN' IF SP CARRIES ON AFTER TAKING NITROGLYCERINE."," Both males and females 40 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
CDQ005,"Does standing relieve pain/discomfort","If {you/she/he} stand still, what happens to it?  Is the pain or discomfort relieved or not relieved?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ006,"How soon is the pain relieved","How soon is the pain relieved?  Would you say...",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ009A,"Pain in right arm","Please look at this card and show me where the pain or discomfort is located.","CODE ALL THAT APPLY.  PROBE FOR ADDITIONAL AREAS.  HAND CARD CDQ1."," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ009B,"Pain in right chest","Please look at this card and show me where the pain or discomfort is located.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ009C,"Pain in neck","Please look at this card and show me where the pain or discomfort is located.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ009D,"Pain in upper sternum","Please look at this card and show me where the pain or discomfort is located.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ009E,"Pain in lower sternum","Please look at this card and show me where the pain or discomfort is located.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ009F,"Pain in left chest","Please look at this card and show me where the pain or discomfort is located.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ009G,"Pain in left arm","Please look at this card and show me where the pain or discomfort is located.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ009H,"Pain in epigastric area","Please look at this card and show me where the pain or discomfort is located.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CDQ008,"Severe pain in chest more than half hour","Have {you/she/he} ever had a severe pain across the front of {your/her/his} chest lasting for half an hour or more?",," Both males and females 40 YEARS - 150 YEARS",,,obo:UO_0000032,,,,,,,,
CDQ010,"Shortness of breath on stairs/inclines","{Have you/Has SP} had shortness of breath either when hurrying on the level or walking up a slight hill?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
