Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ010  ,"Had problem with smell past 12 months?","The next questions are about {your/SP's} sense of smell. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to smell, such as not being able to smell things or things not smelling the way they are supposed to?",," Both males and females 40 YEARS - 150 YEARS",,,obo:UO_0000035,,,,,,,,
CSQ020  ,"Had change ability to smell since age 25","How would {you/SP} rate {your/his/her} ability to smell now as compared to when {you were/he was/she was} 25 years old? Is it better, worse or is there no change?",," Both males and females 40 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
CSQ030  ,"Smells bother you, but not others","Do some smells bother {you/SP} although they do not bother other people?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ040  ,"Had phantom odor?","{Do you/Does SP} sometimes smell an unpleasant, bad or burning odor when nothing is there?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ050  ,,,"BOX 1. CHECK ITEM. IF CSQ010 = 1 OR CSQ020 = 2 OR CSQ040 = 1 then CONTINUE. OTHERWISE, GO TO CSQ080."," Both males and females 40 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
CSQ060  ,"When noticed change in ability to smell","How long ago {did you/did SP} first notice a problem with, or a change in, {your/his/her} ability to smell?","INTERVIEWER INSTRUCTION: READ CATEGORIES IF NECESSARYCAPI INSTRUCTION: DISPLAY REASON GOT TO THIS QUESTION ABOVE QUESTION TEXT FOR INTERVIEWER REFERENCE. IF CSQ020 = 2 DISPLAY 'SMELL WORSE THAN WHEN 25' IF CSQ040 = 1 DISPLAY 'SMELL ODOR WHEN NOT THERE'"," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ070  ,"Frequency of problem w/ ability to smell","Is the problem with {your/SP's} ability to smell always there or does it come and go?","INTERVIEWER INSTRUCTION: PLEASE INCLUDE TEMPORARY PROBLEMS WITH THE SPs SENSE OF SMELL DUE TO ALLERGIES BUT DO NOT INCLUDE ANY PROBLEMS WITH SMELL DUE TO A HEAD COLD.CAPI INSTRUCTION: DISPLAY REASON GOT TO THIS QUESTION ABOVE QUESTION TEXT FOR INTERVIEWER REFERENCE. IF CSQ020 = 2 DISPLAY 'SMELL WORSE THAN WHEN 25' IF CSQ040 = 1 DISPLAY 'SMELL ODOR WHEN NOT THERE'"," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
CSQ080  ,"Had problem with taste past 12 months?","The next questions are about {your/SP's} sense of taste. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to taste sweet, sour, salty or bitter foods and drinks?",," Both males and females 40 YEARS - 150 YEARS",,,obo:UO_0000035,,,,,,,,
CSQ090A,"Ability to Taste Salt","I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change?  salt in foods like potato chips or pretzels.","INTERVIEWER INSTRUCTION: PLEASE DO NOT INCLUDE TEMPORARY PROBLEMS WITH THE SPs SENSE OF SMELL DUE TO A HEAD COLD.  HAND CARD CSQ1"," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
