Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HUQ010,"General health condition","{First/Next} I have some general questions about {your/SP's} health.  Would you say {your/SP's} health in general is . . .","CAPI INSTRUCTION:  DISPLAY 'FIRST' IF SP AGE IS >= 16 YEARS."," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HUQ015,,,"CHECK ITEM HUQ015: IF SP AGE >= 1, CONTINUE. OTHERWISE, GO TO HUQ030."," Both males and females 0 YEARS - 150 YEARS",sio:Age,,chebi:27007,,,,,,,,
HUQ020,"Health now compared with 1 year ago","Compared with 12 months ago, would you say {your/SP's} health is now . . .",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
HUQ030,"Routine place to go for healthcare","Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?","CAPI INSTRUCTION:  IF SP AGE < 12, DISPLAY 'YOU' IN THE FOURTH DISPLAY AND DON'T DISPLAY THE 'S' IN THE FIFTH DISPLAY."," Both males and females 0 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
HUQ041  ,"Type place most often go for healthcare","{What kind of place is it - a clinic, doctor's office, emergency room, or some other place?} {What kind of place {do you/does SP} go to most often - a clinic, doctor's office, emergency room, or some other place?}","CAPI INSTRUCTION: IF HUQ.030 = 1 DISPLAY 'What kind of place is it - a clinic, doctor's office, emergency room, or some other place?' IF HUQ.030 = 3 DISPLAY 'What kind of place {do you/does SP} go to most often - a clinic, doctor's office, emergency room, or some other place?'"," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HUQ051  ,"#times receive healthcare over past year","{During the past 12 months, how/How} many times {have you/has SP} seen a doctor or other health care professional about {your/his/her} health at a doctor's office, a clinic or some other place?  Do not include times {you were/s/he was} hospitalized overnight, visits to hospital emergency rooms, home visits or telephone calls.","CAPI INSTRUCTION: DISPLAY '12 MONTHS' ONLY IF SP'S AGE IS >= 1."," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,obo:UO_0000036,,,,,,,,
HUQ061  ,"How long since last healthcare visit","About how long has it been since {you/SP} last saw or talked to a doctor or other health care professional about {your/his/her} health?  Include doctors seen while {you were} {he/she was} a patient in a hospital.  Has it been . . .",," Both males and females 0 YEARS - 150 YEARS",,,,,,,,,,,
HUQ071  ,"Overnight hospital patient in last year","{During the past 12 months, were you/{was} SP} a patient in a hospital overnight?  Do not include an overnight stay in the emergency room.","CAPI INSTRUCTION:  DISPLAY '12 MONTHS' ONLY IF SP'S AGE IS >= 1.  DISPLAY 'WAS SP' WITH LEADING CAPS, IF SP'S AGE IS <1."," Both males and females 0 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
HUD080,"#times overnite hospital patient/last yr","How many different times did {you/SP} stay in any hospital overnight or longer {during the past 12 months}? (Do not count total number of nights, just total number of hospital admissions for stays which lasted 1 or more nights.)","CAPI INSTRUCTION: DISPLAY '12 MONTHS' ONLY IF SP'S AGE IS >= 1.  ENTER NUMBER."," Both males and females 0 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
HUQ085,,,"CHECK ITEM HUQ085:  IF SP AGE >= 4, CONTINUE.  OTHERWISE, GO TO END OF SECTION."," Both males and females 0 YEARS - 150 YEARS",sio:Age,,chebi:27007,,,,,,,,
HUQ090,"Seen mental health professional/past yr","During the past 12 months, that is since {DISPLAY CURRENT MONTH} of {DISPLAY LAST YEAR}, {have you/has SP} seen or talked to a mental health professional such as a psychologist, psychiatrist, psychiatric nurse or clinical social worker about {your/his/her} health?",," Both males and females 4 YEARS - 150 YEARS",,,,,,,,,,,
