Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
KIQ022,"Ever told you had weak/failing kidneys","{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had weak or failing kidneys?  Do not include kidney stones, bladder infections, or incontinence.",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
KIQ025,"Received dialysis in past 12 months","In the past 12 months, {have you/has SP} received dialysis (either hemodialysis or peritoneal dialysis)?",," Both males and females 20 YEARS - 150 YEARS",,,obo:UO_0000035,,,,,,,,
KIQ026,"Ever had kidney stones?","{Have you/Has SP} ever had kidney stones?",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
KID028,"How many times passed a kidney stone?","How many times {have you/has SP} passed a kidney stone?","ENTER NUMBER OF TIMES"," Both males and females 20 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
KIQ005,"How often have urinary leakage","Many people have leakage of urine.  The next few questions ask about urine leakage.  How often {do you/does SP} have urinary leakage?  Would {you/s/he} say . . .","CAPI INSTRUCTION:HELP SCREEN:  Other terms for urinary leakage are not being able to hold your urine until you can reach a toilet, not being able to control your bladder, loss of urine control."," Both males and females 20 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
KIQ010,"How much urine lose each time?","How much urine {do you/does SP} lose each time?  Would {you/s/he} say . . .",," Both males and females 20 YEARS - 150 YEARS",sio:TimeInterval,,uberon:0001088,,,,,,,,
KIQ042,"Leak urine during physical activities","During the past 12 months, {have you/has SP} leaked or lost control of even a small amount of urine with an activity like coughing, lifting or exercise?",," Both males and females 20 YEARS - 150 YEARS",,,uberon:0001088,,,,,,,,
KIQ430,"How frequently does this occur?","How frequently does this occur?  Would {you/s/he} say this occurs . . .",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
KIQ044,"Urinated before reaching the toilet","During the past 12 months, {have you/has SP} leaked or lost control of even a small amount of urine with an urge or pressure to urinate and {you/he/she} couldn't get to the toilet fast enough?`",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
KIQ450,"How frequently does this occur?","How frequently does this occur? Would {you/s/he} say this occurs. . .",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
KIQ046,"Leak urine during nonphysical activities","During the past 12 months, {have you/has SP} leaked or lost control of even a small amount of urine without an activity like coughing, lifting, or exercise, or an urge to urinate?",," Both males and females 20 YEARS - 150 YEARS",,,uberon:0001088,,,,,,,,
KIQ470,"How frequently does this occur?","How frequently does this occur?  Would {you/s/he} say this occurs . . .",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
KIQ048A,,,"BOX 1. CHECK ITEM:  IF 'YES' (CODE '1') IN KIQ042 OR KIQ044 OR KIQ046, CONTINUE WITH KIQ050.  OTHERWISE, GO TO KIQ480."," Both males and females 20 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
KIQ050,"How much did urine leakage bother you","During the past 12 months, how much did {your/her/his} leakage of urine bother {you/her/him}?  Please select one of the following choices:",," Both males and females 20 YEARS - 150 YEARS",sio:Age,,uberon:0001088,,,,,,,,
KIQ052,"How much were daily activities affected","During the past 12 months, how much did {your/her/his} leakage of urine affect {your/her/his} day-to-day activities?  Please select one of the following choices:",," Both males and females 20 YEARS - 150 YEARS",,,,,,,,,,,
KIQ480,"How many times urinate in night?","During the past 30 days, how many times per night did {you/SP} most typically get up to urinate, from the time {you/s/he} went to bed at night until the time {you/he/she} got up in the morning.  Would {you/s/he} say",," Both males and females 20 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
