Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
MCQ010  ,"Ever been told you have asthma","The following questions are about different medical conditions. Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} asthma (az-ma)?","CAPI INSTRUCTION:  IF SP AGE >= 16, DISPLAY 'YOU' AND 'YOU HAVE'.  IF SP AGE = 12-15, DISPLAY 'SP' AND 'S/HE HAS'. IF SP AGE < 12, DISPLAY 'YOU' AND 'SP HAS'."," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
MCQ025  ,"Age when first had asthma","How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had asthma (az-ma)?","IF LESS THAN 1 YEAR, ENTER 1. CAPI INSTRUCTION: IF SP AGE >= 16, DISPLAY 'WERE YOU' AND 'YOU WERE'. IF SP AGE = 12-15, DISPLAY 'WAS {SP}' AND 'S/HE WAS'. IF SP AGE < 12, DISPLAY 'WAS {SP}' AND 'YOU WERE'. ENTER AGE IN YEARS. CAPI INSTRUCTION: HARD EDIT:  1-120"," Both males and females 1 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
MCQ035  ,"Still have asthma","{Do you/Does SP} still have asthma (az-ma)?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
MCQ040  ,"Had asthma attack in past year","During the past 12 months, {have you/has SP} had an episode of asthma (az-ma) or an asthma attack?",," Both males and females 1 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
MCQ050  ,"Emergency care visit for asthma/past yr","[During the past 12 months], {have you/has SP} had to visit an emergency room or urgent care center because of asthma (az-ma)?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
AGQ030  ,"Did SP have episode of hay fever/past yr","During the past 12 months, {have you/has SP} had an episode of hay fever?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
MCQ053  ,"Taking treatment for anemia/past 3 mos","During the past 3 months, {have you/has SP} been on treatment for anemia (a-nee-me-a), sometimes called 'tired blood' or 'low blood'?  [Include diet, iron pills, iron shots, transfusions as treatment.]",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
MCQ070  ,"Ever been told you have psoriasis?","{Have you/Has SP} ever been told by a doctor or other health care professional that {you/s/he} had psoriasis (sore-eye-asis)?",," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
MCQ075  ,"Degree of Psoriasis","{Do you/Does SP} currently have . . .","HAND CARD MCQ1"," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
