Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number",," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
OCD150,"Type of work done last week","(SP Interview Version) In this part of the survey I will ask you questions about {your/SP's} work experience. Which of the following {were you/was SP} doing last week . . . (Family Interview Version) The next questions are about {your/NON-SP HEAD'S/NON- SP SPOUSE'S} current job or business.  Which of the following {were you/was} {NON-SP HEAD/NON-SP SPOUSE} doing last week . . .",," Both males and females 16 YEARS - 150 YEARS",,,obo:UO_0000034,,,,,,,,
OCQ180,"Hours worked last week at all jobs","How many hours did {you/SP} work last week at all jobs or businesses?","ENTER NUMBER OF HOURS"," Both males and females 16 YEARS - 150 YEARS",,,obo:UO_0000032,,,,,,,,
OCQ200,,,"CHECK ITEM OCQ200: IF HOURS IN OCQ180 <= 34, OR REFUSED (CODE 77777), OR DON'T KNOW (CODE 99999), CONTINUE. OTHERWISE, GO TO OCQ260."," Both males and females 16 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
OCQ210,"Usually work 35 or more hours per week","{Do you/Does SP} usually work 35 hours or more per week in total at all jobs or businesses?",," Both males and females 16 YEARS - 150 YEARS",,,obo:UO_0000032,,,,,,,,
OCQ260,"Description of job/work situation","Looking at the card, which of these best describes this job or work situation?","(SP Interview Version) ASK IF NOT CLEAR. HAND CARD OCQ1. (Family Interview Version) ASK IF NOT CLEAR:   HAND CARD DMQ1"," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
OCD270,"Number of months working in the main job","About how long {have you/has SP} worked for {EMPLOYER} as a(n) {OCCUPATION}?","NUMBER OF MONTHS."," Both males and females 16 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000035,,,,,,,,
OCQ380,"Main reason did not work last week","(SP Interview Version) What is the main reason {you/SP} did not work last week?(Family Interview Version) What is the main reason {you/NON-SP HEAD/NON-SP SPOUSE} did not work last week?",," Both males and females 16 YEARS - 150 YEARS",,,obo:UO_0000034,,,,,,,,
OCD390G,"Kind of work you have done the longest","Thinking of all the paid jobs or businesses {you/SP} ever had, what kind of work {were you/was s/he} doing the longest?  (For example, electrical engineer, stock clerk, typist, farmer.)","GATE QUESTION"," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
OCD395,"Duration of longest job (months)","About how long did {you/SP} work at that job or business?","NUMBER OF MONTHS."," Both males and females 16 YEARS - 150 YEARS",sio:Ratio,,obo:UO_0000035,,,,,,,,
