Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ030  ,"When did you last visit a dentist","The next questions are about {your/SP's} teeth and gums.  About how long has it been since {you/SP} last visited a dentist? Include all types of dentists, such as, orthodontists, oral surgeons, and all other dental specialists, as well as dental hygienists.",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ033  ,"Main reason for last dental visit","What was the main reason {you/SP} last visited the dentist?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ770  ,"Past yr need dental but couldn't get it","During the past 12 months was there a time when (you/SP) needed dental care but could not get it at that time?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ780A,"Could not afford the cost","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?","CODE ALL THAT APPLYHAND CARD OHQ1"," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ780B,"Did not want to spend the money","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ780C,"Insurance did not cover procedures","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ780D,"Dental office is too far away","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ780E,"Office not open at convenient time","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OHQ780F,"Another dentist recommended not doing it","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ780G,"Afraid or do not like dentists","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ780H,"Unable to take time off from work","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?",," Both males and females 1 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OHQ780I,"Too busy","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
OHQ780J,"Expected dental problems to go away","What were the reasons that (you/SP) could not get the dental care (you/she/he) needed?",," Both males and females 1 YEARS - 150 YEARS",,,,,,,,,,,
