Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
OSQ010a,"Broken or fractured a hip","Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .hip?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
OSQ010b,"Broken or fractured a wrist","Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .wrist?","DO NOT INCLUDE FOREARM OR HAND."," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
OSQ010c,"Broken or fractured spine","Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .spine?",," Both males and females 40 YEARS - 150 YEARS",,,,,,,,,,,
OSQ020a,"# Times broken/fractured hip","How many times {have you/has SP} broken or fractured {your/his/her} hip?","ENTER NUMBER OF TIMES.  SKIP TO OSQ010b."," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSQ020b,"# Times broken/fractured wrist","How many times {have you/has SP} broken or fractured {your/his/her} wrist?","ENTER NUMBER OF TIMES.  SKIP TO OSQ010c."," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSQ020c,"# Times broken/fractured spine","How many times {have you/has SP} broken or fractured {your/his/her} spine?","ENTER NUMBER OF TIMES"," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSQ025,,,"CHECK ITEM OSQ025:  IF 'YES' (CODE 1) IN OSQ010a, OSQ010b, or OSQ010c, CONTINUE WITH LOOP 1.  OTHERWISE, GO TO OSQ060.Loop 1:Ask OSD030 - OSD050 for each type and each incidence of fracture.  (Example: How old were you when you fractured your hip the first time?)"," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,chebi:27007,,,,,,,,
OSD030aa,"Age when fractured hip 1st time","How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 1st time?","ENTER AGE IN YEARS.  SKIP TO OSQ045."," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSQ040aa,"Under/over 50 when fracd. hip 1st time","{Were you/Was SP} . . .",," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSQ045,,,"CHECK ITEM OSQ045:  IF AGE IS >= 50 IN OSD030 OR OSQ040, CONTINUE WITH OSD050.  OTHERWISE, GO TO OSQ025."," Both males and females 40 YEARS - 150 YEARS",sio:Age,,chebi:27007,,,,,,,,
OSD050aa,"Reason hip fracture occurred 1st time","Did that fracture occur as a result of . . .","CAPI INSTRUCTIONS:  HELP SCREEN SHOULD READ:  Additional examples for a 'hard fall' include being forcibly knocked down by another person or bicycle.  Additional examples for a 'fall from standing height or less' include leg gave way, was dizzy, fell bending over, fell out of chair."," Both males and females 50 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSD030ab,"Age when fractured hip 2nd time","How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 2nd time?","ENTER AGE IN YEARS.  SKIP TO OSQ045."," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSQ040ab,"Under/over 50 when fracd. hip 2nd time ","{Were you/Was SP} . . .",," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSD050ab,"Reason hip fracture occurred 2nd time","Did that fracture occur as a result of . . .",," Both males and females 50 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSD030ac,"Age when fractured hip 3rd time ","How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 3rd time?","ENTER AGE IN YEARS. SKIP TO OSQ045."," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
OSQ040ac,"Under/over 50 when fracd. hip 3rd time","{Were you/Was SP} . . .",," Both males and females 40 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
