Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
SMQ020,"Smoked at least 100 cigarettes in life","These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMD030,"Age started smoking cigarettes regularly","How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?","ENTER AGE IN YEARS"," Both males and females 18 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
SMQ040,"Do you now smoke cigarettes","{Do you/Does SP} now smoke cigarettes?",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMQ050Q,"How long since quit smoking cigarettes","How long has it been since {you/SP} quit smoking cigarettes?","ENTER NUMBER (OF DAYS, WEEKS, MONTHS OR YEARS)"," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
SMQ050U,"Unit of measure (day/week/month/year)","UNIT OF MEASURE","ENTER UNIT"," Both males and females 12 YEARS - 150 YEARS",,,obo:UO_0000036,,,,,,,,
SMD055,"Age last smoked cigarettes regularly","How old {were you/was SP} when {you/s/he} last smoked cigarettes {fairly regularly}?","ENTER AGE IN YEARS."," Both males and females 12 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
SMD057,"# cigarettes smoked per day when quit","At that time, about how many cigarettes did {you/SP} usually smoke per day?","1 PACK EQUALS 20 CIGARETTES.  IF LESS THAN 1 PER DAY, ENTER 1.  IF 95 OR MORE PER DAY, ENTER 95.  ENTER NUMBER (OF CIGARETTES)."," Both males and females 18 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
SMQ078  ,"How soon after waking do you smoke","How soon after you wake up do you smoke?  Would you say . . .",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
SMD641,"# days smoked cigs during past 30 days","On how many of the past 30 days did {you/SP} smoke a cigarette?","ENTER NUMBER (OF DAYS)"," Both males and females 12 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
SMD650,"Avg # cigarettes/day during past 30 days","During the past 30 days, on the days that {you/SP} smoked, about how many cigarettes did {you/s/he} smoke per day?","1 PACK EQUALS 20 CIGARETTES.  IF LESS THAN 1 PER DAY, ENTER 1.  IF 95 OR MORE PER DAY, ENTER 95.  ENTER NUMBER (OF CIGARETTES) (PER DAY)."," Both males and females 12 YEARS - 150 YEARS",sio:Quantity,,obo:UO_0000033,,,,,,,,
SMD093,"May I please see the pack of cigarettes","May I please see the pack for the brand of cigarettes {you usually smoke/SP usually smokes}.",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMDUPCA,"Cig 12-digit Universal Product Code-UPC","Cigarette 12-digit Universal Product Code (UPC)",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMD100BR,"Cigarette Brand/sub-brand","BRAND OF CIGARETTES SMOKED BY SP (SUB-BRAND INCLUDED IF APPLICABLE AND AVAILABLE)",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMD100FL,"Cigarette Filter type","CIGARETTE PRODUCT FILTERED OR NON-FILTERED",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMD100MN,"Cigarette Menthol indicator","CIGARETTE PRODUCT MENTHOLATED OR NON-MENTHOLATED",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMD100LN,"Cigarette Length","CIGARETTE PRODUCT LENGTH",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMD100TR,"FTC Tar Content","CIGARETTE TAR CONTENT",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMD100NI,"FTC Nicotine Content","CIGARETTE NICOTINE CONTENT",," Both males and females 18 YEARS - 150 YEARS",,,chebi:27007,,,,,,,,
SMD100CO,"FTC Carbon Monoxide Content","CIGARETTE CARBON MONOXIDE CONTENT",," Both males and females 18 YEARS - 150 YEARS",,,,,,,,,,,
SMQ621  ,"Cigarettes smoked in entire life","The following questions are about cigarette smoking and other tobacco use.  Do not include cigars or marijuana.  About how many cigarettes have you smoked in your entire life?","INSTRUCTIONS TO SP: Please select . . ."," Both males and females 12 YEARS - 17 YEARS",,,,,,,,,,,
