Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
WTSVOC2Y,"VOC Subsample Weight","VOC Subsample Weight",," Both males and females 12 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
VTQ210  ,"Attached garage?","First,  I would like to ask you a few questions about {your/SP's} home.  Does {your/her/his} home have an attached garage?",," Both males and females 12 YEARS - 150 YEARS",sio:Age,,,,,,,,,,
VTQ220  ,"Private well?","Is the source of water for {your/her/his} home from a private well?",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
VTQ200A,"Store paints or fuels inside home?","{Do you/Does she/Does he} currently store paints or fuels inside {your/her/his} home?  Include {your/her/his} basement {and attached garage}.","CAPI INSTRUCTION:  IF SP HAS AN ATTACHED GARAGE (CODED ' 1' IN VTQ.210), DISPLAY {and attached garage}."," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
VTQ231A,"Use moth balls or toilet deodorizers?","{Do you/Does she/Does he} currently use moth balls, moth crystals or toilet bowl deodorizers inside {your/her/his} home?","HELP SCREEN SHOULD READ: Some toilet bowl deodorizers clip onto the toilet rim, other, such as deodorant blocks and gels, are placed inside the tank or hang inside the wall of the tank. Brand names include Bully, 2000 Flushes, Vanish, X-14, Ty-D-Bol, Toilet Duck, Clorox, Lime-A-Way, and Sno Bol."," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
VTQ241A,"Did you cook with natural gas?","Now I am going to ask you a few questions about {your/SP's} activities over the last 48 hours.  This means today or yesterday.  In the last 48 hours, did {you/she/he} cook or bake with natural gas?",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
VTQ241B,"Long ago did you cook with natural gas? ","Now I am going to ask you a few questions about {your/SP's} activities over the last 48 hours.  This means today or yesterday. How long ago, in hours, did {you/she/he} cook or bake with natural gas?","HOURSHARD EDIT:  Range - 1 - 48"," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
VTQ244A,"Did you pump gas into your car?","In the last 48 hours, did {you/she/he} pump gas into a car or other motor vehicle {yourself/herself/ himself}?",," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
VTQ244B,"Long ago did you pump gas in your car?","How long ago, in hours, did {you/she/he} pump gas into a car or other motor vehicle {yourself/herself/ himself}?","HOURSHARD EDIT:  Range - 1 - 48"," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
VTQ251A,"Spend time in pool, hot tub, steam room?","In the last 48 hours, did {you/she/he} spend any time at a swimming pool, in a hot tub, or in a steam room?",," Both males and females 12 YEARS - 150 YEARS",sio:TimeInterval,,,,,,,,,,
VTQ251B,"How long ago since at pool, hot tub?","How long ago, in hours, has it been since {you/she/he} spent time at a swimming pool, in a hot tub, or in a steam room?","HOURSHARD EDIT:  Range - 1 - 48"," Both males and females 12 YEARS - 150 YEARS",,,,,,,,,,,
