Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number.",," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
WHD010,"Current self-reported height (inches)","These next questions ask about {your/SP's} height and weight at different times in {your/his/her} life.  How tall {are you/is SP} without shoes?","ENTER HEIGHT IN FEET AND INCHES OR METERS AND CENTIMETERS."," Both males and females 16 YEARS - 150 YEARS",sio:Height,,,,,,,,,,
WHD020,"Current self-reported weight (pounds)","How much {do you/does SP} weigh without clothes or shoes?","RECORD CURRENT WEIGHT. IF PREGNANT, ASK FOR WEIGHT BEFORE PREGNANCY. ENTER WEIGHT IN POUNDS OR KILOGRAMS. "," Both males and females 16 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
WHQ030,"How do you consider your weight","{Do you/Does SP} consider {your/his/her}self now to be . . . [If {you are/she is} currently pregnant, what did {you/she} consider {your/her}self to be before {you were/she was} pregnant?]","CAPI INSTRUCTION: DISPLAY OPTIONAL SENTENCE [If {you are/she is} currently pregnant...] ONLY IF SP IS FEMALE AND AGE IS 16 THROUGH 59."," Both males and females 16 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
WHQ040,"Like to weigh more, less or same","Would {you/SP} like to weigh . . .",," Both males and females 16 YEARS - 150 YEARS",,,,,,,,,,,
WHD050,"Self-reported weight - 1 yr ago (pounds)","How much did {you/SP} weigh a year ago?","ENTER WEIGHT IN POUNDS OR KILOGRAMS.  IF PREGNANT, ASK FOR WEIGHT BEFORE PREGNANCY."," Both males and females 16 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
WHQ055,,,"BOX 1.  CHECK ITEM WHQ055:  IF WEIGHT IN WHD050 IS 10 POUNDS OR MORE THAN WEIGHT IN WHD020 (E.G., WHD050 = 150 LBS WHD020 = 135 LBS), CONTINUE.  OTHERWISE, GO TO WHQ070."," Both males and females 16 YEARS - 150 YEARS",chear:Weight,,chebi:27007,,,,,,,,
WHQ060,"Weight change intentional","Was the change between {your/SP's} current weight and {your/his/her} weight a year ago intentional?",," Both males and females 16 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
WHQ070,"Tried to lose weight in past year","During the past 12 months, {have you/has SP} tried to lose weight?",," Both males and females 16 YEARS - 150 YEARS",chear:Weight,,obo:UO_0000036,,,,,,,,
WHD080A,"Ate less to lose weight","How did {you/SP} try to lose weight?","HAND CARD WHQ1.  CODE ALL THAT APPLY."," Both males and females 16 YEARS - 150 YEARS",chear:Weight,,,,,,,,,,
